fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Ribadeo,9854,11,
2020-11-22,Ribadeo,9854,11,
2020-11-23,Ribadeo,9854,12,
2020-11-24,Ribadeo,9854,10,
2020-11-25,Ribadeo,9854,10,
2020-11-26,Ribadeo,9854,10,
2020-11-27,Ribadeo,9854,,
2020-11-28,Ribadeo,9854,,
2020-11-29,Ribadeo,9854,,
2020-11-30,Ribadeo,9854,,
2020-12-01,Ribadeo,9854,,
2020-12-02,Ribadeo,9854,,
2020-12-03,Ribadeo,9854,,
2020-12-04,Ribadeo,9854,,
2020-12-05,Ribadeo,9854,,
2020-12-06,Ribadeo,9854,,
2020-12-07,Ribadeo,9854,,
2020-12-08,Ribadeo,9854,,
2020-12-09,Ribadeo,9854,,
2020-12-10,Ribadeo,9854,,
2020-12-11,Ribadeo,9854,,
2020-12-12,Ribadeo,9854,,
2020-12-13,Ribadeo,9854,,
2020-12-14,Ribadeo,9854,,
2020-12-15,Ribadeo,9854,,
2020-12-16,Ribadeo,9854,,
2020-12-17,Ribadeo,9854,,
2020-12-18,Ribadeo,9854,,
2020-12-19,Ribadeo,9854,,
2020-12-20,Ribadeo,9854,,
2020-12-21,Ribadeo,9854,,
2020-12-22,Ribadeo,9854,,
2020-12-23,Ribadeo,9854,,
2020-12-24,Ribadeo,9854,,
2020-12-25,Ribadeo,9854,10,
2020-12-26,Ribadeo,9854,10,
2020-12-27,Ribadeo,9854,11,
2020-12-28,Ribadeo,9854,19,
2020-12-29,Ribadeo,9854,18,
2020-12-30,Ribadeo,9854,18,
2020-12-31,Ribadeo,9854,21,
2021-01-01,Ribadeo,9854,21,
2021-01-02,Ribadeo,9854,28,
2021-01-03,Ribadeo,9854,28,
2021-01-04,Ribadeo,9854,28,
2021-01-05,Ribadeo,9854,29,
2021-01-06,Ribadeo,9854,26,
2021-01-07,Ribadeo,9854,25,
2021-01-08,Ribadeo,9854,24,
2021-01-09,Ribadeo,9854,23,
2021-01-10,Ribadeo,9854,22,
2021-01-11,Ribadeo,9854,21,
2021-01-12,Ribadeo,9854,21,
2021-01-13,Ribadeo,9854,22,
2021-01-14,Ribadeo,9854,19,
2021-01-15,Ribadeo,9854,25,
2021-01-16,Ribadeo,9854,19,
2021-01-17,Ribadeo,9854,19,
2021-01-18,Ribadeo,9854,18,
2021-01-19,Ribadeo,9854,20,
2021-01-20,Ribadeo,9854,21,
2021-01-21,Ribadeo,9854,22,
2021-01-22,Ribadeo,9854,24,
2021-01-23,Ribadeo,9854,27,
2021-01-24,Ribadeo,9854,26,
2021-01-25,Ribadeo,9854,22,
2021-01-26,Ribadeo,9854,24,
2021-01-27,Ribadeo,9854,25,
2021-01-28,Ribadeo,9854,27,
2021-01-29,Ribadeo,9854,21,
2021-01-30,Ribadeo,9854,25,
2021-01-31,Ribadeo,9854,27,
2021-02-01,Ribadeo,9854,28,
2021-02-02,Ribadeo,9854,26,
2021-02-03,Ribadeo,9854,26,
2021-02-04,Ribadeo,9854,25,
2021-02-05,Ribadeo,9854,23,
2021-02-06,Ribadeo,9854,21,
2021-02-07,Ribadeo,9854,21,
2021-02-08,Ribadeo,9854,19,
2021-02-09,Ribadeo,9854,17,
2021-02-10,Ribadeo,9854,16,
2021-02-11,Ribadeo,9854,15,
2021-02-12,Ribadeo,9854,14,
2021-02-13,Ribadeo,9854,,
2021-02-14,Ribadeo,9854,,
2021-02-15,Ribadeo,9854,,
2021-02-16,Ribadeo,9854,,
2021-02-17,Ribadeo,9854,,
2021-02-18,Ribadeo,9854,,
2021-02-19,Ribadeo,9854,,
2021-02-20,Ribadeo,9854,,
2021-02-21,Ribadeo,9854,,
2021-02-22,Ribadeo,9854,,
2021-02-23,Ribadeo,9854,,
2021-02-24,Ribadeo,9854,,
2021-02-25,Ribadeo,9854,,
2021-02-26,Ribadeo,9854,,
2021-02-27,Ribadeo,9854,,
2021-02-28,Ribadeo,9854,,
2021-03-01,Ribadeo,9854,,
2021-03-02,Ribadeo,9854,,
2021-03-03,Ribadeo,9854,,
2021-03-04,Ribadeo,9854,,
2021-03-05,Ribadeo,9854,,0
2021-03-06,Ribadeo,9854,,0
2021-03-07,Ribadeo,9854,,0
2021-03-08,Ribadeo,9854,,0
2021-03-09,Ribadeo,9854,,0
2021-03-10,Ribadeo,9854,,0
2021-03-11,Ribadeo,9854,,0
2021-03-12,Ribadeo,9854,0,0
2021-03-13,Ribadeo,9854,,
2021-03-14,Ribadeo,9854,,
2021-03-15,Ribadeo,9854,,
2021-03-16,Ribadeo,9854,,
2021-03-17,Ribadeo,9854,,
2021-03-18,Ribadeo,9854,,
2021-03-19,Ribadeo,9854,,
2021-03-20,Ribadeo,9854,,0
2021-03-21,Ribadeo,9854,,0
2021-03-22,Ribadeo,9854,,0
2021-03-23,Ribadeo,9854,,0
