fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Ribadumia,5052,35,
2020-11-22,Ribadumia,5052,29,
2020-11-23,Ribadumia,5052,27,
2020-11-24,Ribadumia,5052,28,
2020-11-25,Ribadumia,5052,26,
2020-11-26,Ribadumia,5052,26,
2020-11-27,Ribadumia,5052,25,
2020-11-28,Ribadumia,5052,22,
2020-11-29,Ribadumia,5052,19,
2020-11-30,Ribadumia,5052,18,
2020-12-01,Ribadumia,5052,18,
2020-12-02,Ribadumia,5052,19,
2020-12-03,Ribadumia,5052,19,
2020-12-04,Ribadumia,5052,17,
2020-12-05,Ribadumia,5052,12,
2020-12-06,Ribadumia,5052,13,
2020-12-07,Ribadumia,5052,14,
2020-12-08,Ribadumia,5052,13,
2020-12-09,Ribadumia,5052,,
2020-12-10,Ribadumia,5052,,
2020-12-11,Ribadumia,5052,,
2020-12-12,Ribadumia,5052,,
2020-12-13,Ribadumia,5052,,
2020-12-14,Ribadumia,5052,,
2020-12-15,Ribadumia,5052,,
2020-12-16,Ribadumia,5052,,
2020-12-17,Ribadumia,5052,,
2020-12-18,Ribadumia,5052,,
2020-12-19,Ribadumia,5052,,
2020-12-20,Ribadumia,5052,,
2020-12-21,Ribadumia,5052,,
2020-12-22,Ribadumia,5052,,
2020-12-23,Ribadumia,5052,,
2020-12-24,Ribadumia,5052,,
2020-12-25,Ribadumia,5052,,
2020-12-26,Ribadumia,5052,,
2020-12-27,Ribadumia,5052,,
2020-12-28,Ribadumia,5052,,
2020-12-29,Ribadumia,5052,,
2020-12-30,Ribadumia,5052,,
2020-12-31,Ribadumia,5052,,
2021-01-01,Ribadumia,5052,,
2021-01-02,Ribadumia,5052,,
2021-01-03,Ribadumia,5052,,
2021-01-04,Ribadumia,5052,,
2021-01-05,Ribadumia,5052,,
2021-01-06,Ribadumia,5052,,
2021-01-07,Ribadumia,5052,,
2021-01-08,Ribadumia,5052,,
2021-01-09,Ribadumia,5052,,
2021-01-10,Ribadumia,5052,,
2021-01-11,Ribadumia,5052,,
2021-01-12,Ribadumia,5052,,
2021-01-13,Ribadumia,5052,10,
2021-01-14,Ribadumia,5052,11,
2021-01-15,Ribadumia,5052,12,
2021-01-16,Ribadumia,5052,12,
2021-01-17,Ribadumia,5052,13,
2021-01-18,Ribadumia,5052,13,
2021-01-19,Ribadumia,5052,14,
2021-01-20,Ribadumia,5052,14,
2021-01-21,Ribadumia,5052,13,
2021-01-22,Ribadumia,5052,,
2021-01-23,Ribadumia,5052,,
2021-01-24,Ribadumia,5052,11,
2021-01-25,Ribadumia,5052,10,
2021-01-26,Ribadumia,5052,11,
2021-01-27,Ribadumia,5052,12,
2021-01-28,Ribadumia,5052,15,
2021-01-29,Ribadumia,5052,19,
2021-01-30,Ribadumia,5052,22,
2021-01-31,Ribadumia,5052,27,
2021-02-01,Ribadumia,5052,29,
2021-02-02,Ribadumia,5052,33,
2021-02-03,Ribadumia,5052,33,
2021-02-04,Ribadumia,5052,36,
2021-02-05,Ribadumia,5052,37,
2021-02-06,Ribadumia,5052,37,
2021-02-07,Ribadumia,5052,36,
2021-02-08,Ribadumia,5052,36,
2021-02-09,Ribadumia,5052,36,
2021-02-10,Ribadumia,5052,35,
2021-02-11,Ribadumia,5052,31,
2021-02-12,Ribadumia,5052,29,
2021-02-13,Ribadumia,5052,27,
2021-02-14,Ribadumia,5052,21,
2021-02-15,Ribadumia,5052,20,
2021-02-16,Ribadumia,5052,16,
2021-02-17,Ribadumia,5052,15,
2021-02-18,Ribadumia,5052,12,
2021-02-19,Ribadumia,5052,11,
