fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Ribas de Sil",947,,
2020-11-22,"Ribas de Sil",947,,
2020-11-23,"Ribas de Sil",947,,
2020-11-24,"Ribas de Sil",947,,
2020-11-25,"Ribas de Sil",947,,
2020-11-26,"Ribas de Sil",947,,
2020-11-27,"Ribas de Sil",947,,
2020-11-28,"Ribas de Sil",947,,
2020-11-29,"Ribas de Sil",947,0,
2020-11-30,"Ribas de Sil",947,0,
2020-12-01,"Ribas de Sil",947,0,
2020-12-02,"Ribas de Sil",947,0,
2020-12-03,"Ribas de Sil",947,0,
2020-12-04,"Ribas de Sil",947,0,
2020-12-05,"Ribas de Sil",947,0,
2020-12-06,"Ribas de Sil",947,0,
2020-12-07,"Ribas de Sil",947,0,
2020-12-08,"Ribas de Sil",947,0,
2020-12-09,"Ribas de Sil",947,0,
2020-12-10,"Ribas de Sil",947,0,
2020-12-11,"Ribas de Sil",947,0,
2020-12-12,"Ribas de Sil",947,0,
2020-12-13,"Ribas de Sil",947,0,
2020-12-14,"Ribas de Sil",947,0,
2020-12-15,"Ribas de Sil",947,0,
2020-12-16,"Ribas de Sil",947,0,
2020-12-17,"Ribas de Sil",947,0,
2020-12-18,"Ribas de Sil",947,0,
2020-12-19,"Ribas de Sil",947,0,
2020-12-20,"Ribas de Sil",947,0,
2020-12-21,"Ribas de Sil",947,0,
2020-12-22,"Ribas de Sil",947,0,
2020-12-23,"Ribas de Sil",947,0,
2020-12-24,"Ribas de Sil",947,0,
2020-12-25,"Ribas de Sil",947,0,
2020-12-26,"Ribas de Sil",947,0,
2020-12-27,"Ribas de Sil",947,0,
2020-12-28,"Ribas de Sil",947,0,
2020-12-29,"Ribas de Sil",947,0,
2020-12-30,"Ribas de Sil",947,0,
2020-12-31,"Ribas de Sil",947,0,
2021-01-01,"Ribas de Sil",947,0,
2021-01-02,"Ribas de Sil",947,0,
2021-01-03,"Ribas de Sil",947,0,
2021-01-04,"Ribas de Sil",947,0,
2021-01-05,"Ribas de Sil",947,0,
2021-01-06,"Ribas de Sil",947,0,
2021-01-07,"Ribas de Sil",947,0,
2021-01-08,"Ribas de Sil",947,0,
2021-01-09,"Ribas de Sil",947,0,
2021-01-10,"Ribas de Sil",947,0,
2021-01-11,"Ribas de Sil",947,0,
2021-01-12,"Ribas de Sil",947,0,
2021-01-13,"Ribas de Sil",947,,
2021-01-14,"Ribas de Sil",947,,
2021-01-15,"Ribas de Sil",947,,
2021-01-16,"Ribas de Sil",947,,
2021-01-17,"Ribas de Sil",947,,
2021-01-18,"Ribas de Sil",947,,
2021-01-19,"Ribas de Sil",947,,
2021-01-20,"Ribas de Sil",947,,
2021-01-21,"Ribas de Sil",947,,
2021-01-22,"Ribas de Sil",947,10,
2021-01-23,"Ribas de Sil",947,14,
2021-01-24,"Ribas de Sil",947,16,
2021-01-25,"Ribas de Sil",947,17,
2021-01-26,"Ribas de Sil",947,16,
2021-01-27,"Ribas de Sil",947,15,
2021-01-28,"Ribas de Sil",947,16,
2021-01-29,"Ribas de Sil",947,14,
2021-01-30,"Ribas de Sil",947,15,
