fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Ribeira,26886,89,
2020-11-22,Ribeira,26886,85,
2020-11-23,Ribeira,26886,83,
2020-11-24,Ribeira,26886,86,
2020-11-25,Ribeira,26886,76,
2020-11-26,Ribeira,26886,73,
2020-11-27,Ribeira,26886,71,
2020-11-28,Ribeira,26886,72,
2020-11-29,Ribeira,26886,67,
2020-11-30,Ribeira,26886,64,
2020-12-01,Ribeira,26886,59,
2020-12-02,Ribeira,26886,55,
2020-12-03,Ribeira,26886,53,
2020-12-04,Ribeira,26886,48,
2020-12-05,Ribeira,26886,42,
2020-12-06,Ribeira,26886,42,
2020-12-07,Ribeira,26886,41,
2020-12-08,Ribeira,26886,38,
2020-12-09,Ribeira,26886,38,
2020-12-10,Ribeira,26886,38,
2020-12-11,Ribeira,26886,44,
2020-12-12,Ribeira,26886,49,
2020-12-13,Ribeira,26886,62,
2020-12-14,Ribeira,26886,66,
2020-12-15,Ribeira,26886,78,
2020-12-16,Ribeira,26886,85,
2020-12-17,Ribeira,26886,90,
2020-12-18,Ribeira,26886,99,
2020-12-19,Ribeira,26886,109,
2020-12-20,Ribeira,26886,106,
2020-12-21,Ribeira,26886,108,
2020-12-22,Ribeira,26886,109,
2020-12-23,Ribeira,26886,115,
2020-12-24,Ribeira,26886,116,
2020-12-25,Ribeira,26886,113,
2020-12-26,Ribeira,26886,108,
2020-12-27,Ribeira,26886,98,
2020-12-28,Ribeira,26886,97,
2020-12-29,Ribeira,26886,91,
2020-12-30,Ribeira,26886,98,
2020-12-31,Ribeira,26886,95,
2021-01-01,Ribeira,26886,94,
2021-01-02,Ribeira,26886,93,
2021-01-03,Ribeira,26886,100,
2021-01-04,Ribeira,26886,100,
2021-01-05,Ribeira,26886,101,
2021-01-06,Ribeira,26886,100,
2021-01-07,Ribeira,26886,116,
2021-01-08,Ribeira,26886,115,
2021-01-09,Ribeira,26886,121,
2021-01-10,Ribeira,26886,120,
2021-01-11,Ribeira,26886,116,
2021-01-12,Ribeira,26886,155,
2021-01-13,Ribeira,26886,142,
2021-01-14,Ribeira,26886,142,
2021-01-15,Ribeira,26886,140,
2021-01-16,Ribeira,26886,134,
2021-01-17,Ribeira,26886,149,
2021-01-18,Ribeira,26886,146,
2021-01-19,Ribeira,26886,144,
2021-01-20,Ribeira,26886,141,
2021-01-21,Ribeira,26886,128,
2021-01-22,Ribeira,26886,139,
2021-01-23,Ribeira,26886,136,
2021-01-24,Ribeira,26886,140,
2021-01-25,Ribeira,26886,141,
2021-01-26,Ribeira,26886,100,
2021-01-27,Ribeira,26886,103,
2021-01-28,Ribeira,26886,104,
2021-01-29,Ribeira,26886,103,
2021-01-30,Ribeira,26886,106,
2021-01-31,Ribeira,26886,86,
2021-02-01,Ribeira,26886,87,
2021-02-02,Ribeira,26886,90,
2021-02-03,Ribeira,26886,93,
2021-02-04,Ribeira,26886,91,
2021-02-05,Ribeira,26886,84,
2021-02-06,Ribeira,26886,82,
2021-02-07,Ribeira,26886,83,
2021-02-08,Ribeira,26886,82,
2021-02-09,Ribeira,26886,77,
2021-02-10,Ribeira,26886,73,
2021-02-11,Ribeira,26886,68,
2021-02-12,Ribeira,26886,69,
2021-02-13,Ribeira,26886,60,
2021-02-14,Ribeira,26886,61,
2021-02-15,Ribeira,26886,60,
2021-02-16,Ribeira,26886,57,
2021-02-17,Ribeira,26886,52,
2021-02-18,Ribeira,26886,46,
2021-02-19,Ribeira,26886,41,
2021-02-20,Ribeira,26886,38,
2021-02-21,Ribeira,26886,35,
2021-02-22,Ribeira,26886,33,
2021-02-23,Ribeira,26886,33,
2021-02-24,Ribeira,26886,35,
2021-02-25,Ribeira,26886,33,
2021-02-26,Ribeira,26886,26,
2021-02-27,Ribeira,26886,25,
2021-02-28,Ribeira,26886,22,
2021-03-01,Ribeira,26886,21,
2021-03-02,Ribeira,26886,22,
