fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Riós,1516,0,
2020-11-22,Riós,1516,0,
2020-11-23,Riós,1516,0,
2020-11-24,Riós,1516,0,
2020-11-25,Riós,1516,0,
2020-11-26,Riós,1516,0,
2020-11-27,Riós,1516,,
2020-11-28,Riós,1516,,
2020-11-29,Riós,1516,,
2020-11-30,Riós,1516,,
2020-12-01,Riós,1516,,
2020-12-02,Riós,1516,,
2020-12-03,Riós,1516,,
2020-12-04,Riós,1516,,
2020-12-05,Riós,1516,,
2020-12-06,Riós,1516,,
2020-12-07,Riós,1516,,
2020-12-08,Riós,1516,,
2020-12-09,Riós,1516,,
2020-12-10,Riós,1516,,
2020-12-11,Riós,1516,0,
2020-12-12,Riós,1516,0,
2020-12-13,Riós,1516,0,
2020-12-14,Riós,1516,0,
2020-12-15,Riós,1516,0,
2020-12-16,Riós,1516,,
2020-12-17,Riós,1516,,
2020-12-18,Riós,1516,,
2020-12-19,Riós,1516,,
2020-12-20,Riós,1516,,
2020-12-21,Riós,1516,,
2020-12-22,Riós,1516,,
2020-12-23,Riós,1516,,
2020-12-24,Riós,1516,,
2020-12-25,Riós,1516,,
2020-12-26,Riós,1516,,
2020-12-27,Riós,1516,,
2020-12-28,Riós,1516,,
2020-12-29,Riós,1516,,
2020-12-30,Riós,1516,,
2020-12-31,Riós,1516,,
2021-01-01,Riós,1516,,
2021-01-02,Riós,1516,,
2021-01-03,Riós,1516,,
2021-01-04,Riós,1516,,
2021-01-05,Riós,1516,,
2021-01-06,Riós,1516,,
2021-01-07,Riós,1516,,
2021-01-08,Riós,1516,,
2021-01-09,Riós,1516,,
2021-01-10,Riós,1516,,
2021-01-11,Riós,1516,,
2021-01-12,Riós,1516,,
2021-01-13,Riós,1516,,
2021-01-14,Riós,1516,,
2021-01-15,Riós,1516,,
2021-01-16,Riós,1516,10,
2021-01-17,Riós,1516,,
2021-01-18,Riós,1516,,
2021-01-19,Riós,1516,10,
2021-01-20,Riós,1516,12,
2021-01-21,Riós,1516,11,
