fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Rodeiro,2437,,
2020-11-22,Rodeiro,2437,,
2020-11-23,Rodeiro,2437,,
2020-11-24,Rodeiro,2437,,
2020-11-25,Rodeiro,2437,,
2020-11-26,Rodeiro,2437,,
2020-11-27,Rodeiro,2437,,
2020-11-28,Rodeiro,2437,,
2020-11-29,Rodeiro,2437,,
2020-11-30,Rodeiro,2437,,
2020-12-01,Rodeiro,2437,,
2020-12-02,Rodeiro,2437,,
2020-12-03,Rodeiro,2437,,
2020-12-04,Rodeiro,2437,,
2020-12-05,Rodeiro,2437,,
2020-12-06,Rodeiro,2437,,
2020-12-07,Rodeiro,2437,,
2020-12-08,Rodeiro,2437,10,
2020-12-09,Rodeiro,2437,12,
2020-12-10,Rodeiro,2437,19,
2020-12-11,Rodeiro,2437,21,
2020-12-12,Rodeiro,2437,24,
2020-12-13,Rodeiro,2437,34,
2020-12-14,Rodeiro,2437,34,
2020-12-15,Rodeiro,2437,34,
2020-12-16,Rodeiro,2437,34,
2020-12-17,Rodeiro,2437,33,
2020-12-18,Rodeiro,2437,33,
2020-12-19,Rodeiro,2437,32,
2020-12-20,Rodeiro,2437,32,
2020-12-21,Rodeiro,2437,32,
2020-12-22,Rodeiro,2437,28,
2020-12-23,Rodeiro,2437,26,
2020-12-24,Rodeiro,2437,20,
2020-12-25,Rodeiro,2437,19,
2020-12-26,Rodeiro,2437,15,
2020-12-27,Rodeiro,2437,,
2020-12-28,Rodeiro,2437,,
2020-12-29,Rodeiro,2437,,
2020-12-30,Rodeiro,2437,,
2020-12-31,Rodeiro,2437,,
2021-01-01,Rodeiro,2437,,
2021-01-02,Rodeiro,2437,,
2021-01-03,Rodeiro,2437,,
2021-01-04,Rodeiro,2437,,
2021-01-05,Rodeiro,2437,,
2021-01-06,Rodeiro,2437,,
2021-01-07,Rodeiro,2437,,
2021-01-08,Rodeiro,2437,,
2021-01-09,Rodeiro,2437,,
2021-01-10,Rodeiro,2437,,
2021-01-11,Rodeiro,2437,,
2021-01-12,Rodeiro,2437,,
2021-01-13,Rodeiro,2437,,
2021-01-14,Rodeiro,2437,,
2021-01-15,Rodeiro,2437,,
2021-01-16,Rodeiro,2437,,
2021-01-17,Rodeiro,2437,,
2021-01-18,Rodeiro,2437,,
2021-01-19,Rodeiro,2437,,
2021-01-20,Rodeiro,2437,,
2021-01-21,Rodeiro,2437,,
2021-01-22,Rodeiro,2437,,
2021-01-23,Rodeiro,2437,,
2021-01-24,Rodeiro,2437,,
2021-01-25,Rodeiro,2437,,
2021-01-26,Rodeiro,2437,,
2021-01-27,Rodeiro,2437,,
2021-01-28,Rodeiro,2437,,
2021-01-29,Rodeiro,2437,,
2021-01-30,Rodeiro,2437,,
2021-01-31,Rodeiro,2437,,
2021-02-01,Rodeiro,2437,,
2021-02-02,Rodeiro,2437,,
2021-02-03,Rodeiro,2437,,
2021-02-04,Rodeiro,2437,,
2021-02-05,Rodeiro,2437,,
2021-02-06,Rodeiro,2437,,
2021-02-07,Rodeiro,2437,,
2021-02-08,Rodeiro,2437,,
2021-02-09,Rodeiro,2437,,
2021-02-10,Rodeiro,2437,,
2021-02-11,Rodeiro,2437,,
2021-02-12,Rodeiro,2437,,
2021-02-13,Rodeiro,2437,,
2021-02-14,Rodeiro,2437,,
2021-02-15,Rodeiro,2437,,
2021-02-16,Rodeiro,2437,,
2021-02-17,Rodeiro,2437,,
2021-02-18,Rodeiro,2437,,
2021-02-19,Rodeiro,2437,,
2021-02-20,Rodeiro,2437,,
2021-02-21,Rodeiro,2437,,
2021-02-22,Rodeiro,2437,,
2021-02-23,Rodeiro,2437,,
2021-02-24,Rodeiro,2437,,
2021-02-25,Rodeiro,2437,,
2021-02-26,Rodeiro,2437,0,
2021-02-27,Rodeiro,2437,0,
2021-02-28,Rodeiro,2437,0,
2021-03-01,Rodeiro,2437,0,
2021-03-02,Rodeiro,2437,0,0
2021-03-03,Rodeiro,2437,0,0
2021-03-04,Rodeiro,2437,0,0
2021-03-05,Rodeiro,2437,0,0
2021-03-06,Rodeiro,2437,0,0
2021-03-07,Rodeiro,2437,0,0
2021-03-08,Rodeiro,2437,0,0
2021-03-09,Rodeiro,2437,0,0
2021-03-10,Rodeiro,2437,0,0
2021-03-11,Rodeiro,2437,0,0
2021-03-12,Rodeiro,2437,0,0
2021-03-13,Rodeiro,2437,0,0
2021-03-14,Rodeiro,2437,0,0
2021-03-15,Rodeiro,2437,0,0
2021-03-16,Rodeiro,2437,0,0
2021-03-17,Rodeiro,2437,0,0
2021-03-18,Rodeiro,2437,0,0
2021-03-19,Rodeiro,2437,0,0
2021-03-20,Rodeiro,2437,0,0
2021-03-21,Rodeiro,2437,0,0
2021-03-22,Rodeiro,2437,0,0
2021-03-23,Rodeiro,2437,0,0
2021-03-24,Rodeiro,2437,0,0
2021-03-25,Rodeiro,2437,0,0
2021-03-26,Rodeiro,2437,0,0
2021-03-27,Rodeiro,2437,0,0
2021-03-28,Rodeiro,2437,0,0
2021-03-29,Rodeiro,2437,0,0
2021-03-30,Rodeiro,2437,0,0
2021-03-31,Rodeiro,2437,0,0
2021-04-01,Rodeiro,2437,0,0
2021-04-02,Rodeiro,2437,0,0
2021-04-03,Rodeiro,2437,0,0
2021-04-04,Rodeiro,2437,0,0
2021-04-05,Rodeiro,2437,0,0
2021-04-06,Rodeiro,2437,0,0
2021-04-07,Rodeiro,2437,0,0
2021-04-08,Rodeiro,2437,0,0
2021-04-09,Rodeiro,2437,0,0
