fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Rois,4512,25,
2020-11-22,Rois,4512,25,
2020-11-23,Rois,4512,24,
2020-11-24,Rois,4512,23,
2020-11-25,Rois,4512,22,
2020-11-26,Rois,4512,19,
2020-11-27,Rois,4512,14,
2020-11-28,Rois,4512,13,
2020-11-29,Rois,4512,12,
2020-11-30,Rois,4512,10,
2020-12-01,Rois,4512,,
2020-12-02,Rois,4512,,
2020-12-03,Rois,4512,,
2020-12-04,Rois,4512,,
2020-12-05,Rois,4512,,
2020-12-06,Rois,4512,,
2020-12-07,Rois,4512,,
2020-12-08,Rois,4512,,
2020-12-09,Rois,4512,,
2020-12-10,Rois,4512,,
2020-12-11,Rois,4512,,
2020-12-12,Rois,4512,,
2020-12-13,Rois,4512,,
2020-12-14,Rois,4512,,
2020-12-15,Rois,4512,,
2020-12-16,Rois,4512,10,
2020-12-17,Rois,4512,10,
2020-12-18,Rois,4512,,
2020-12-19,Rois,4512,10,
2020-12-20,Rois,4512,10,
2020-12-21,Rois,4512,10,
2020-12-22,Rois,4512,,
2020-12-23,Rois,4512,,
2020-12-24,Rois,4512,,
2020-12-25,Rois,4512,,
2020-12-26,Rois,4512,,
2020-12-27,Rois,4512,,
2020-12-28,Rois,4512,11,
2020-12-29,Rois,4512,,
2020-12-30,Rois,4512,,
2020-12-31,Rois,4512,,
2021-01-01,Rois,4512,,
2021-01-02,Rois,4512,,
2021-01-03,Rois,4512,,
2021-01-04,Rois,4512,,
2021-01-05,Rois,4512,,
2021-01-06,Rois,4512,,
2021-01-07,Rois,4512,,
2021-01-08,Rois,4512,,
2021-01-09,Rois,4512,,
2021-01-10,Rois,4512,,
2021-01-11,Rois,4512,,
2021-01-12,Rois,4512,,
2021-01-13,Rois,4512,10,
2021-01-14,Rois,4512,19,
2021-01-15,Rois,4512,26,
2021-01-16,Rois,4512,32,
2021-01-17,Rois,4512,34,
2021-01-18,Rois,4512,38,
2021-01-19,Rois,4512,55,
2021-01-20,Rois,4512,58,
2021-01-21,Rois,4512,64,
2021-01-22,Rois,4512,78,
2021-01-23,Rois,4512,84,
2021-01-24,Rois,4512,86,
