fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Sada,15841,23,
2020-11-22,Sada,15841,18,
2020-11-23,Sada,15841,20,
2020-11-24,Sada,15841,17,
2020-11-25,Sada,15841,16,
2020-11-26,Sada,15841,15,
2020-11-27,Sada,15841,15,
2020-11-28,Sada,15841,15,
2020-11-29,Sada,15841,16,
2020-11-30,Sada,15841,16,
2020-12-01,Sada,15841,17,
2020-12-02,Sada,15841,17,
2020-12-03,Sada,15841,14,
2020-12-04,Sada,15841,13,
2020-12-05,Sada,15841,13,
2020-12-06,Sada,15841,12,
2020-12-07,Sada,15841,11,
2020-12-08,Sada,15841,11,
2020-12-09,Sada,15841,10,
2020-12-10,Sada,15841,10,
2020-12-11,Sada,15841,,
2020-12-12,Sada,15841,,
2020-12-13,Sada,15841,,
2020-12-14,Sada,15841,,
2020-12-15,Sada,15841,,
2020-12-16,Sada,15841,,
2020-12-17,Sada,15841,,
2020-12-18,Sada,15841,,
2020-12-19,Sada,15841,,
2020-12-20,Sada,15841,,
2020-12-21,Sada,15841,,
2020-12-22,Sada,15841,,
2020-12-23,Sada,15841,,
2020-12-24,Sada,15841,,
2020-12-25,Sada,15841,,
2020-12-26,Sada,15841,12,
2020-12-27,Sada,15841,12,
2020-12-28,Sada,15841,14,
2020-12-29,Sada,15841,15,
2020-12-30,Sada,15841,17,
2020-12-31,Sada,15841,19,
2021-01-01,Sada,15841,23,
2021-01-02,Sada,15841,24,
2021-01-03,Sada,15841,26,
2021-01-04,Sada,15841,26,
2021-01-05,Sada,15841,30,
2021-01-06,Sada,15841,34,
2021-01-07,Sada,15841,34,
2021-01-08,Sada,15841,35,
2021-01-09,Sada,15841,32,
2021-01-10,Sada,15841,34,
2021-01-11,Sada,15841,31,
2021-01-12,Sada,15841,35,
2021-01-13,Sada,15841,35,
2021-01-14,Sada,15841,37,
2021-01-15,Sada,15841,37,
2021-01-16,Sada,15841,43,
2021-01-17,Sada,15841,50,
2021-01-18,Sada,15841,64,
2021-01-19,Sada,15841,68,
2021-01-20,Sada,15841,87,
2021-01-21,Sada,15841,111,
2021-01-22,Sada,15841,129,
2021-01-23,Sada,15841,144,
2021-01-24,Sada,15841,155,
2021-01-25,Sada,15841,169,
2021-01-26,Sada,15841,179,
2021-01-27,Sada,15841,196,
2021-01-28,Sada,15841,203,
2021-01-29,Sada,15841,207,
2021-01-30,Sada,15841,207,
2021-01-31,Sada,15841,217,
2021-02-01,Sada,15841,213,
2021-02-02,Sada,15841,206,
2021-02-03,Sada,15841,198,
2021-02-04,Sada,15841,181,
2021-02-05,Sada,15841,173,
2021-02-06,Sada,15841,167,
2021-02-07,Sada,15841,170,
2021-02-08,Sada,15841,165,
2021-02-09,Sada,15841,153,
2021-02-10,Sada,15841,143,
2021-02-11,Sada,15841,151,
2021-02-12,Sada,15841,152,
2021-02-13,Sada,15841,153,
2021-02-14,Sada,15841,136,
2021-02-15,Sada,15841,128,
2021-02-16,Sada,15841,128,
2021-02-17,Sada,15841,117,
2021-02-18,Sada,15841,111,
2021-02-19,Sada,15841,101,
2021-02-20,Sada,15841,91,
2021-02-21,Sada,15841,78,
2021-02-22,Sada,15841,71,
2021-02-23,Sada,15841,67,
2021-02-24,Sada,15841,58,
2021-02-25,Sada,15841,41,
2021-02-26,Sada,15841,36,
2021-02-27,Sada,15841,29,
2021-02-28,Sada,15841,29,
2021-03-01,Sada,15841,29,
2021-03-02,Sada,15841,27,13
2021-03-03,Sada,15841,24,13
2021-03-04,Sada,15841,21,10
2021-03-05,Sada,15841,19,
2021-03-06,Sada,15841,18,
2021-03-07,Sada,15841,15,
2021-03-08,Sada,15841,15,
2021-03-09,Sada,15841,15,
2021-03-10,Sada,15841,20,
2021-03-11,Sada,15841,17,
2021-03-12,Sada,15841,14,
2021-03-13,Sada,15841,14,10
2021-03-14,Sada,15841,12,10
2021-03-15,Sada,15841,15,13
2021-03-16,Sada,15841,17,15
2021-03-17,Sada,15841,17,10
2021-03-18,Sada,15841,17,
2021-03-19,Sada,15841,18,
2021-03-20,Sada,15841,18,
2021-03-21,Sada,15841,19,
2021-03-22,Sada,15841,18,
