fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Salceda de Caselas",9164,42,
2020-11-22,"Salceda de Caselas",9164,38,
2020-11-23,"Salceda de Caselas",9164,38,
2020-11-24,"Salceda de Caselas",9164,38,
2020-11-25,"Salceda de Caselas",9164,35,
2020-11-26,"Salceda de Caselas",9164,41,
2020-11-27,"Salceda de Caselas",9164,43,
2020-11-28,"Salceda de Caselas",9164,46,
2020-11-29,"Salceda de Caselas",9164,49,
2020-11-30,"Salceda de Caselas",9164,49,
2020-12-01,"Salceda de Caselas",9164,50,
2020-12-02,"Salceda de Caselas",9164,48,
2020-12-03,"Salceda de Caselas",9164,43,
2020-12-04,"Salceda de Caselas",9164,33,
2020-12-05,"Salceda de Caselas",9164,30,
2020-12-06,"Salceda de Caselas",9164,28,
2020-12-07,"Salceda de Caselas",9164,27,
2020-12-08,"Salceda de Caselas",9164,26,
2020-12-09,"Salceda de Caselas",9164,23,
2020-12-10,"Salceda de Caselas",9164,17,
2020-12-11,"Salceda de Caselas",9164,15,
2020-12-12,"Salceda de Caselas",9164,13,
2020-12-13,"Salceda de Caselas",9164,10,
2020-12-14,"Salceda de Caselas",9164,,
2020-12-15,"Salceda de Caselas",9164,,
2020-12-16,"Salceda de Caselas",9164,12,
2020-12-17,"Salceda de Caselas",9164,11,
2020-12-18,"Salceda de Caselas",9164,10,
2020-12-19,"Salceda de Caselas",9164,13,
2020-12-20,"Salceda de Caselas",9164,15,
2020-12-21,"Salceda de Caselas",9164,15,
2020-12-22,"Salceda de Caselas",9164,15,
2020-12-23,"Salceda de Caselas",9164,18,
2020-12-24,"Salceda de Caselas",9164,20,
2020-12-25,"Salceda de Caselas",9164,20,
2020-12-26,"Salceda de Caselas",9164,20,
2020-12-27,"Salceda de Caselas",9164,20,
2020-12-28,"Salceda de Caselas",9164,22,
2020-12-29,"Salceda de Caselas",9164,24,
2020-12-30,"Salceda de Caselas",9164,20,
2020-12-31,"Salceda de Caselas",9164,20,
2021-01-01,"Salceda de Caselas",9164,20,
2021-01-02,"Salceda de Caselas",9164,17,
2021-01-03,"Salceda de Caselas",9164,15,
2021-01-04,"Salceda de Caselas",9164,15,
2021-01-05,"Salceda de Caselas",9164,15,
2021-01-06,"Salceda de Caselas",9164,14,
2021-01-07,"Salceda de Caselas",9164,13,
2021-01-08,"Salceda de Caselas",9164,11,
2021-01-09,"Salceda de Caselas",9164,13,
2021-01-10,"Salceda de Caselas",9164,15,
2021-01-11,"Salceda de Caselas",9164,13,
2021-01-12,"Salceda de Caselas",9164,12,
2021-01-13,"Salceda de Caselas",9164,17,
2021-01-14,"Salceda de Caselas",9164,19,
2021-01-15,"Salceda de Caselas",9164,20,
2021-01-16,"Salceda de Caselas",9164,26,
2021-01-17,"Salceda de Caselas",9164,33,
2021-01-18,"Salceda de Caselas",9164,36,
2021-01-19,"Salceda de Caselas",9164,46,
2021-01-20,"Salceda de Caselas",9164,48,
2021-01-21,"Salceda de Caselas",9164,56,
2021-01-22,"Salceda de Caselas",9164,67,
2021-01-23,"Salceda de Caselas",9164,72,
2021-01-24,"Salceda de Caselas",9164,76,
2021-01-25,"Salceda de Caselas",9164,77,
2021-01-26,"Salceda de Caselas",9164,78,
2021-01-27,"Salceda de Caselas",9164,80,
2021-01-28,"Salceda de Caselas",9164,89,
2021-01-29,"Salceda de Caselas",9164,104,
2021-01-30,"Salceda de Caselas",9164,101,
2021-01-31,"Salceda de Caselas",9164,103,
2021-02-01,"Salceda de Caselas",9164,104,
2021-02-02,"Salceda de Caselas",9164,105,
2021-02-03,"Salceda de Caselas",9164,102,
2021-02-04,"Salceda de Caselas",9164,98,
2021-02-05,"Salceda de Caselas",9164,89,
2021-02-06,"Salceda de Caselas",9164,84,
2021-02-07,"Salceda de Caselas",9164,81,
2021-02-08,"Salceda de Caselas",9164,80,
2021-02-09,"Salceda de Caselas",9164,80,
2021-02-10,"Salceda de Caselas",9164,71,
2021-02-11,"Salceda de Caselas",9164,67,
2021-02-12,"Salceda de Caselas",9164,56,
2021-02-13,"Salceda de Caselas",9164,52,
2021-02-14,"Salceda de Caselas",9164,45,
2021-02-15,"Salceda de Caselas",9164,41,
2021-02-16,"Salceda de Caselas",9164,30,
2021-02-17,"Salceda de Caselas",9164,29,
2021-02-18,"Salceda de Caselas",9164,24,
2021-02-19,"Salceda de Caselas",9164,22,
2021-02-20,"Salceda de Caselas",9164,22,
2021-02-21,"Salceda de Caselas",9164,19,
2021-02-22,"Salceda de Caselas",9164,20,
2021-02-23,"Salceda de Caselas",9164,18,
2021-02-24,"Salceda de Caselas",9164,18,
2021-02-25,"Salceda de Caselas",9164,15,
2021-02-26,"Salceda de Caselas",9164,,
2021-02-27,"Salceda de Caselas",9164,,
2021-02-28,"Salceda de Caselas",9164,,
2021-03-01,"Salceda de Caselas",9164,,
2021-03-02,"Salceda de Caselas",9164,,
2021-03-03,"Salceda de Caselas",9164,,
2021-03-04,"Salceda de Caselas",9164,,
2021-03-05,"Salceda de Caselas",9164,,
2021-03-06,"Salceda de Caselas",9164,,
2021-03-07,"Salceda de Caselas",9164,,
2021-03-08,"Salceda de Caselas",9164,,
2021-03-09,"Salceda de Caselas",9164,,
2021-03-10,"Salceda de Caselas",9164,,
2021-03-11,"Salceda de Caselas",9164,,
2021-03-12,"Salceda de Caselas",9164,,
2021-03-13,"Salceda de Caselas",9164,,
2021-03-14,"Salceda de Caselas",9164,,
2021-03-15,"Salceda de Caselas",9164,,
2021-03-16,"Salceda de Caselas",9164,,
2021-03-17,"Salceda de Caselas",9164,,0
2021-03-18,"Salceda de Caselas",9164,,0
2021-03-19,"Salceda de Caselas",9164,,0
2021-03-20,"Salceda de Caselas",9164,,0
2021-03-21,"Salceda de Caselas",9164,,0
2021-03-22,"Salceda de Caselas",9164,,0
2021-03-23,"Salceda de Caselas",9164,,0
2021-03-24,"Salceda de Caselas",9164,0,0
2021-03-25,"Salceda de Caselas",9164,0,0
2021-03-26,"Salceda de Caselas",9164,0,0
2021-03-27,"Salceda de Caselas",9164,0,0
2021-03-28,"Salceda de Caselas",9164,0,0
2021-03-29,"Salceda de Caselas",9164,0,0
2021-03-30,"Salceda de Caselas",9164,0,0
2021-03-31,"Salceda de Caselas",9164,0,0
2021-04-01,"Salceda de Caselas",9164,0,0
2021-04-02,"Salceda de Caselas",9164,0,0
2021-04-03,"Salceda de Caselas",9164,0,0
2021-04-04,"Salceda de Caselas",9164,0,0
2021-04-05,"Salceda de Caselas",9164,0,0
2021-04-06,"Salceda de Caselas",9164,0,0
2021-04-07,"Salceda de Caselas",9164,0,0
2021-04-08,"Salceda de Caselas",9164,0,0
2021-04-09,"Salceda de Caselas",9164,0,0
2021-04-10,"Salceda de Caselas",9164,0,0
2021-04-11,"Salceda de Caselas",9164,0,0
2021-04-12,"Salceda de Caselas",9164,0,0
2021-04-13,"Salceda de Caselas",9164,0,0
2021-04-14,"Salceda de Caselas",9164,,
2021-04-15,"Salceda de Caselas",9164,,
2021-04-16,"Salceda de Caselas",9164,,
2021-04-17,"Salceda de Caselas",9164,,
2021-04-18,"Salceda de Caselas",9164,,
2021-04-19,"Salceda de Caselas",9164,,
2021-04-20,"Salceda de Caselas",9164,,
2021-04-21,"Salceda de Caselas",9164,,
2021-04-22,"Salceda de Caselas",9164,,
2021-04-23,"Salceda de Caselas",9164,,
2021-04-24,"Salceda de Caselas",9164,12,
2021-04-25,"Salceda de Caselas",9164,13,10
2021-04-26,"Salceda de Caselas",9164,16,13
2021-04-27,"Salceda de Caselas",9164,17,14
2021-04-28,"Salceda de Caselas",9164,17,15
2021-04-29,"Salceda de Caselas",9164,18,14
2021-04-30,"Salceda de Caselas",9164,17,15
2021-05-01,"Salceda de Caselas",9164,18,
2021-05-02,"Salceda de Caselas",9164,18,
2021-05-03,"Salceda de Caselas",9164,18,
2021-05-04,"Salceda de Caselas",9164,18,
2021-05-05,"Salceda de Caselas",9164,19,
2021-05-06,"Salceda de Caselas",9164,19,
2021-05-07,"Salceda de Caselas",9164,20,
2021-05-08,"Salceda de Caselas",9164,13,
2021-05-09,"Salceda de Caselas",9164,12,
2021-05-10,"Salceda de Caselas",9164,10,
2021-05-11,"Salceda de Caselas",9164,10,
2021-05-12,"Salceda de Caselas",9164,,
2021-05-13,"Salceda de Caselas",9164,,
2021-05-14,"Salceda de Caselas",9164,10,
2021-05-15,"Salceda de Caselas",9164,11,
2021-05-16,"Salceda de Caselas",9164,12,
2021-05-17,"Salceda de Caselas",9164,12,
2021-05-18,"Salceda de Caselas",9164,13,
2021-05-19,"Salceda de Caselas",9164,13,
2021-05-20,"Salceda de Caselas",9164,12,
2021-05-21,"Salceda de Caselas",9164,11,
2021-05-22,"Salceda de Caselas",9164,12,
2021-05-23,"Salceda de Caselas",9164,12,
2021-05-24,"Salceda de Caselas",9164,11,
2021-05-25,"Salceda de Caselas",9164,10,
2021-05-26,"Salceda de Caselas",9164,10,
2021-05-27,"Salceda de Caselas",9164,,
2021-05-28,"Salceda de Caselas",9164,,
2021-05-29,"Salceda de Caselas",9164,,0
2021-05-30,"Salceda de Caselas",9164,,0
2021-05-31,"Salceda de Caselas",9164,,0
2021-06-01,"Salceda de Caselas",9164,,0
2021-06-02,"Salceda de Caselas",9164,,0
2021-06-03,"Salceda de Caselas",9164,,0
2021-06-04,"Salceda de Caselas",9164,,0
2021-06-05,"Salceda de Caselas",9164,0,0
2021-06-06,"Salceda de Caselas",9164,0,0
2021-06-07,"Salceda de Caselas",9164,0,0
2021-06-08,"Salceda de Caselas",9164,,
2021-06-09,"Salceda de Caselas",9164,,
2021-06-10,"Salceda de Caselas",9164,,
2021-06-11,"Salceda de Caselas",9164,,
2021-06-12,"Salceda de Caselas",9164,,
2021-06-13,"Salceda de Caselas",9164,,
2021-06-14,"Salceda de Caselas",9164,,
2021-06-15,"Salceda de Caselas",9164,,
2021-06-16,"Salceda de Caselas",9164,,
2021-06-17,"Salceda de Caselas",9164,,
2021-06-18,"Salceda de Caselas",9164,,
2021-06-19,"Salceda de Caselas",9164,,
2021-06-20,"Salceda de Caselas",9164,,
2021-06-21,"Salceda de Caselas",9164,,
2021-06-22,"Salceda de Caselas",9164,,
2021-06-23,"Salceda de Caselas",9164,,0
2021-06-24,"Salceda de Caselas",9164,,0
2021-06-25,"Salceda de Caselas",9164,,0
2021-06-26,"Salceda de Caselas",9164,,0
2021-06-27,"Salceda de Caselas",9164,,0
2021-06-28,"Salceda de Caselas",9164,,0
2021-06-29,"Salceda de Caselas",9164,,0
2021-06-30,"Salceda de Caselas",9164,0,0
2021-07-01,"Salceda de Caselas",9164,0,0
2021-07-02,"Salceda de Caselas",9164,0,0
2021-07-03,"Salceda de Caselas",9164,,
2021-07-04,"Salceda de Caselas",9164,,
2021-07-05,"Salceda de Caselas",9164,,
2021-07-06,"Salceda de Caselas",9164,,
2021-07-07,"Salceda de Caselas",9164,,
2021-07-08,"Salceda de Caselas",9164,,
2021-07-09,"Salceda de Caselas",9164,10,10
2021-07-10,"Salceda de Caselas",9164,11,
2021-07-11,"Salceda de Caselas",9164,16,10
