fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Salvaterra de Miño",9819,39,
2020-11-22,"Salvaterra de Miño",9819,38,
2020-11-23,"Salvaterra de Miño",9819,37,
2020-11-24,"Salvaterra de Miño",9819,39,
2020-11-25,"Salvaterra de Miño",9819,39,
2020-11-26,"Salvaterra de Miño",9819,41,
2020-11-27,"Salvaterra de Miño",9819,41,
2020-11-28,"Salvaterra de Miño",9819,35,
2020-11-29,"Salvaterra de Miño",9819,31,
2020-11-30,"Salvaterra de Miño",9819,30,
2020-12-01,"Salvaterra de Miño",9819,30,
2020-12-02,"Salvaterra de Miño",9819,30,
2020-12-03,"Salvaterra de Miño",9819,30,
2020-12-04,"Salvaterra de Miño",9819,27,
2020-12-05,"Salvaterra de Miño",9819,22,
2020-12-06,"Salvaterra de Miño",9819,26,
2020-12-07,"Salvaterra de Miño",9819,26,
2020-12-08,"Salvaterra de Miño",9819,26,
2020-12-09,"Salvaterra de Miño",9819,24,
2020-12-10,"Salvaterra de Miño",9819,19,
2020-12-11,"Salvaterra de Miño",9819,17,
2020-12-12,"Salvaterra de Miño",9819,16,
2020-12-13,"Salvaterra de Miño",9819,16,
2020-12-14,"Salvaterra de Miño",9819,16,
2020-12-15,"Salvaterra de Miño",9819,18,
2020-12-16,"Salvaterra de Miño",9819,19,
2020-12-17,"Salvaterra de Miño",9819,16,
2020-12-18,"Salvaterra de Miño",9819,19,
2020-12-19,"Salvaterra de Miño",9819,19,
2020-12-20,"Salvaterra de Miño",9819,16,
2020-12-21,"Salvaterra de Miño",9819,14,
2020-12-22,"Salvaterra de Miño",9819,14,
2020-12-23,"Salvaterra de Miño",9819,14,
2020-12-24,"Salvaterra de Miño",9819,14,
2020-12-25,"Salvaterra de Miño",9819,14,
2020-12-26,"Salvaterra de Miño",9819,15,
2020-12-27,"Salvaterra de Miño",9819,14,
2020-12-28,"Salvaterra de Miño",9819,17,
2020-12-29,"Salvaterra de Miño",9819,16,
2020-12-30,"Salvaterra de Miño",9819,18,
2020-12-31,"Salvaterra de Miño",9819,22,
2021-01-01,"Salvaterra de Miño",9819,22,
2021-01-02,"Salvaterra de Miño",9819,22,
2021-01-03,"Salvaterra de Miño",9819,24,
2021-01-04,"Salvaterra de Miño",9819,24,
2021-01-05,"Salvaterra de Miño",9819,22,
2021-01-06,"Salvaterra de Miño",9819,25,
2021-01-07,"Salvaterra de Miño",9819,30,
2021-01-08,"Salvaterra de Miño",9819,30,
2021-01-09,"Salvaterra de Miño",9819,34,
2021-01-10,"Salvaterra de Miño",9819,41,
2021-01-11,"Salvaterra de Miño",9819,44,
2021-01-12,"Salvaterra de Miño",9819,46,
2021-01-13,"Salvaterra de Miño",9819,48,
2021-01-14,"Salvaterra de Miño",9819,63,
2021-01-15,"Salvaterra de Miño",9819,61,
2021-01-16,"Salvaterra de Miño",9819,73,
2021-01-17,"Salvaterra de Miño",9819,74,
2021-01-18,"Salvaterra de Miño",9819,78,
2021-01-19,"Salvaterra de Miño",9819,89,
2021-01-20,"Salvaterra de Miño",9819,94,
2021-01-21,"Salvaterra de Miño",9819,98,
2021-01-22,"Salvaterra de Miño",9819,111,
