fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"San Sadurniño",2822,,
2020-11-22,"San Sadurniño",2822,,
2020-11-23,"San Sadurniño",2822,,
2020-11-24,"San Sadurniño",2822,,
2020-11-25,"San Sadurniño",2822,,
2020-11-26,"San Sadurniño",2822,10,
2020-11-27,"San Sadurniño",2822,10,
2020-11-28,"San Sadurniño",2822,10,
2020-11-29,"San Sadurniño",2822,10,
2020-11-30,"San Sadurniño",2822,,
2020-12-01,"San Sadurniño",2822,,
2020-12-02,"San Sadurniño",2822,10,
2020-12-03,"San Sadurniño",2822,10,
2020-12-04,"San Sadurniño",2822,,
2020-12-05,"San Sadurniño",2822,,
2020-12-06,"San Sadurniño",2822,,
2020-12-07,"San Sadurniño",2822,,
2020-12-08,"San Sadurniño",2822,,
2020-12-09,"San Sadurniño",2822,,
2020-12-10,"San Sadurniño",2822,,
2020-12-11,"San Sadurniño",2822,,
2020-12-12,"San Sadurniño",2822,,
2020-12-13,"San Sadurniño",2822,,
2020-12-14,"San Sadurniño",2822,,
2020-12-15,"San Sadurniño",2822,,
2020-12-16,"San Sadurniño",2822,,
2020-12-17,"San Sadurniño",2822,,
2020-12-18,"San Sadurniño",2822,,
2020-12-19,"San Sadurniño",2822,,
2020-12-20,"San Sadurniño",2822,,
2020-12-21,"San Sadurniño",2822,,
2020-12-22,"San Sadurniño",2822,,
2020-12-23,"San Sadurniño",2822,,
2020-12-24,"San Sadurniño",2822,,
2020-12-25,"San Sadurniño",2822,,
2020-12-26,"San Sadurniño",2822,,
2020-12-27,"San Sadurniño",2822,,
2020-12-28,"San Sadurniño",2822,0,
2020-12-29,"San Sadurniño",2822,0,
2020-12-30,"San Sadurniño",2822,,
2020-12-31,"San Sadurniño",2822,,
2021-01-01,"San Sadurniño",2822,,
2021-01-02,"San Sadurniño",2822,,
2021-01-03,"San Sadurniño",2822,,
2021-01-04,"San Sadurniño",2822,,
2021-01-05,"San Sadurniño",2822,,
2021-01-06,"San Sadurniño",2822,,
2021-01-07,"San Sadurniño",2822,,
2021-01-08,"San Sadurniño",2822,,
2021-01-09,"San Sadurniño",2822,,
2021-01-10,"San Sadurniño",2822,,
2021-01-11,"San Sadurniño",2822,,
2021-01-12,"San Sadurniño",2822,,
2021-01-13,"San Sadurniño",2822,,
2021-01-14,"San Sadurniño",2822,,
2021-01-15,"San Sadurniño",2822,13,
2021-01-16,"San Sadurniño",2822,16,
2021-01-17,"San Sadurniño",2822,16,
2021-01-18,"San Sadurniño",2822,16,
2021-01-19,"San Sadurniño",2822,17,
2021-01-20,"San Sadurniño",2822,22,
2021-01-21,"San Sadurniño",2822,24,
2021-01-22,"San Sadurniño",2822,27,
2021-01-23,"San Sadurniño",2822,28,
2021-01-24,"San Sadurniño",2822,34,
2021-01-25,"San Sadurniño",2822,35,
2021-01-26,"San Sadurniño",2822,38,
2021-01-27,"San Sadurniño",2822,37,
2021-01-28,"San Sadurniño",2822,43,
2021-01-29,"San Sadurniño",2822,38,
2021-01-30,"San Sadurniño",2822,38,
2021-01-31,"San Sadurniño",2822,42,
2021-02-01,"San Sadurniño",2822,42,
2021-02-02,"San Sadurniño",2822,47,
2021-02-03,"San Sadurniño",2822,45,
2021-02-04,"San Sadurniño",2822,44,
2021-02-05,"San Sadurniño",2822,51,
2021-02-06,"San Sadurniño",2822,50,
2021-02-07,"San Sadurniño",2822,45,
2021-02-08,"San Sadurniño",2822,43,
2021-02-09,"San Sadurniño",2822,40,
2021-02-10,"San Sadurniño",2822,41,
2021-02-11,"San Sadurniño",2822,34,
2021-02-12,"San Sadurniño",2822,35,
2021-02-13,"San Sadurniño",2822,33,
2021-02-14,"San Sadurniño",2822,29,
2021-02-15,"San Sadurniño",2822,30,
2021-02-16,"San Sadurniño",2822,25,
2021-02-17,"San Sadurniño",2822,22,
2021-02-18,"San Sadurniño",2822,21,
2021-02-19,"San Sadurniño",2822,12,
2021-02-20,"San Sadurniño",2822,13,
2021-02-21,"San Sadurniño",2822,12,
2021-02-22,"San Sadurniño",2822,12,
2021-02-23,"San Sadurniño",2822,12,
2021-02-24,"San Sadurniño",2822,11,
2021-02-25,"San Sadurniño",2822,12,
2021-02-26,"San Sadurniño",2822,10,
2021-02-27,"San Sadurniño",2822,,
2021-02-28,"San Sadurniño",2822,,
2021-03-01,"San Sadurniño",2822,,
2021-03-02,"San Sadurniño",2822,,
2021-03-03,"San Sadurniño",2822,,
2021-03-04,"San Sadurniño",2822,,0
2021-03-05,"San Sadurniño",2822,,0
2021-03-06,"San Sadurniño",2822,,0
2021-03-07,"San Sadurniño",2822,,0
2021-03-08,"San Sadurniño",2822,,0
2021-03-09,"San Sadurniño",2822,,0
2021-03-10,"San Sadurniño",2822,,0
2021-03-11,"San Sadurniño",2822,0,0
2021-03-12,"San Sadurniño",2822,0,0
2021-03-13,"San Sadurniño",2822,0,0
2021-03-14,"San Sadurniño",2822,0,0
2021-03-15,"San Sadurniño",2822,0,0
2021-03-16,"San Sadurniño",2822,0,0
2021-03-17,"San Sadurniño",2822,0,0
