fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"San Xoán de Río",531,0,
2020-11-22,"San Xoán de Río",531,0,
2020-11-23,"San Xoán de Río",531,0,
2020-11-24,"San Xoán de Río",531,0,
2020-11-25,"San Xoán de Río",531,0,
2020-11-26,"San Xoán de Río",531,0,
2020-11-27,"San Xoán de Río",531,0,
2020-11-28,"San Xoán de Río",531,0,
2020-11-29,"San Xoán de Río",531,0,
2020-11-30,"San Xoán de Río",531,0,
2020-12-01,"San Xoán de Río",531,0,
2020-12-02,"San Xoán de Río",531,0,
2020-12-03,"San Xoán de Río",531,0,
2020-12-04,"San Xoán de Río",531,0,
2020-12-05,"San Xoán de Río",531,0,
2020-12-06,"San Xoán de Río",531,0,
2020-12-07,"San Xoán de Río",531,0,
2020-12-08,"San Xoán de Río",531,0,
2020-12-09,"San Xoán de Río",531,0,
2020-12-10,"San Xoán de Río",531,0,
2020-12-11,"San Xoán de Río",531,0,
2020-12-12,"San Xoán de Río",531,0,
2020-12-13,"San Xoán de Río",531,0,
2020-12-14,"San Xoán de Río",531,0,
2020-12-15,"San Xoán de Río",531,0,
2020-12-16,"San Xoán de Río",531,0,
2020-12-17,"San Xoán de Río",531,0,
2020-12-18,"San Xoán de Río",531,0,
2020-12-19,"San Xoán de Río",531,0,
2020-12-20,"San Xoán de Río",531,0,
2020-12-21,"San Xoán de Río",531,0,
2020-12-22,"San Xoán de Río",531,0,
2020-12-23,"San Xoán de Río",531,0,
2020-12-24,"San Xoán de Río",531,0,
2020-12-25,"San Xoán de Río",531,0,
2020-12-26,"San Xoán de Río",531,0,
2020-12-27,"San Xoán de Río",531,0,
2020-12-28,"San Xoán de Río",531,0,
2020-12-29,"San Xoán de Río",531,0,
2020-12-30,"San Xoán de Río",531,0,
2020-12-31,"San Xoán de Río",531,0,
2021-01-01,"San Xoán de Río",531,,
2021-01-02,"San Xoán de Río",531,,
2021-01-03,"San Xoán de Río",531,,
2021-01-04,"San Xoán de Río",531,,
2021-01-05,"San Xoán de Río",531,,
2021-01-06,"San Xoán de Río",531,10,
2021-01-07,"San Xoán de Río",531,10,
2021-01-08,"San Xoán de Río",531,10,
2021-01-09,"San Xoán de Río",531,10,
2021-01-10,"San Xoán de Río",531,11,
2021-01-11,"San Xoán de Río",531,11,
2021-01-12,"San Xoán de Río",531,11,
2021-01-13,"San Xoán de Río",531,11,
2021-01-14,"San Xoán de Río",531,12,
2021-01-15,"San Xoán de Río",531,10,
2021-01-16,"San Xoán de Río",531,10,
2021-01-17,"San Xoán de Río",531,10,
2021-01-18,"San Xoán de Río",531,10,
2021-01-19,"San Xoán de Río",531,10,
2021-01-20,"San Xoán de Río",531,,
2021-01-21,"San Xoán de Río",531,,
2021-01-22,"San Xoán de Río",531,,
2021-01-23,"San Xoán de Río",531,,
2021-01-24,"San Xoán de Río",531,,
2021-01-25,"San Xoán de Río",531,,
2021-01-26,"San Xoán de Río",531,,
2021-01-27,"San Xoán de Río",531,,
2021-01-28,"San Xoán de Río",531,0,
2021-01-29,"San Xoán de Río",531,0,
2021-01-30,"San Xoán de Río",531,0,
2021-01-31,"San Xoán de Río",531,0,
2021-02-01,"San Xoán de Río",531,0,
2021-02-02,"San Xoán de Río",531,,
2021-02-03,"San Xoán de Río",531,,
2021-02-04,"San Xoán de Río",531,,
2021-02-05,"San Xoán de Río",531,,
2021-02-06,"San Xoán de Río",531,,
2021-02-07,"San Xoán de Río",531,,
2021-02-08,"San Xoán de Río",531,,
2021-02-09,"San Xoán de Río",531,,
2021-02-10,"San Xoán de Río",531,,
2021-02-11,"San Xoán de Río",531,,
2021-02-12,"San Xoán de Río",531,,
2021-02-13,"San Xoán de Río",531,,
2021-02-14,"San Xoán de Río",531,,
2021-02-15,"San Xoán de Río",531,,
2021-02-16,"San Xoán de Río",531,,
2021-02-17,"San Xoán de Río",531,0,
2021-02-18,"San Xoán de Río",531,0,
2021-02-19,"San Xoán de Río",531,0,
2021-02-20,"San Xoán de Río",531,0,
2021-02-21,"San Xoán de Río",531,0,
2021-02-22,"San Xoán de Río",531,0,
2021-02-23,"San Xoán de Río",531,0,
2021-02-24,"San Xoán de Río",531,0,
2021-02-25,"San Xoán de Río",531,0,
2021-02-26,"San Xoán de Río",531,0,
2021-02-27,"San Xoán de Río",531,0,
2021-02-28,"San Xoán de Río",531,0,
2021-03-01,"San Xoán de Río",531,0,
2021-03-02,"San Xoán de Río",531,0,0
2021-03-03,"San Xoán de Río",531,0,0
2021-03-04,"San Xoán de Río",531,0,0
2021-03-05,"San Xoán de Río",531,0,0
2021-03-06,"San Xoán de Río",531,0,0
2021-03-07,"San Xoán de Río",531,0,0
2021-03-08,"San Xoán de Río",531,0,0
2021-03-09,"San Xoán de Río",531,0,0
2021-03-10,"San Xoán de Río",531,0,0
2021-03-11,"San Xoán de Río",531,0,0
2021-03-12,"San Xoán de Río",531,0,0
2021-03-13,"San Xoán de Río",531,0,0
2021-03-14,"San Xoán de Río",531,0,0
2021-03-15,"San Xoán de Río",531,0,0
2021-03-16,"San Xoán de Río",531,,
2021-03-17,"San Xoán de Río",531,,
2021-03-18,"San Xoán de Río",531,,
2021-03-19,"San Xoán de Río",531,,
2021-03-20,"San Xoán de Río",531,,
2021-03-21,"San Xoán de Río",531,,
2021-03-22,"San Xoán de Río",531,,
2021-03-23,"San Xoán de Río",531,,0
2021-03-24,"San Xoán de Río",531,,0
2021-03-25,"San Xoán de Río",531,,0
2021-03-26,"San Xoán de Río",531,,0
2021-03-27,"San Xoán de Río",531,,0
2021-03-28,"San Xoán de Río",531,,0
2021-03-29,"San Xoán de Río",531,,0
2021-03-30,"San Xoán de Río",531,0,0
2021-03-31,"San Xoán de Río",531,0,0
2021-04-01,"San Xoán de Río",531,0,0
2021-04-02,"San Xoán de Río",531,0,0
2021-04-03,"San Xoán de Río",531,0,0
2021-04-04,"San Xoán de Río",531,0,0
2021-04-05,"San Xoán de Río",531,0,0
2021-04-06,"San Xoán de Río",531,0,0
2021-04-07,"San Xoán de Río",531,0,0
2021-04-08,"San Xoán de Río",531,0,0
2021-04-09,"San Xoán de Río",531,0,0
