fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Sandiás,1206,,
2020-11-22,Sandiás,1206,,
2020-11-23,Sandiás,1206,,
2020-11-24,Sandiás,1206,,
2020-11-25,Sandiás,1206,,
2020-11-26,Sandiás,1206,,
2020-11-27,Sandiás,1206,,
2020-11-28,Sandiás,1206,,
2020-11-29,Sandiás,1206,,
2020-11-30,Sandiás,1206,,
2020-12-01,Sandiás,1206,,
2020-12-02,Sandiás,1206,,
2020-12-03,Sandiás,1206,,
2020-12-04,Sandiás,1206,,
2020-12-05,Sandiás,1206,,
2020-12-06,Sandiás,1206,,
2020-12-07,Sandiás,1206,,
2020-12-08,Sandiás,1206,,
2020-12-09,Sandiás,1206,,
2020-12-10,Sandiás,1206,,
2020-12-11,Sandiás,1206,,
2020-12-12,Sandiás,1206,,
2020-12-13,Sandiás,1206,,
2020-12-14,Sandiás,1206,,
2020-12-15,Sandiás,1206,,
2020-12-16,Sandiás,1206,,
2020-12-17,Sandiás,1206,,
2020-12-18,Sandiás,1206,,
2020-12-19,Sandiás,1206,,
2020-12-20,Sandiás,1206,,
2020-12-21,Sandiás,1206,,
2020-12-22,Sandiás,1206,,
2020-12-23,Sandiás,1206,,
2020-12-24,Sandiás,1206,0,
2020-12-25,Sandiás,1206,0,
2020-12-26,Sandiás,1206,0,
2020-12-27,Sandiás,1206,0,
2020-12-28,Sandiás,1206,0,
2020-12-29,Sandiás,1206,0,
2020-12-30,Sandiás,1206,0,
2020-12-31,Sandiás,1206,0,
2021-01-01,Sandiás,1206,0,
2021-01-02,Sandiás,1206,0,
2021-01-03,Sandiás,1206,0,
2021-01-04,Sandiás,1206,0,
2021-01-05,Sandiás,1206,0,
2021-01-06,Sandiás,1206,,
2021-01-07,Sandiás,1206,,
2021-01-08,Sandiás,1206,,
2021-01-09,Sandiás,1206,11,
2021-01-10,Sandiás,1206,11,
2021-01-11,Sandiás,1206,11,
2021-01-12,Sandiás,1206,12,
2021-01-13,Sandiás,1206,13,
2021-01-14,Sandiás,1206,13,
2021-01-15,Sandiás,1206,14,
2021-01-16,Sandiás,1206,16,
2021-01-17,Sandiás,1206,17,
2021-01-18,Sandiás,1206,18,
2021-01-19,Sandiás,1206,21,
2021-01-20,Sandiás,1206,24,
2021-01-21,Sandiás,1206,23,
2021-01-22,Sandiás,1206,22,
2021-01-23,Sandiás,1206,20,
2021-01-24,Sandiás,1206,21,
2021-01-25,Sandiás,1206,23,
2021-01-26,Sandiás,1206,22,
2021-01-27,Sandiás,1206,23,
2021-01-28,Sandiás,1206,25,
2021-01-29,Sandiás,1206,24,
2021-01-30,Sandiás,1206,23,
2021-01-31,Sandiás,1206,23,
2021-02-01,Sandiás,1206,23,
2021-02-02,Sandiás,1206,20,
2021-02-03,Sandiás,1206,16,
2021-02-04,Sandiás,1206,15,
2021-02-05,Sandiás,1206,14,
2021-02-06,Sandiás,1206,12,
2021-02-07,Sandiás,1206,13,
2021-02-08,Sandiás,1206,11,
2021-02-09,Sandiás,1206,11,
2021-02-10,Sandiás,1206,12,
2021-02-11,Sandiás,1206,10,
2021-02-12,Sandiás,1206,10,
2021-02-13,Sandiás,1206,,
2021-02-14,Sandiás,1206,,
2021-02-15,Sandiás,1206,,
2021-02-16,Sandiás,1206,,
2021-02-17,Sandiás,1206,,
2021-02-18,Sandiás,1206,,
2021-02-19,Sandiás,1206,,
2021-02-20,Sandiás,1206,,
2021-02-21,Sandiás,1206,,
2021-02-22,Sandiás,1206,,
2021-02-23,Sandiás,1206,,
2021-02-24,Sandiás,1206,,
2021-02-25,Sandiás,1206,,
2021-02-26,Sandiás,1206,,
2021-02-27,Sandiás,1206,,
2021-02-28,Sandiás,1206,,
2021-03-01,Sandiás,1206,,
2021-03-02,Sandiás,1206,,0
2021-03-03,Sandiás,1206,0,0
2021-03-04,Sandiás,1206,0,0
2021-03-05,Sandiás,1206,0,0
2021-03-06,Sandiás,1206,0,0
2021-03-07,Sandiás,1206,0,0
2021-03-08,Sandiás,1206,0,0
2021-03-09,Sandiás,1206,0,0
2021-03-10,Sandiás,1206,0,0
2021-03-11,Sandiás,1206,0,0
2021-03-12,Sandiás,1206,0,0
2021-03-13,Sandiás,1206,0,0
2021-03-14,Sandiás,1206,0,0
2021-03-15,Sandiás,1206,0,0
2021-03-16,Sandiás,1206,0,0
2021-03-17,Sandiás,1206,0,0
2021-03-18,Sandiás,1206,0,0
2021-03-19,Sandiás,1206,0,0
2021-03-20,Sandiás,1206,0,0
2021-03-21,Sandiás,1206,0,0
2021-03-22,Sandiás,1206,0,0
2021-03-23,Sandiás,1206,0,0
2021-03-24,Sandiás,1206,0,0
2021-03-25,Sandiás,1206,0,0
2021-03-26,Sandiás,1206,0,0
2021-03-27,Sandiás,1206,0,0
2021-03-28,Sandiás,1206,0,0
2021-03-29,Sandiás,1206,0,0
2021-03-30,Sandiás,1206,0,0
2021-03-31,Sandiás,1206,0,0
2021-04-01,Sandiás,1206,0,0
2021-04-02,Sandiás,1206,0,0
2021-04-03,Sandiás,1206,0,0
2021-04-04,Sandiás,1206,0,0
2021-04-05,Sandiás,1206,0,0
2021-04-06,Sandiás,1206,0,0
2021-04-07,Sandiás,1206,0,0
2021-04-08,Sandiás,1206,0,0
2021-04-09,Sandiás,1206,0,0
2021-04-10,Sandiás,1206,0,0
2021-04-11,Sandiás,1206,0,0
2021-04-12,Sandiás,1206,0,0
2021-04-13,Sandiás,1206,0,0
2021-04-14,Sandiás,1206,0,0
2021-04-15,Sandiás,1206,0,0
2021-04-16,Sandiás,1206,,
2021-04-17,Sandiás,1206,,
2021-04-18,Sandiás,1206,,
2021-04-19,Sandiás,1206,,
2021-04-20,Sandiás,1206,,
2021-04-21,Sandiás,1206,,
2021-04-22,Sandiás,1206,,
2021-04-23,Sandiás,1206,,0
2021-04-24,Sandiás,1206,,0
2021-04-25,Sandiás,1206,,0
2021-04-26,Sandiás,1206,,0
2021-04-27,Sandiás,1206,,
2021-04-28,Sandiás,1206,,
2021-04-29,Sandiás,1206,,
2021-04-30,Sandiás,1206,,
2021-05-01,Sandiás,1206,,
2021-05-02,Sandiás,1206,,
2021-05-03,Sandiás,1206,,
2021-05-04,Sandiás,1206,,
2021-05-05,Sandiás,1206,,
2021-05-06,Sandiás,1206,,
2021-05-07,Sandiás,1206,,
2021-05-08,Sandiás,1206,,
2021-05-09,Sandiás,1206,,
2021-05-10,Sandiás,1206,,
2021-05-11,Sandiás,1206,,
2021-05-12,Sandiás,1206,,
2021-05-13,Sandiás,1206,,0
2021-05-14,Sandiás,1206,,0
2021-05-15,Sandiás,1206,,0
2021-05-16,Sandiás,1206,,0
2021-05-17,Sandiás,1206,,0
2021-05-18,Sandiás,1206,,0
2021-05-19,Sandiás,1206,,0
2021-05-20,Sandiás,1206,0,0
2021-05-21,Sandiás,1206,0,0
2021-05-22,Sandiás,1206,0,0
2021-05-23,Sandiás,1206,0,0
2021-05-24,Sandiás,1206,0,0
2021-05-25,Sandiás,1206,0,0
2021-05-26,Sandiás,1206,0,0
2021-05-27,Sandiás,1206,0,0
2021-05-28,Sandiás,1206,0,0
2021-05-29,Sandiás,1206,0,0
2021-05-30,Sandiás,1206,0,0
2021-05-31,Sandiás,1206,0,0
2021-06-01,Sandiás,1206,0,0
2021-06-02,Sandiás,1206,0,0
2021-06-03,Sandiás,1206,0,0
2021-06-04,Sandiás,1206,0,0
2021-06-05,Sandiás,1206,0,0
2021-06-06,Sandiás,1206,0,0
2021-06-07,Sandiás,1206,0,0
2021-06-08,Sandiás,1206,0,0
2021-06-09,Sandiás,1206,0,0
2021-06-10,Sandiás,1206,0,0
2021-06-11,Sandiás,1206,0,0
2021-06-12,Sandiás,1206,0,0
2021-06-13,Sandiás,1206,0,0
2021-06-14,Sandiás,1206,0,0
2021-06-15,Sandiás,1206,0,0
2021-06-16,Sandiás,1206,0,0
2021-06-17,Sandiás,1206,0,0
2021-06-18,Sandiás,1206,0,0
2021-06-19,Sandiás,1206,0,0
2021-06-20,Sandiás,1206,0,0
2021-06-21,Sandiás,1206,0,0
2021-06-22,Sandiás,1206,0,0
2021-06-23,Sandiás,1206,0,0
2021-06-24,Sandiás,1206,0,0
2021-06-25,Sandiás,1206,0,0
2021-06-26,Sandiás,1206,0,0
2021-06-27,Sandiás,1206,0,0
2021-06-28,Sandiás,1206,0,0
