fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Santa Comba",9426,35,
2020-11-22,"Santa Comba",9426,31,
2020-11-23,"Santa Comba",9426,29,
2020-11-24,"Santa Comba",9426,33,
2020-11-25,"Santa Comba",9426,31,
2020-11-26,"Santa Comba",9426,29,
2020-11-27,"Santa Comba",9426,30,
2020-11-28,"Santa Comba",9426,32,
2020-11-29,"Santa Comba",9426,35,
2020-11-30,"Santa Comba",9426,33,
2020-12-01,"Santa Comba",9426,35,
2020-12-02,"Santa Comba",9426,34,
2020-12-03,"Santa Comba",9426,34,
2020-12-04,"Santa Comba",9426,38,
2020-12-05,"Santa Comba",9426,35,
2020-12-06,"Santa Comba",9426,36,
2020-12-07,"Santa Comba",9426,38,
2020-12-08,"Santa Comba",9426,34,
2020-12-09,"Santa Comba",9426,35,
2020-12-10,"Santa Comba",9426,35,
2020-12-11,"Santa Comba",9426,37,
2020-12-12,"Santa Comba",9426,39,
2020-12-13,"Santa Comba",9426,42,
2020-12-14,"Santa Comba",9426,49,
2020-12-15,"Santa Comba",9426,46,
2020-12-16,"Santa Comba",9426,55,
2020-12-17,"Santa Comba",9426,60,
2020-12-18,"Santa Comba",9426,65,
2020-12-19,"Santa Comba",9426,73,
2020-12-20,"Santa Comba",9426,74,
2020-12-21,"Santa Comba",9426,76,
2020-12-22,"Santa Comba",9426,80,
2020-12-23,"Santa Comba",9426,82,
2020-12-24,"Santa Comba",9426,91,
2020-12-25,"Santa Comba",9426,93,
2020-12-26,"Santa Comba",9426,91,
2020-12-27,"Santa Comba",9426,87,
2020-12-28,"Santa Comba",9426,85,
2020-12-29,"Santa Comba",9426,86,
2020-12-30,"Santa Comba",9426,80,
2020-12-31,"Santa Comba",9426,78,
2021-01-01,"Santa Comba",9426,73,
2021-01-02,"Santa Comba",9426,65,
2021-01-03,"Santa Comba",9426,67,
2021-01-04,"Santa Comba",9426,62,
2021-01-05,"Santa Comba",9426,57,
2021-01-06,"Santa Comba",9426,58,
2021-01-07,"Santa Comba",9426,48,
2021-01-08,"Santa Comba",9426,41,
2021-01-09,"Santa Comba",9426,40,
2021-01-10,"Santa Comba",9426,39,
2021-01-11,"Santa Comba",9426,35,
2021-01-12,"Santa Comba",9426,33,
2021-01-13,"Santa Comba",9426,34,
2021-01-14,"Santa Comba",9426,33,
2021-01-15,"Santa Comba",9426,29,
2021-01-16,"Santa Comba",9426,30,
2021-01-17,"Santa Comba",9426,26,
2021-01-18,"Santa Comba",9426,28,
2021-01-19,"Santa Comba",9426,31,
2021-01-20,"Santa Comba",9426,27,
2021-01-21,"Santa Comba",9426,29,
2021-01-22,"Santa Comba",9426,29,
2021-01-23,"Santa Comba",9426,32,
2021-01-24,"Santa Comba",9426,33,
2021-01-25,"Santa Comba",9426,32,
2021-01-26,"Santa Comba",9426,34,
2021-01-27,"Santa Comba",9426,29,
2021-01-28,"Santa Comba",9426,28,
2021-01-29,"Santa Comba",9426,28,
2021-01-30,"Santa Comba",9426,28,
2021-01-31,"Santa Comba",9426,29,
2021-02-01,"Santa Comba",9426,29,
2021-02-02,"Santa Comba",9426,28,
2021-02-03,"Santa Comba",9426,31,
2021-02-04,"Santa Comba",9426,28,
2021-02-05,"Santa Comba",9426,34,
2021-02-06,"Santa Comba",9426,33,
2021-02-07,"Santa Comba",9426,31,
2021-02-08,"Santa Comba",9426,31,
2021-02-09,"Santa Comba",9426,27,
2021-02-10,"Santa Comba",9426,28,
