fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Santiso,1584,,
2020-11-22,Santiso,1584,,
2020-11-23,Santiso,1584,,
2020-11-24,Santiso,1584,,
2020-11-25,Santiso,1584,,
2020-11-26,Santiso,1584,,
2020-11-27,Santiso,1584,,
2020-11-28,Santiso,1584,,
2020-11-29,Santiso,1584,,
2020-11-30,Santiso,1584,,
2020-12-01,Santiso,1584,,
2020-12-02,Santiso,1584,,
2020-12-03,Santiso,1584,,
2020-12-04,Santiso,1584,,
2020-12-05,Santiso,1584,,
2020-12-06,Santiso,1584,,
2020-12-07,Santiso,1584,0,
2020-12-08,Santiso,1584,0,
2020-12-09,Santiso,1584,0,
2020-12-10,Santiso,1584,0,
2020-12-11,Santiso,1584,0,
2020-12-12,Santiso,1584,0,
2020-12-13,Santiso,1584,0,
2020-12-14,Santiso,1584,0,
2020-12-15,Santiso,1584,0,
2020-12-16,Santiso,1584,0,
2020-12-17,Santiso,1584,0,
2020-12-18,Santiso,1584,0,
2020-12-19,Santiso,1584,0,
2020-12-20,Santiso,1584,0,
2020-12-21,Santiso,1584,0,
2020-12-22,Santiso,1584,0,
2020-12-23,Santiso,1584,0,
2020-12-24,Santiso,1584,0,
2020-12-25,Santiso,1584,0,
2020-12-26,Santiso,1584,0,
2020-12-27,Santiso,1584,0,
2020-12-28,Santiso,1584,0,
2020-12-29,Santiso,1584,0,
2020-12-30,Santiso,1584,0,
2020-12-31,Santiso,1584,0,
2021-01-01,Santiso,1584,,
2021-01-02,Santiso,1584,,
2021-01-03,Santiso,1584,,
2021-01-04,Santiso,1584,,
2021-01-05,Santiso,1584,,
2021-01-06,Santiso,1584,,
2021-01-07,Santiso,1584,,
2021-01-08,Santiso,1584,,
2021-01-09,Santiso,1584,,
2021-01-10,Santiso,1584,,
2021-01-11,Santiso,1584,,
2021-01-12,Santiso,1584,,
2021-01-13,Santiso,1584,,
2021-01-14,Santiso,1584,,
2021-01-15,Santiso,1584,,
2021-01-16,Santiso,1584,,
2021-01-17,Santiso,1584,,
2021-01-18,Santiso,1584,,
2021-01-19,Santiso,1584,,
2021-01-20,Santiso,1584,,
2021-01-21,Santiso,1584,,
2021-01-22,Santiso,1584,,
2021-01-23,Santiso,1584,,
2021-01-24,Santiso,1584,,
2021-01-25,Santiso,1584,,
2021-01-26,Santiso,1584,,
2021-01-27,Santiso,1584,,
2021-01-28,Santiso,1584,,
2021-01-29,Santiso,1584,,
2021-01-30,Santiso,1584,,
2021-01-31,Santiso,1584,,
2021-02-01,Santiso,1584,,
2021-02-02,Santiso,1584,,
2021-02-03,Santiso,1584,,
2021-02-04,Santiso,1584,,
2021-02-05,Santiso,1584,,
2021-02-06,Santiso,1584,,
2021-02-07,Santiso,1584,,
2021-02-08,Santiso,1584,,
2021-02-09,Santiso,1584,,
2021-02-10,Santiso,1584,,
2021-02-11,Santiso,1584,,
2021-02-12,Santiso,1584,,
2021-02-13,Santiso,1584,,
2021-02-14,Santiso,1584,,
2021-02-15,Santiso,1584,,
2021-02-16,Santiso,1584,,
2021-02-17,Santiso,1584,,
2021-02-18,Santiso,1584,,
2021-02-19,Santiso,1584,0,
2021-02-20,Santiso,1584,0,
2021-02-21,Santiso,1584,0,
2021-02-22,Santiso,1584,0,
2021-02-23,Santiso,1584,0,
2021-02-24,Santiso,1584,0,
2021-02-25,Santiso,1584,0,
2021-02-26,Santiso,1584,0,
2021-02-27,Santiso,1584,0,
2021-02-28,Santiso,1584,0,
2021-03-01,Santiso,1584,0,
2021-03-02,Santiso,1584,0,0
2021-03-03,Santiso,1584,0,0
