fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Sanxenxo,17347,72,
2020-11-22,Sanxenxo,17347,73,
2020-11-23,Sanxenxo,17347,75,
2020-11-24,Sanxenxo,17347,75,
2020-11-25,Sanxenxo,17347,76,
2020-11-26,Sanxenxo,17347,74,
2020-11-27,Sanxenxo,17347,72,
2020-11-28,Sanxenxo,17347,73,
2020-11-29,Sanxenxo,17347,80,
2020-11-30,Sanxenxo,17347,86,
2020-12-01,Sanxenxo,17347,81,
2020-12-02,Sanxenxo,17347,76,
2020-12-03,Sanxenxo,17347,73,
2020-12-04,Sanxenxo,17347,65,
2020-12-05,Sanxenxo,17347,58,
2020-12-06,Sanxenxo,17347,57,
2020-12-07,Sanxenxo,17347,57,
2020-12-08,Sanxenxo,17347,51,
2020-12-09,Sanxenxo,17347,46,
2020-12-10,Sanxenxo,17347,50,
2020-12-11,Sanxenxo,17347,53,
2020-12-12,Sanxenxo,17347,56,
2020-12-13,Sanxenxo,17347,55,
2020-12-14,Sanxenxo,17347,50,
2020-12-15,Sanxenxo,17347,54,
2020-12-16,Sanxenxo,17347,54,
2020-12-17,Sanxenxo,17347,52,
2020-12-18,Sanxenxo,17347,53,
2020-12-19,Sanxenxo,17347,55,
2020-12-20,Sanxenxo,17347,59,
2020-12-21,Sanxenxo,17347,60,
2020-12-22,Sanxenxo,17347,64,
2020-12-23,Sanxenxo,17347,63,
2020-12-24,Sanxenxo,17347,59,
2020-12-25,Sanxenxo,17347,55,
2020-12-26,Sanxenxo,17347,53,
2020-12-27,Sanxenxo,17347,48,
2020-12-28,Sanxenxo,17347,44,
2020-12-29,Sanxenxo,17347,38,
2020-12-30,Sanxenxo,17347,36,
2020-12-31,Sanxenxo,17347,35,
2021-01-01,Sanxenxo,17347,39,
2021-01-02,Sanxenxo,17347,36,
2021-01-03,Sanxenxo,17347,30,
2021-01-04,Sanxenxo,17347,27,
2021-01-05,Sanxenxo,17347,28,
2021-01-06,Sanxenxo,17347,28,
2021-01-07,Sanxenxo,17347,26,
2021-01-08,Sanxenxo,17347,28,
2021-01-09,Sanxenxo,17347,25,
2021-01-10,Sanxenxo,17347,25,
2021-01-11,Sanxenxo,17347,28,
2021-01-12,Sanxenxo,17347,30,
2021-01-13,Sanxenxo,17347,33,
2021-01-14,Sanxenxo,17347,36,
2021-01-15,Sanxenxo,17347,30,
2021-01-16,Sanxenxo,17347,34,
2021-01-17,Sanxenxo,17347,34,
2021-01-18,Sanxenxo,17347,42,
2021-01-19,Sanxenxo,17347,42,
2021-01-20,Sanxenxo,17347,46,
2021-01-21,Sanxenxo,17347,51,
2021-01-22,Sanxenxo,17347,60,
2021-01-23,Sanxenxo,17347,77,
2021-01-24,Sanxenxo,17347,95,
2021-01-25,Sanxenxo,17347,100,
2021-01-26,Sanxenxo,17347,122,
2021-01-27,Sanxenxo,17347,131,
2021-01-28,Sanxenxo,17347,143,
2021-01-29,Sanxenxo,17347,158,
2021-01-30,Sanxenxo,17347,179,
2021-01-31,Sanxenxo,17347,192,
2021-02-01,Sanxenxo,17347,193,
2021-02-02,Sanxenxo,17347,201,
2021-02-03,Sanxenxo,17347,207,
2021-02-04,Sanxenxo,17347,205,
2021-02-05,Sanxenxo,17347,208,
2021-02-06,Sanxenxo,17347,196,
2021-02-07,Sanxenxo,17347,186,
2021-02-08,Sanxenxo,17347,178,
2021-02-09,Sanxenxo,17347,162,
2021-02-10,Sanxenxo,17347,158,
2021-02-11,Sanxenxo,17347,147,
2021-02-12,Sanxenxo,17347,137,
2021-02-13,Sanxenxo,17347,117,
2021-02-14,Sanxenxo,17347,105,
2021-02-15,Sanxenxo,17347,96,
2021-02-16,Sanxenxo,17347,88,
2021-02-17,Sanxenxo,17347,78,
2021-02-18,Sanxenxo,17347,72,
2021-02-19,Sanxenxo,17347,61,
2021-02-20,Sanxenxo,17347,56,
2021-02-21,Sanxenxo,17347,48,
2021-02-22,Sanxenxo,17347,48,
2021-02-23,Sanxenxo,17347,40,
2021-02-24,Sanxenxo,17347,38,
2021-02-25,Sanxenxo,17347,34,
2021-02-26,Sanxenxo,17347,36,
2021-02-27,Sanxenxo,17347,32,
2021-02-28,Sanxenxo,17347,31,
2021-03-01,Sanxenxo,17347,34,
2021-03-02,Sanxenxo,17347,30,21
2021-03-03,Sanxenxo,17347,30,17
2021-03-04,Sanxenxo,17347,31,16
2021-03-05,Sanxenxo,17347,28,
2021-03-06,Sanxenxo,17347,28,
2021-03-07,Sanxenxo,17347,26,
2021-03-08,Sanxenxo,17347,26,
2021-03-09,Sanxenxo,17347,28,
2021-03-10,Sanxenxo,17347,25,
2021-03-11,Sanxenxo,17347,23,
2021-03-12,Sanxenxo,17347,17,
2021-03-13,Sanxenxo,17347,17,
2021-03-14,Sanxenxo,17347,16,
2021-03-15,Sanxenxo,17347,15,10
2021-03-16,Sanxenxo,17347,15,
2021-03-17,Sanxenxo,17347,15,
2021-03-18,Sanxenxo,17347,15,
2021-03-19,Sanxenxo,17347,22,13
2021-03-20,Sanxenxo,17347,27,18
2021-03-21,Sanxenxo,17347,30,21
2021-03-22,Sanxenxo,17347,33,23
2021-03-23,Sanxenxo,17347,32,24
2021-03-24,Sanxenxo,17347,35,28
2021-03-25,Sanxenxo,17347,37,29
2021-03-26,Sanxenxo,17347,43,30
2021-03-27,Sanxenxo,17347,45,27
2021-03-28,Sanxenxo,17347,49,28
2021-03-29,Sanxenxo,17347,48,25
2021-03-30,Sanxenxo,17347,48,24
2021-03-31,Sanxenxo,17347,48,20
2021-04-01,Sanxenxo,17347,49,20
2021-04-02,Sanxenxo,17347,43,13
2021-04-03,Sanxenxo,17347,38,11
2021-04-04,Sanxenxo,17347,36,
2021-04-05,Sanxenxo,17347,34,
2021-04-06,Sanxenxo,17347,32,
2021-04-07,Sanxenxo,17347,30,10
2021-04-08,Sanxenxo,17347,30,10
2021-04-09,Sanxenxo,17347,24,11
2021-04-10,Sanxenxo,17347,25,14
2021-04-11,Sanxenxo,17347,21,13
2021-04-12,Sanxenxo,17347,22,13
2021-04-13,Sanxenxo,17347,26,18
2021-04-14,Sanxenxo,17347,26,16
2021-04-15,Sanxenxo,17347,24,14
2021-04-16,Sanxenxo,17347,25,14
2021-04-17,Sanxenxo,17347,26,12
2021-04-18,Sanxenxo,17347,28,15
2021-04-19,Sanxenxo,17347,26,13
2021-04-20,Sanxenxo,17347,26,
2021-04-21,Sanxenxo,17347,23,
2021-04-22,Sanxenxo,17347,24,10
2021-04-23,Sanxenxo,17347,23,
2021-04-24,Sanxenxo,17347,19,
2021-04-25,Sanxenxo,17347,22,
2021-04-26,Sanxenxo,17347,21,
2021-04-27,Sanxenxo,17347,17,
2021-04-28,Sanxenxo,17347,18,11
2021-04-29,Sanxenxo,17347,18,
2021-04-30,Sanxenxo,17347,16,
2021-05-01,Sanxenxo,17347,14,
2021-05-02,Sanxenxo,17347,11,
2021-05-03,Sanxenxo,17347,11,
2021-05-04,Sanxenxo,17347,11,
2021-05-05,Sanxenxo,17347,11,0
2021-05-06,Sanxenxo,17347,,0
2021-05-07,Sanxenxo,17347,,
2021-05-08,Sanxenxo,17347,10,
2021-05-09,Sanxenxo,17347,,
2021-05-10,Sanxenxo,17347,,
2021-05-11,Sanxenxo,17347,,
2021-05-12,Sanxenxo,17347,,
2021-05-13,Sanxenxo,17347,,
2021-05-14,Sanxenxo,17347,,
2021-05-15,Sanxenxo,17347,,
2021-05-16,Sanxenxo,17347,,
2021-05-17,Sanxenxo,17347,,
2021-05-18,Sanxenxo,17347,,
2021-05-19,Sanxenxo,17347,,
2021-05-20,Sanxenxo,17347,,
2021-05-21,Sanxenxo,17347,,
2021-05-22,Sanxenxo,17347,,
2021-05-23,Sanxenxo,17347,,
2021-05-24,Sanxenxo,17347,,
2021-05-25,Sanxenxo,17347,,
2021-05-26,Sanxenxo,17347,,
2021-05-27,Sanxenxo,17347,,
2021-05-28,Sanxenxo,17347,,
2021-05-29,Sanxenxo,17347,,
2021-05-30,Sanxenxo,17347,,
2021-05-31,Sanxenxo,17347,,
2021-06-01,Sanxenxo,17347,,
2021-06-02,Sanxenxo,17347,,
2021-06-03,Sanxenxo,17347,,0
2021-06-04,Sanxenxo,17347,,0
2021-06-05,Sanxenxo,17347,,0
2021-06-06,Sanxenxo,17347,,0
2021-06-07,Sanxenxo,17347,,0
2021-06-08,Sanxenxo,17347,,0
2021-06-09,Sanxenxo,17347,,0
2021-06-10,Sanxenxo,17347,0,0
2021-06-11,Sanxenxo,17347,0,0
2021-06-12,Sanxenxo,17347,,
2021-06-13,Sanxenxo,17347,,
2021-06-14,Sanxenxo,17347,,
2021-06-15,Sanxenxo,17347,,
2021-06-16,Sanxenxo,17347,,
2021-06-17,Sanxenxo,17347,,
2021-06-18,Sanxenxo,17347,,
2021-06-19,Sanxenxo,17347,,
2021-06-20,Sanxenxo,17347,,
2021-06-21,Sanxenxo,17347,,
2021-06-22,Sanxenxo,17347,,
2021-06-23,Sanxenxo,17347,,
2021-06-24,Sanxenxo,17347,11,
2021-06-25,Sanxenxo,17347,12,
2021-06-26,Sanxenxo,17347,12,
2021-06-27,Sanxenxo,17347,12,10
2021-06-28,Sanxenxo,17347,12,11
2021-06-29,Sanxenxo,17347,12,
2021-06-30,Sanxenxo,17347,12,
2021-07-01,Sanxenxo,17347,11,
2021-07-02,Sanxenxo,17347,11,
2021-07-03,Sanxenxo,17347,13,
2021-07-04,Sanxenxo,17347,13,
2021-07-05,Sanxenxo,17347,14,
2021-07-06,Sanxenxo,17347,,
2021-07-07,Sanxenxo,17347,11,
2021-07-08,Sanxenxo,17347,13,
2021-07-09,Sanxenxo,17347,20,16
2021-07-10,Sanxenxo,17347,28,24
2021-07-11,Sanxenxo,17347,33,30
2021-07-12,Sanxenxo,17347,48,45
2021-07-13,Sanxenxo,17347,71,68
2021-07-14,Sanxenxo,17347,93,88
2021-07-15,Sanxenxo,17347,116,107
2021-07-16,Sanxenxo,17347,151,135
2021-07-17,Sanxenxo,17347,187,163
2021-07-18,Sanxenxo,17347,219,189
2021-07-19,Sanxenxo,17347,233,187
2021-07-20,Sanxenxo,17347,261,193
2021-07-21,Sanxenxo,17347,287,199
2021-07-22,Sanxenxo,17347,316,209
2021-07-23,Sanxenxo,17347,335,199
2021-07-24,Sanxenxo,17347,355,191
2021-07-25,Sanxenxo,17347,371,181
2021-07-26,Sanxenxo,17347,365,177
2021-07-27,Sanxenxo,17347,374,180
2021-07-28,Sanxenxo,17347,376,176
2021-07-29,Sanxenxo,17347,367,158
2021-07-30,Sanxenxo,17347,354,155
