fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Sarria,13330,40,
2020-11-22,Sarria,13330,39,
2020-11-23,Sarria,13330,38,
2020-11-24,Sarria,13330,40,
2020-11-25,Sarria,13330,39,
2020-11-26,Sarria,13330,36,
2020-11-27,Sarria,13330,34,
2020-11-28,Sarria,13330,30,
2020-11-29,Sarria,13330,24,
2020-11-30,Sarria,13330,22,
2020-12-01,Sarria,13330,22,
2020-12-02,Sarria,13330,21,
2020-12-03,Sarria,13330,21,
2020-12-04,Sarria,13330,17,
2020-12-05,Sarria,13330,13,
2020-12-06,Sarria,13330,11,
2020-12-07,Sarria,13330,10,
2020-12-08,Sarria,13330,10,
2020-12-09,Sarria,13330,10,
2020-12-10,Sarria,13330,,
2020-12-11,Sarria,13330,10,
2020-12-12,Sarria,13330,,
2020-12-13,Sarria,13330,17,
2020-12-14,Sarria,13330,17,
2020-12-15,Sarria,13330,16,
2020-12-16,Sarria,13330,16,
2020-12-17,Sarria,13330,13,
2020-12-18,Sarria,13330,14,
2020-12-19,Sarria,13330,15,
2020-12-20,Sarria,13330,15,
2020-12-21,Sarria,13330,14,
2020-12-22,Sarria,13330,14,
2020-12-23,Sarria,13330,13,
2020-12-24,Sarria,13330,13,
2020-12-25,Sarria,13330,13,
2020-12-26,Sarria,13330,13,
2020-12-27,Sarria,13330,,
2020-12-28,Sarria,13330,,
2020-12-29,Sarria,13330,,
2020-12-30,Sarria,13330,,
2020-12-31,Sarria,13330,,
2021-01-01,Sarria,13330,,
2021-01-02,Sarria,13330,,
2021-01-03,Sarria,13330,,
2021-01-04,Sarria,13330,,
2021-01-05,Sarria,13330,,
2021-01-06,Sarria,13330,,
2021-01-07,Sarria,13330,,
2021-01-08,Sarria,13330,,
2021-01-09,Sarria,13330,,
2021-01-10,Sarria,13330,,
2021-01-11,Sarria,13330,,
2021-01-12,Sarria,13330,,
2021-01-13,Sarria,13330,15,
2021-01-14,Sarria,13330,16,
2021-01-15,Sarria,13330,18,
2021-01-16,Sarria,13330,18,
2021-01-17,Sarria,13330,23,
2021-01-18,Sarria,13330,31,
2021-01-19,Sarria,13330,42,
2021-01-20,Sarria,13330,52,
2021-01-21,Sarria,13330,55,
2021-01-22,Sarria,13330,67,
2021-01-23,Sarria,13330,122,
2021-01-24,Sarria,13330,134,
2021-01-25,Sarria,13330,144,
2021-01-26,Sarria,13330,146,
2021-01-27,Sarria,13330,152,
2021-01-28,Sarria,13330,157,
2021-01-29,Sarria,13330,162,
2021-01-30,Sarria,13330,195,
2021-01-31,Sarria,13330,196,
2021-02-01,Sarria,13330,188,
2021-02-02,Sarria,13330,182,
2021-02-03,Sarria,13330,174,
2021-02-04,Sarria,13330,174,
2021-02-05,Sarria,13330,165,
2021-02-06,Sarria,13330,112,
2021-02-07,Sarria,13330,104,
2021-02-08,Sarria,13330,93,
2021-02-09,Sarria,13330,88,
2021-02-10,Sarria,13330,76,
2021-02-11,Sarria,13330,72,
2021-02-12,Sarria,13330,68,
2021-02-13,Sarria,13330,38,
2021-02-14,Sarria,13330,32,
2021-02-15,Sarria,13330,33,
2021-02-16,Sarria,13330,27,
2021-02-17,Sarria,13330,26,
2021-02-18,Sarria,13330,24,
2021-02-19,Sarria,13330,20,
2021-02-20,Sarria,13330,18,
2021-02-21,Sarria,13330,14,
2021-02-22,Sarria,13330,14,
2021-02-23,Sarria,13330,13,
2021-02-24,Sarria,13330,12,
2021-02-25,Sarria,13330,10,
2021-02-26,Sarria,13330,,
2021-02-27,Sarria,13330,,
2021-02-28,Sarria,13330,,
2021-03-01,Sarria,13330,,
2021-03-02,Sarria,13330,,0
2021-03-03,Sarria,13330,,0
2021-03-04,Sarria,13330,,0
2021-03-05,Sarria,13330,,0
2021-03-06,Sarria,13330,,0
2021-03-07,Sarria,13330,,
2021-03-08,Sarria,13330,,
2021-03-09,Sarria,13330,,
2021-03-10,Sarria,13330,,
2021-03-11,Sarria,13330,,
2021-03-12,Sarria,13330,14,14
2021-03-13,Sarria,13330,14,14
2021-03-14,Sarria,13330,17,16
2021-03-15,Sarria,13330,17,15
2021-03-16,Sarria,13330,19,17
2021-03-17,Sarria,13330,19,16
2021-03-18,Sarria,13330,19,11
2021-03-19,Sarria,13330,19,
2021-03-20,Sarria,13330,21,
2021-03-21,Sarria,13330,21,
2021-03-22,Sarria,13330,20,
2021-03-23,Sarria,13330,20,
2021-03-24,Sarria,13330,20,
2021-03-25,Sarria,13330,15,
2021-03-26,Sarria,13330,10,
2021-03-27,Sarria,13330,10,
2021-03-28,Sarria,13330,,
2021-03-29,Sarria,13330,,
2021-03-30,Sarria,13330,,
2021-03-31,Sarria,13330,,
2021-04-01,Sarria,13330,,
2021-04-02,Sarria,13330,,
2021-04-03,Sarria,13330,,
2021-04-04,Sarria,13330,,
2021-04-05,Sarria,13330,,
2021-04-06,Sarria,13330,,0
2021-04-07,Sarria,13330,,0
2021-04-08,Sarria,13330,,0
