fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Silleda,8687,20,
2020-11-22,Silleda,8687,19,
2020-11-23,Silleda,8687,19,
2020-11-24,Silleda,8687,18,
2020-11-25,Silleda,8687,19,
2020-11-26,Silleda,8687,22,
2020-11-27,Silleda,8687,23,
2020-11-28,Silleda,8687,22,
2020-11-29,Silleda,8687,21,
2020-11-30,Silleda,8687,18,
2020-12-01,Silleda,8687,18,
2020-12-02,Silleda,8687,19,
2020-12-03,Silleda,8687,19,
2020-12-04,Silleda,8687,15,
2020-12-05,Silleda,8687,11,
2020-12-06,Silleda,8687,10,
2020-12-07,Silleda,8687,10,
2020-12-08,Silleda,8687,10,
2020-12-09,Silleda,8687,,
2020-12-10,Silleda,8687,,
2020-12-11,Silleda,8687,,
2020-12-12,Silleda,8687,,
2020-12-13,Silleda,8687,,
2020-12-14,Silleda,8687,,
2020-12-15,Silleda,8687,,
2020-12-16,Silleda,8687,,
2020-12-17,Silleda,8687,,
2020-12-18,Silleda,8687,,
2020-12-19,Silleda,8687,,
2020-12-20,Silleda,8687,,
2020-12-21,Silleda,8687,,
2020-12-22,Silleda,8687,,
2020-12-23,Silleda,8687,,
2020-12-24,Silleda,8687,,
2020-12-25,Silleda,8687,,
2020-12-26,Silleda,8687,,
2020-12-27,Silleda,8687,,
2020-12-28,Silleda,8687,,
2020-12-29,Silleda,8687,,
2020-12-30,Silleda,8687,,
2020-12-31,Silleda,8687,,
2021-01-01,Silleda,8687,,
2021-01-02,Silleda,8687,10,
2021-01-03,Silleda,8687,12,
2021-01-04,Silleda,8687,11,
2021-01-05,Silleda,8687,10,
2021-01-06,Silleda,8687,12,
2021-01-07,Silleda,8687,12,
2021-01-08,Silleda,8687,14,
2021-01-09,Silleda,8687,16,
2021-01-10,Silleda,8687,17,
2021-01-11,Silleda,8687,20,
2021-01-12,Silleda,8687,27,
2021-01-13,Silleda,8687,29,
2021-01-14,Silleda,8687,41,
2021-01-15,Silleda,8687,47,
2021-01-16,Silleda,8687,58,
2021-01-17,Silleda,8687,59,
2021-01-18,Silleda,8687,62,
2021-01-19,Silleda,8687,71,
2021-01-20,Silleda,8687,73,
2021-01-21,Silleda,8687,83,
2021-01-22,Silleda,8687,87,
2021-01-23,Silleda,8687,95,
2021-01-24,Silleda,8687,96,
2021-01-25,Silleda,8687,105,
2021-01-26,Silleda,8687,102,
2021-01-27,Silleda,8687,118,
2021-01-28,Silleda,8687,111,
2021-01-29,Silleda,8687,122,
2021-01-30,Silleda,8687,115,
2021-01-31,Silleda,8687,117,
2021-02-01,Silleda,8687,117,
2021-02-02,Silleda,8687,111,
2021-02-03,Silleda,8687,110,
2021-02-04,Silleda,8687,100,
2021-02-05,Silleda,8687,96,
2021-02-06,Silleda,8687,90,
2021-02-07,Silleda,8687,88,
2021-02-08,Silleda,8687,88,
2021-02-09,Silleda,8687,87,
2021-02-10,Silleda,8687,69,
2021-02-11,Silleda,8687,65,
2021-02-12,Silleda,8687,48,
2021-02-13,Silleda,8687,44,
2021-02-14,Silleda,8687,42,
2021-02-15,Silleda,8687,38,
2021-02-16,Silleda,8687,36,
2021-02-17,Silleda,8687,35,
2021-02-18,Silleda,8687,36,
2021-02-19,Silleda,8687,34,
2021-02-20,Silleda,8687,30,
2021-02-21,Silleda,8687,30,
2021-02-22,Silleda,8687,18,
2021-02-23,Silleda,8687,15,
2021-02-24,Silleda,8687,16,
2021-02-25,Silleda,8687,17,
2021-02-26,Silleda,8687,15,
2021-02-27,Silleda,8687,14,
2021-02-28,Silleda,8687,11,
2021-03-01,Silleda,8687,11,
2021-03-02,Silleda,8687,,
2021-03-03,Silleda,8687,,
2021-03-04,Silleda,8687,,
2021-03-05,Silleda,8687,10,
2021-03-06,Silleda,8687,10,
2021-03-07,Silleda,8687,,
2021-03-08,Silleda,8687,,
2021-03-09,Silleda,8687,,
2021-03-10,Silleda,8687,,
2021-03-11,Silleda,8687,,
2021-03-12,Silleda,8687,,
2021-03-13,Silleda,8687,36,33
2021-03-14,Silleda,8687,36,33
2021-03-15,Silleda,8687,36,33
2021-03-16,Silleda,8687,36,34
2021-03-17,Silleda,8687,36,34
2021-03-18,Silleda,8687,36,33
2021-03-19,Silleda,8687,34,33
2021-03-20,Silleda,8687,44,11
2021-03-21,Silleda,8687,51,18
2021-03-22,Silleda,8687,51,18
2021-03-23,Silleda,8687,51,17
2021-03-24,Silleda,8687,51,17
2021-03-25,Silleda,8687,50,17
2021-03-26,Silleda,8687,50,17
2021-03-27,Silleda,8687,18,
2021-03-28,Silleda,8687,18,0
2021-03-29,Silleda,8687,18,0
2021-03-30,Silleda,8687,17,0
2021-03-31,Silleda,8687,17,0
2021-04-01,Silleda,8687,17,0
2021-04-02,Silleda,8687,17,0
2021-04-03,Silleda,8687,,0
2021-04-04,Silleda,8687,0,0
2021-04-05,Silleda,8687,0,0
2021-04-06,Silleda,8687,0,0
2021-04-07,Silleda,8687,0,0
2021-04-08,Silleda,8687,0,0
2021-04-09,Silleda,8687,,
2021-04-10,Silleda,8687,,
2021-04-11,Silleda,8687,,
2021-04-12,Silleda,8687,,
2021-04-13,Silleda,8687,,
2021-04-14,Silleda,8687,,
2021-04-15,Silleda,8687,,
2021-04-16,Silleda,8687,,0
2021-04-17,Silleda,8687,,0
2021-04-18,Silleda,8687,,0
2021-04-19,Silleda,8687,,0
2021-04-20,Silleda,8687,,
2021-04-21,Silleda,8687,,
2021-04-22,Silleda,8687,,
2021-04-23,Silleda,8687,,
2021-04-24,Silleda,8687,,
2021-04-25,Silleda,8687,,
2021-04-26,Silleda,8687,,
2021-04-27,Silleda,8687,,
2021-04-28,Silleda,8687,,
2021-04-29,Silleda,8687,12,
2021-04-30,Silleda,8687,14,10
2021-05-01,Silleda,8687,14,
2021-05-02,Silleda,8687,15,10
2021-05-03,Silleda,8687,15,10
2021-05-04,Silleda,8687,14,10
2021-05-05,Silleda,8687,12,
2021-05-06,Silleda,8687,12,
2021-05-07,Silleda,8687,11,
2021-05-08,Silleda,8687,13,
2021-05-09,Silleda,8687,17,
2021-05-10,Silleda,8687,17,
2021-05-11,Silleda,8687,17,
2021-05-12,Silleda,8687,15,
2021-05-13,Silleda,8687,12,
2021-05-14,Silleda,8687,10,
2021-05-15,Silleda,8687,10,
