fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Sober,2312,0,
2020-11-22,Sober,2312,0,
2020-11-23,Sober,2312,0,
2020-11-24,Sober,2312,0,
2020-11-25,Sober,2312,0,
2020-11-26,Sober,2312,0,
2020-11-27,Sober,2312,0,
2020-11-28,Sober,2312,0,
2020-11-29,Sober,2312,0,
2020-11-30,Sober,2312,0,
2020-12-01,Sober,2312,0,
2020-12-02,Sober,2312,0,
2020-12-03,Sober,2312,0,
2020-12-04,Sober,2312,0,
2020-12-05,Sober,2312,0,
2020-12-06,Sober,2312,0,
2020-12-07,Sober,2312,,
2020-12-08,Sober,2312,,
2020-12-09,Sober,2312,,
2020-12-10,Sober,2312,,
2020-12-11,Sober,2312,,
2020-12-12,Sober,2312,,
2020-12-13,Sober,2312,,
2020-12-14,Sober,2312,,
2020-12-15,Sober,2312,,
2020-12-16,Sober,2312,,
2020-12-17,Sober,2312,,
2020-12-18,Sober,2312,,
2020-12-19,Sober,2312,,
2020-12-20,Sober,2312,,
2020-12-21,Sober,2312,,
2020-12-22,Sober,2312,,
2020-12-23,Sober,2312,,
2020-12-24,Sober,2312,,
2020-12-25,Sober,2312,0,
2020-12-26,Sober,2312,0,
2020-12-27,Sober,2312,0,
2020-12-28,Sober,2312,0,
2020-12-29,Sober,2312,0,
2020-12-30,Sober,2312,0,
2020-12-31,Sober,2312,0,
2021-01-01,Sober,2312,0,
2021-01-02,Sober,2312,0,
2021-01-03,Sober,2312,0,
2021-01-04,Sober,2312,0,
2021-01-05,Sober,2312,0,
2021-01-06,Sober,2312,0,
2021-01-07,Sober,2312,0,
2021-01-08,Sober,2312,0,
2021-01-09,Sober,2312,0,
2021-01-10,Sober,2312,0,
2021-01-11,Sober,2312,0,
2021-01-12,Sober,2312,0,
2021-01-13,Sober,2312,0,
2021-01-14,Sober,2312,0,
2021-01-15,Sober,2312,0,
2021-01-16,Sober,2312,0,
2021-01-17,Sober,2312,0,
2021-01-18,Sober,2312,0,
2021-01-19,Sober,2312,,
2021-01-20,Sober,2312,,
2021-01-21,Sober,2312,,
2021-01-22,Sober,2312,,
2021-01-23,Sober,2312,10,
2021-01-24,Sober,2312,10,
2021-01-25,Sober,2312,11,
2021-01-26,Sober,2312,12,
2021-01-27,Sober,2312,12,
2021-01-28,Sober,2312,12,
2021-01-29,Sober,2312,12,
2021-01-30,Sober,2312,12,
2021-01-31,Sober,2312,12,
2021-02-01,Sober,2312,12,
2021-02-02,Sober,2312,,
2021-02-03,Sober,2312,10,
2021-02-04,Sober,2312,,
2021-02-05,Sober,2312,11,
2021-02-06,Sober,2312,12,
2021-02-07,Sober,2312,12,
2021-02-08,Sober,2312,12,
2021-02-09,Sober,2312,12,
2021-02-10,Sober,2312,12,
2021-02-11,Sober,2312,12,
2021-02-12,Sober,2312,12,
2021-02-13,Sober,2312,17,
2021-02-14,Sober,2312,20,
2021-02-15,Sober,2312,20,
2021-02-16,Sober,2312,19,
2021-02-17,Sober,2312,18,
2021-02-18,Sober,2312,18,
2021-02-19,Sober,2312,12,
2021-02-20,Sober,2312,10,
2021-02-21,Sober,2312,,
2021-02-22,Sober,2312,,
