fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Taboada,2756,,
2020-11-22,Taboada,2756,,
2020-11-23,Taboada,2756,,
2020-11-24,Taboada,2756,,
2020-11-25,Taboada,2756,,
2020-11-26,Taboada,2756,,
2020-11-27,Taboada,2756,,
2020-11-28,Taboada,2756,,
2020-11-29,Taboada,2756,,
2020-11-30,Taboada,2756,,
2020-12-01,Taboada,2756,,
2020-12-02,Taboada,2756,,
2020-12-03,Taboada,2756,,
2020-12-04,Taboada,2756,,
2020-12-05,Taboada,2756,,
2020-12-06,Taboada,2756,,
2020-12-07,Taboada,2756,,
2020-12-08,Taboada,2756,,
2020-12-09,Taboada,2756,,
2020-12-10,Taboada,2756,,
2020-12-11,Taboada,2756,,
2020-12-12,Taboada,2756,,
2020-12-13,Taboada,2756,,
2020-12-14,Taboada,2756,,
2020-12-15,Taboada,2756,0,
2020-12-16,Taboada,2756,0,
2020-12-17,Taboada,2756,0,
2020-12-18,Taboada,2756,,
2020-12-19,Taboada,2756,,
2020-12-20,Taboada,2756,,
2020-12-21,Taboada,2756,,
2020-12-22,Taboada,2756,,
2020-12-23,Taboada,2756,,
2020-12-24,Taboada,2756,,
2020-12-25,Taboada,2756,,
2020-12-26,Taboada,2756,,
2020-12-27,Taboada,2756,,
2020-12-28,Taboada,2756,,
2020-12-29,Taboada,2756,,
2020-12-30,Taboada,2756,,
2020-12-31,Taboada,2756,,
2021-01-01,Taboada,2756,,
2021-01-02,Taboada,2756,,
2021-01-03,Taboada,2756,,
2021-01-04,Taboada,2756,,
2021-01-05,Taboada,2756,,
2021-01-06,Taboada,2756,,
2021-01-07,Taboada,2756,,
2021-01-08,Taboada,2756,,
2021-01-09,Taboada,2756,,
2021-01-10,Taboada,2756,,
2021-01-11,Taboada,2756,,
2021-01-12,Taboada,2756,,
2021-01-13,Taboada,2756,,
2021-01-14,Taboada,2756,,
2021-01-15,Taboada,2756,,
2021-01-16,Taboada,2756,,
2021-01-17,Taboada,2756,,
2021-01-18,Taboada,2756,,
2021-01-19,Taboada,2756,,
2021-01-20,Taboada,2756,,
2021-01-21,Taboada,2756,,
2021-01-22,Taboada,2756,,
2021-01-23,Taboada,2756,,
2021-01-24,Taboada,2756,,
2021-01-25,Taboada,2756,,
2021-01-26,Taboada,2756,,
2021-01-27,Taboada,2756,,
2021-01-28,Taboada,2756,,
2021-01-29,Taboada,2756,,
2021-01-30,Taboada,2756,10,
2021-01-31,Taboada,2756,10,
2021-02-01,Taboada,2756,10,
2021-02-02,Taboada,2756,10,
2021-02-03,Taboada,2756,10,
2021-02-04,Taboada,2756,11,
2021-02-05,Taboada,2756,10,
2021-02-06,Taboada,2756,11,
2021-02-07,Taboada,2756,13,
2021-02-08,Taboada,2756,13,
2021-02-09,Taboada,2756,16,
2021-02-10,Taboada,2756,13,
2021-02-11,Taboada,2756,13,
2021-02-12,Taboada,2756,14,
