fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Taboadela,1429,0,
2020-11-22,Taboadela,1429,0,
2020-11-23,Taboadela,1429,0,
2020-11-24,Taboadela,1429,0,
2020-11-25,Taboadela,1429,0,
2020-11-26,Taboadela,1429,0,
2020-11-27,Taboadela,1429,0,
2020-11-28,Taboadela,1429,0,
2020-11-29,Taboadela,1429,0,
2020-11-30,Taboadela,1429,0,
2020-12-01,Taboadela,1429,0,
2020-12-02,Taboadela,1429,0,
2020-12-03,Taboadela,1429,,
2020-12-04,Taboadela,1429,,
2020-12-05,Taboadela,1429,,
2020-12-06,Taboadela,1429,,
2020-12-07,Taboadela,1429,,
2020-12-08,Taboadela,1429,,
2020-12-09,Taboadela,1429,,
2020-12-10,Taboadela,1429,,
2020-12-11,Taboadela,1429,,
2020-12-12,Taboadela,1429,,
2020-12-13,Taboadela,1429,,
2020-12-14,Taboadela,1429,,
2020-12-15,Taboadela,1429,,
2020-12-16,Taboadela,1429,,
2020-12-17,Taboadela,1429,,
2020-12-18,Taboadela,1429,,
2020-12-19,Taboadela,1429,,
2020-12-20,Taboadela,1429,,
2020-12-21,Taboadela,1429,,
2020-12-22,Taboadela,1429,,
2020-12-23,Taboadela,1429,,
2020-12-24,Taboadela,1429,,
2020-12-25,Taboadela,1429,,
2020-12-26,Taboadela,1429,,
2020-12-27,Taboadela,1429,0,
2020-12-28,Taboadela,1429,0,
2020-12-29,Taboadela,1429,0,
2020-12-30,Taboadela,1429,0,
2020-12-31,Taboadela,1429,0,
2021-01-01,Taboadela,1429,0,
2021-01-02,Taboadela,1429,0,
2021-01-03,Taboadela,1429,0,
2021-01-04,Taboadela,1429,0,
2021-01-05,Taboadela,1429,0,
2021-01-06,Taboadela,1429,0,
2021-01-07,Taboadela,1429,0,
2021-01-08,Taboadela,1429,0,
2021-01-09,Taboadela,1429,,
2021-01-10,Taboadela,1429,,
2021-01-11,Taboadela,1429,,
2021-01-12,Taboadela,1429,,
2021-01-13,Taboadela,1429,,
2021-01-14,Taboadela,1429,,
2021-01-15,Taboadela,1429,,
2021-01-16,Taboadela,1429,,
2021-01-17,Taboadela,1429,10,
2021-01-18,Taboadela,1429,13,
2021-01-19,Taboadela,1429,19,
2021-01-20,Taboadela,1429,20,
2021-01-21,Taboadela,1429,20,
2021-01-22,Taboadela,1429,22,
2021-01-23,Taboadela,1429,20,
2021-01-24,Taboadela,1429,21,
2021-01-25,Taboadela,1429,20,
