fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Teo,18579,37,
2020-11-22,Teo,18579,31,
2020-11-23,Teo,18579,26,
2020-11-24,Teo,18579,24,
2020-11-25,Teo,18579,22,
2020-11-26,Teo,18579,22,
2020-11-27,Teo,18579,21,
2020-11-28,Teo,18579,23,
2020-11-29,Teo,18579,23,
2020-11-30,Teo,18579,22,
2020-12-01,Teo,18579,20,
2020-12-02,Teo,18579,18,
2020-12-03,Teo,18579,16,
2020-12-04,Teo,18579,15,
2020-12-05,Teo,18579,11,
2020-12-06,Teo,18579,10,
2020-12-07,Teo,18579,,
2020-12-08,Teo,18579,,
2020-12-09,Teo,18579,,
2020-12-10,Teo,18579,10,
2020-12-11,Teo,18579,,
2020-12-12,Teo,18579,,
2020-12-13,Teo,18579,,
2020-12-14,Teo,18579,,
2020-12-15,Teo,18579,,
2020-12-16,Teo,18579,,
2020-12-17,Teo,18579,,
2020-12-18,Teo,18579,,
2020-12-19,Teo,18579,,
2020-12-20,Teo,18579,,
2020-12-21,Teo,18579,,
2020-12-22,Teo,18579,,
2020-12-23,Teo,18579,12,
2020-12-24,Teo,18579,14,
2020-12-25,Teo,18579,17,
2020-12-26,Teo,18579,24,
2020-12-27,Teo,18579,25,
2020-12-28,Teo,18579,28,
2020-12-29,Teo,18579,30,
2020-12-30,Teo,18579,32,
2020-12-31,Teo,18579,35,
2021-01-01,Teo,18579,42,
2021-01-02,Teo,18579,45,
2021-01-03,Teo,18579,48,
2021-01-04,Teo,18579,49,
2021-01-05,Teo,18579,49,
2021-01-06,Teo,18579,48,
2021-01-07,Teo,18579,51,
2021-01-08,Teo,18579,51,
2021-01-09,Teo,18579,47,
2021-01-10,Teo,18579,48,
2021-01-11,Teo,18579,49,
2021-01-12,Teo,18579,48,
2021-01-13,Teo,18579,52,
2021-01-14,Teo,18579,53,
2021-01-15,Teo,18579,50,
2021-01-16,Teo,18579,51,
2021-01-17,Teo,18579,51,
2021-01-18,Teo,18579,52,
2021-01-19,Teo,18579,56,
2021-01-20,Teo,18579,57,
2021-01-21,Teo,18579,59,
2021-01-22,Teo,18579,67,
2021-01-23,Teo,18579,68,
2021-01-24,Teo,18579,71,
2021-01-25,Teo,18579,77,
2021-01-26,Teo,18579,82,
2021-01-27,Teo,18579,94,
2021-01-28,Teo,18579,97,
2021-01-29,Teo,18579,108,
2021-01-30,Teo,18579,105,
2021-01-31,Teo,18579,106,
2021-02-01,Teo,18579,107,
2021-02-02,Teo,18579,104,
2021-02-03,Teo,18579,100,
2021-02-04,Teo,18579,103,
2021-02-05,Teo,18579,96,
2021-02-06,Teo,18579,93,
2021-02-07,Teo,18579,92,
2021-02-08,Teo,18579,85,
2021-02-09,Teo,18579,81,
2021-02-10,Teo,18579,63,
2021-02-11,Teo,18579,58,
2021-02-12,Teo,18579,44,
2021-02-13,Teo,18579,47,
2021-02-14,Teo,18579,45,
2021-02-15,Teo,18579,42,
2021-02-16,Teo,18579,41,
2021-02-17,Teo,18579,45,
2021-02-18,Teo,18579,38,
2021-02-19,Teo,18579,35,
2021-02-20,Teo,18579,38,
2021-02-21,Teo,18579,33,
2021-02-22,Teo,18579,33,
2021-02-23,Teo,18579,35,
2021-02-24,Teo,18579,37,
2021-02-25,Teo,18579,39,
2021-02-26,Teo,18579,40,
2021-02-27,Teo,18579,37,
2021-02-28,Teo,18579,36,
2021-03-01,Teo,18579,35,
2021-03-02,Teo,18579,35,12
2021-03-03,Teo,18579,30,10
2021-03-04,Teo,18579,28,
2021-03-05,Teo,18579,28,
2021-03-06,Teo,18579,24,
2021-03-07,Teo,18579,26,
2021-03-08,Teo,18579,23,
2021-03-09,Teo,18579,20,
2021-03-10,Teo,18579,19,
2021-03-11,Teo,18579,16,
2021-03-12,Teo,18579,13,
2021-03-13,Teo,18579,11,
2021-03-14,Teo,18579,11,
2021-03-15,Teo,18579,11,
2021-03-16,Teo,18579,10,
2021-03-17,Teo,18579,10,
