fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Tomiño,13499,45,
2020-11-22,Tomiño,13499,45,
2020-11-23,Tomiño,13499,40,
2020-11-24,Tomiño,13499,41,
2020-11-25,Tomiño,13499,42,
2020-11-26,Tomiño,13499,41,
2020-11-27,Tomiño,13499,43,
2020-11-28,Tomiño,13499,37,
2020-11-29,Tomiño,13499,36,
2020-11-30,Tomiño,13499,34,
2020-12-01,Tomiño,13499,35,
2020-12-02,Tomiño,13499,38,
2020-12-03,Tomiño,13499,35,
2020-12-04,Tomiño,13499,31,
2020-12-05,Tomiño,13499,31,
2020-12-06,Tomiño,13499,31,
2020-12-07,Tomiño,13499,34,
2020-12-08,Tomiño,13499,36,
2020-12-09,Tomiño,13499,37,
2020-12-10,Tomiño,13499,37,
2020-12-11,Tomiño,13499,35,
2020-12-12,Tomiño,13499,37,
2020-12-13,Tomiño,13499,40,
2020-12-14,Tomiño,13499,45,
2020-12-15,Tomiño,13499,46,
2020-12-16,Tomiño,13499,52,
2020-12-17,Tomiño,13499,51,
2020-12-18,Tomiño,13499,52,
2020-12-19,Tomiño,13499,51,
2020-12-20,Tomiño,13499,52,
2020-12-21,Tomiño,13499,54,
2020-12-22,Tomiño,13499,50,
2020-12-23,Tomiño,13499,47,
2020-12-24,Tomiño,13499,48,
2020-12-25,Tomiño,13499,49,
2020-12-26,Tomiño,13499,54,
2020-12-27,Tomiño,13499,52,
2020-12-28,Tomiño,13499,52,
2020-12-29,Tomiño,13499,54,
2020-12-30,Tomiño,13499,47,
2020-12-31,Tomiño,13499,48,
2021-01-01,Tomiño,13499,58,
2021-01-02,Tomiño,13499,62,
2021-01-03,Tomiño,13499,69,
2021-01-04,Tomiño,13499,64,
2021-01-05,Tomiño,13499,72,
2021-01-06,Tomiño,13499,79,
2021-01-07,Tomiño,13499,82,
2021-01-08,Tomiño,13499,83,
2021-01-09,Tomiño,13499,80,
2021-01-10,Tomiño,13499,79,
2021-01-11,Tomiño,13499,82,
2021-01-12,Tomiño,13499,83,
2021-01-13,Tomiño,13499,93,
2021-01-14,Tomiño,13499,112,
2021-01-15,Tomiño,13499,104,
2021-01-16,Tomiño,13499,103,
2021-01-17,Tomiño,13499,101,
2021-01-18,Tomiño,13499,103,
2021-01-19,Tomiño,13499,103,
2021-01-20,Tomiño,13499,102,
2021-01-21,Tomiño,13499,120,
2021-01-22,Tomiño,13499,127,
2021-01-23,Tomiño,13499,142,
2021-01-24,Tomiño,13499,151,
2021-01-25,Tomiño,13499,153,
2021-01-26,Tomiño,13499,152,
2021-01-27,Tomiño,13499,142,
2021-01-28,Tomiño,13499,126,
2021-01-29,Tomiño,13499,129,
2021-01-30,Tomiño,13499,134,
2021-01-31,Tomiño,13499,134,
2021-02-01,Tomiño,13499,134,
2021-02-02,Tomiño,13499,131,
2021-02-03,Tomiño,13499,131,
2021-02-04,Tomiño,13499,118,
2021-02-05,Tomiño,13499,110,
2021-02-06,Tomiño,13499,95,
2021-02-07,Tomiño,13499,85,
2021-02-08,Tomiño,13499,77,
2021-02-09,Tomiño,13499,73,
2021-02-10,Tomiño,13499,76,
2021-02-11,Tomiño,13499,74,
2021-02-12,Tomiño,13499,69,
2021-02-13,Tomiño,13499,58,
2021-02-14,Tomiño,13499,57,
2021-02-15,Tomiño,13499,55,
2021-02-16,Tomiño,13499,50,
2021-02-17,Tomiño,13499,46,
2021-02-18,Tomiño,13499,36,
2021-02-19,Tomiño,13499,32,
2021-02-20,Tomiño,13499,31,
2021-02-21,Tomiño,13499,33,
2021-02-22,Tomiño,13499,31,
2021-02-23,Tomiño,13499,32,
2021-02-24,Tomiño,13499,27,
2021-02-25,Tomiño,13499,27,
2021-02-26,Tomiño,13499,23,
2021-02-27,Tomiño,13499,23,
2021-02-28,Tomiño,13499,18,
2021-03-01,Tomiño,13499,17,
2021-03-02,Tomiño,13499,17,
2021-03-03,Tomiño,13499,16,
