fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Toques,1124,0,
2020-11-22,Toques,1124,0,
2020-11-23,Toques,1124,0,
2020-11-24,Toques,1124,0,
2020-11-25,Toques,1124,0,
2020-11-26,Toques,1124,0,
2020-11-27,Toques,1124,0,
2020-11-28,Toques,1124,0,
2020-11-29,Toques,1124,0,
2020-11-30,Toques,1124,0,
2020-12-01,Toques,1124,0,
2020-12-02,Toques,1124,0,
2020-12-03,Toques,1124,0,
2020-12-04,Toques,1124,0,
2020-12-05,Toques,1124,0,
2020-12-06,Toques,1124,0,
2020-12-07,Toques,1124,0,
2020-12-08,Toques,1124,0,
2020-12-09,Toques,1124,0,
2020-12-10,Toques,1124,0,
2020-12-11,Toques,1124,0,
2020-12-12,Toques,1124,0,
2020-12-13,Toques,1124,0,
2020-12-14,Toques,1124,0,
2020-12-15,Toques,1124,0,
2020-12-16,Toques,1124,0,
2020-12-17,Toques,1124,0,
2020-12-18,Toques,1124,,
2020-12-19,Toques,1124,,
2020-12-20,Toques,1124,,
2020-12-21,Toques,1124,,
2020-12-22,Toques,1124,,
2020-12-23,Toques,1124,,
2020-12-24,Toques,1124,,
2020-12-25,Toques,1124,,
2020-12-26,Toques,1124,,
2020-12-27,Toques,1124,,
2020-12-28,Toques,1124,,
2020-12-29,Toques,1124,,
2020-12-30,Toques,1124,10,
2020-12-31,Toques,1124,11,
2021-01-01,Toques,1124,10,
2021-01-02,Toques,1124,10,
2021-01-03,Toques,1124,,
2021-01-04,Toques,1124,,
2021-01-05,Toques,1124,,
2021-01-06,Toques,1124,,
2021-01-07,Toques,1124,,
2021-01-08,Toques,1124,,
2021-01-09,Toques,1124,,
2021-01-10,Toques,1124,,
2021-01-11,Toques,1124,,
2021-01-12,Toques,1124,,
2021-01-13,Toques,1124,,
2021-01-14,Toques,1124,,
2021-01-15,Toques,1124,,
2021-01-16,Toques,1124,,
2021-01-17,Toques,1124,,
2021-01-18,Toques,1124,,
2021-01-19,Toques,1124,,
2021-01-20,Toques,1124,,
2021-01-21,Toques,1124,,
2021-01-22,Toques,1124,,
2021-01-23,Toques,1124,,
2021-01-24,Toques,1124,,
2021-01-25,Toques,1124,,
2021-01-26,Toques,1124,,
2021-01-27,Toques,1124,,
2021-01-28,Toques,1124,,
2021-01-29,Toques,1124,,
2021-01-30,Toques,1124,,
2021-01-31,Toques,1124,,
2021-02-01,Toques,1124,,
2021-02-02,Toques,1124,,
2021-02-03,Toques,1124,,
2021-02-04,Toques,1124,,
2021-02-05,Toques,1124,,
2021-02-06,Toques,1124,,
2021-02-07,Toques,1124,,
2021-02-08,Toques,1124,,
2021-02-09,Toques,1124,,
2021-02-10,Toques,1124,,
2021-02-11,Toques,1124,,
2021-02-12,Toques,1124,,
2021-02-13,Toques,1124,,
2021-02-14,Toques,1124,,
2021-02-15,Toques,1124,,
2021-02-16,Toques,1124,,
2021-02-17,Toques,1124,,
2021-02-18,Toques,1124,,
2021-02-19,Toques,1124,,
2021-02-20,Toques,1124,,
2021-02-21,Toques,1124,,
2021-02-22,Toques,1124,,
2021-02-23,Toques,1124,,
2021-02-24,Toques,1124,,
2021-02-25,Toques,1124,,
2021-02-26,Toques,1124,,
2021-02-27,Toques,1124,,
2021-02-28,Toques,1124,,
2021-03-01,Toques,1124,,
2021-03-02,Toques,1124,,0
2021-03-03,Toques,1124,,0
2021-03-04,Toques,1124,,0
2021-03-05,Toques,1124,,0
2021-03-06,Toques,1124,,0
2021-03-07,Toques,1124,,0
2021-03-08,Toques,1124,,0
2021-03-09,Toques,1124,0,0
2021-03-10,Toques,1124,,
2021-03-11,Toques,1124,,
2021-03-12,Toques,1124,,
2021-03-13,Toques,1124,,
2021-03-14,Toques,1124,,
2021-03-15,Toques,1124,,
2021-03-16,Toques,1124,,
2021-03-17,Toques,1124,,0
2021-03-18,Toques,1124,,0
2021-03-19,Toques,1124,,0
2021-03-20,Toques,1124,,0
2021-03-21,Toques,1124,,0
2021-03-22,Toques,1124,,0
2021-03-23,Toques,1124,,0
2021-03-24,Toques,1124,0,0
2021-03-25,Toques,1124,0,0
2021-03-26,Toques,1124,0,0
2021-03-27,Toques,1124,0,0
2021-03-28,Toques,1124,0,0
2021-03-29,Toques,1124,0,0
2021-03-30,Toques,1124,0,0
2021-03-31,Toques,1124,,
2021-04-01,Toques,1124,,
2021-04-02,Toques,1124,,
2021-04-03,Toques,1124,,
2021-04-04,Toques,1124,,
2021-04-05,Toques,1124,,
2021-04-06,Toques,1124,,
2021-04-07,Toques,1124,,
2021-04-08,Toques,1124,,
2021-04-09,Toques,1124,,
2021-04-10,Toques,1124,,
2021-04-11,Toques,1124,,
2021-04-12,Toques,1124,,
2021-04-13,Toques,1124,,
2021-04-14,Toques,1124,,0
2021-04-15,Toques,1124,,0
2021-04-16,Toques,1124,,0
2021-04-17,Toques,1124,,0
2021-04-18,Toques,1124,,0
2021-04-19,Toques,1124,,0
2021-04-20,Toques,1124,,0
2021-04-21,Toques,1124,0,0
2021-04-22,Toques,1124,0,0
2021-04-23,Toques,1124,0,0
2021-04-24,Toques,1124,0,0
2021-04-25,Toques,1124,0,0
2021-04-26,Toques,1124,0,0
2021-04-27,Toques,1124,0,0
2021-04-28,Toques,1124,0,0
2021-04-29,Toques,1124,0,0
2021-04-30,Toques,1124,0,0
2021-05-01,Toques,1124,0,0
2021-05-02,Toques,1124,0,0
2021-05-03,Toques,1124,0,0
2021-05-04,Toques,1124,0,0
2021-05-05,Toques,1124,0,0
2021-05-06,Toques,1124,0,0
2021-05-07,Toques,1124,0,0
2021-05-08,Toques,1124,0,0
2021-05-09,Toques,1124,0,0
2021-05-10,Toques,1124,0,0
2021-05-11,Toques,1124,0,0
2021-05-12,Toques,1124,0,0
2021-05-13,Toques,1124,0,0
2021-05-14,Toques,1124,0,0
2021-05-15,Toques,1124,0,0
2021-05-16,Toques,1124,0,0
2021-05-17,Toques,1124,0,0
2021-05-18,Toques,1124,0,0
2021-05-19,Toques,1124,0,0
2021-05-20,Toques,1124,0,0
2021-05-21,Toques,1124,0,0
2021-05-22,Toques,1124,0,0
2021-05-23,Toques,1124,0,0
2021-05-24,Toques,1124,0,0
2021-05-25,Toques,1124,0,0
2021-05-26,Toques,1124,0,0
2021-05-27,Toques,1124,0,0
2021-05-28,Toques,1124,0,0
2021-05-29,Toques,1124,0,0
2021-05-30,Toques,1124,0,0
2021-05-31,Toques,1124,0,0
2021-06-01,Toques,1124,0,0
2021-06-02,Toques,1124,0,0
2021-06-03,Toques,1124,0,0
2021-06-04,Toques,1124,0,0
2021-06-05,Toques,1124,0,0
2021-06-06,Toques,1124,,
2021-06-07,Toques,1124,,
2021-06-08,Toques,1124,,
2021-06-09,Toques,1124,,
2021-06-10,Toques,1124,,
2021-06-11,Toques,1124,,
2021-06-12,Toques,1124,,
2021-06-13,Toques,1124,,
2021-06-14,Toques,1124,,
2021-06-15,Toques,1124,,
2021-06-16,Toques,1124,,
2021-06-17,Toques,1124,,0
2021-06-18,Toques,1124,,0
2021-06-19,Toques,1124,,0
