fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Tordoia,3299,,
2020-11-22,Tordoia,3299,,
2020-11-23,Tordoia,3299,,
2020-11-24,Tordoia,3299,11,
2020-11-25,Tordoia,3299,11,
2020-11-26,Tordoia,3299,11,
2020-11-27,Tordoia,3299,13,
2020-11-28,Tordoia,3299,13,
2020-11-29,Tordoia,3299,14,
2020-11-30,Tordoia,3299,14,
2020-12-01,Tordoia,3299,15,
2020-12-02,Tordoia,3299,15,
2020-12-03,Tordoia,3299,13,
2020-12-04,Tordoia,3299,15,
2020-12-05,Tordoia,3299,13,
2020-12-06,Tordoia,3299,11,
2020-12-07,Tordoia,3299,11,
2020-12-08,Tordoia,3299,,
2020-12-09,Tordoia,3299,,
2020-12-10,Tordoia,3299,,
2020-12-11,Tordoia,3299,,
2020-12-12,Tordoia,3299,,
2020-12-13,Tordoia,3299,,
2020-12-14,Tordoia,3299,,
2020-12-15,Tordoia,3299,,
2020-12-16,Tordoia,3299,,
2020-12-17,Tordoia,3299,,
2020-12-18,Tordoia,3299,,
2020-12-19,Tordoia,3299,,
2020-12-20,Tordoia,3299,,
2020-12-21,Tordoia,3299,,
2020-12-22,Tordoia,3299,,
2020-12-23,Tordoia,3299,,
2020-12-24,Tordoia,3299,,
2020-12-25,Tordoia,3299,,
2020-12-26,Tordoia,3299,,
2020-12-27,Tordoia,3299,,
2020-12-28,Tordoia,3299,,
2020-12-29,Tordoia,3299,,
2020-12-30,Tordoia,3299,,
2020-12-31,Tordoia,3299,,
2021-01-01,Tordoia,3299,,
2021-01-02,Tordoia,3299,,
2021-01-03,Tordoia,3299,,
2021-01-04,Tordoia,3299,,
2021-01-05,Tordoia,3299,,
2021-01-06,Tordoia,3299,,
2021-01-07,Tordoia,3299,,
2021-01-08,Tordoia,3299,,
2021-01-09,Tordoia,3299,,
2021-01-10,Tordoia,3299,,
2021-01-11,Tordoia,3299,,
2021-01-12,Tordoia,3299,,
2021-01-13,Tordoia,3299,10,
2021-01-14,Tordoia,3299,11,
2021-01-15,Tordoia,3299,13,
2021-01-16,Tordoia,3299,13,
2021-01-17,Tordoia,3299,14,
2021-01-18,Tordoia,3299,14,
2021-01-19,Tordoia,3299,14,
2021-01-20,Tordoia,3299,16,
2021-01-21,Tordoia,3299,19,
