fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Touro,3574,,
2020-11-22,Touro,3574,,
2020-11-23,Touro,3574,,
2020-11-24,Touro,3574,0,
2020-11-25,Touro,3574,0,
2020-11-26,Touro,3574,0,
2020-11-27,Touro,3574,0,
2020-11-28,Touro,3574,0,
2020-11-29,Touro,3574,0,
2020-11-30,Touro,3574,0,
2020-12-01,Touro,3574,0,
2020-12-02,Touro,3574,,
2020-12-03,Touro,3574,,
2020-12-04,Touro,3574,,
2020-12-05,Touro,3574,,
2020-12-06,Touro,3574,,
2020-12-07,Touro,3574,,
2020-12-08,Touro,3574,,
2020-12-09,Touro,3574,,
2020-12-10,Touro,3574,,
2020-12-11,Touro,3574,,
2020-12-12,Touro,3574,,
2020-12-13,Touro,3574,,
2020-12-14,Touro,3574,,
2020-12-15,Touro,3574,,
2020-12-16,Touro,3574,0,
2020-12-17,Touro,3574,,
2020-12-18,Touro,3574,,
2020-12-19,Touro,3574,,
2020-12-20,Touro,3574,,
2020-12-21,Touro,3574,,
2020-12-22,Touro,3574,,
2020-12-23,Touro,3574,,
2020-12-24,Touro,3574,,
2020-12-25,Touro,3574,,
2020-12-26,Touro,3574,,
2020-12-27,Touro,3574,,
2020-12-28,Touro,3574,,
2020-12-29,Touro,3574,,
2020-12-30,Touro,3574,,
2020-12-31,Touro,3574,,
2021-01-01,Touro,3574,,
2021-01-02,Touro,3574,,
2021-01-03,Touro,3574,,
2021-01-04,Touro,3574,,
2021-01-05,Touro,3574,,
2021-01-06,Touro,3574,,
2021-01-07,Touro,3574,,
2021-01-08,Touro,3574,15,
2021-01-09,Touro,3574,20,
2021-01-10,Touro,3574,18,
2021-01-11,Touro,3574,20,
2021-01-12,Touro,3574,24,
2021-01-13,Touro,3574,25,
2021-01-14,Touro,3574,25,
2021-01-15,Touro,3574,30,
2021-01-16,Touro,3574,30,
2021-01-17,Touro,3574,34,
2021-01-18,Touro,3574,34,
2021-01-19,Touro,3574,36,
2021-01-20,Touro,3574,35,
2021-01-21,Touro,3574,35,
2021-01-22,Touro,3574,28,
2021-01-23,Touro,3574,23,
2021-01-24,Touro,3574,26,
2021-01-25,Touro,3574,25,
2021-01-26,Touro,3574,21,
2021-01-27,Touro,3574,21,
2021-01-28,Touro,3574,22,
2021-01-29,Touro,3574,18,
2021-01-30,Touro,3574,21,
2021-01-31,Touro,3574,19,
2021-02-01,Touro,3574,19,
2021-02-02,Touro,3574,17,
2021-02-03,Touro,3574,16,
2021-02-04,Touro,3574,17,
2021-02-05,Touro,3574,17,
2021-02-06,Touro,3574,17,
2021-02-07,Touro,3574,14,
2021-02-08,Touro,3574,13,
2021-02-09,Touro,3574,13,
2021-02-10,Touro,3574,12,
2021-02-11,Touro,3574,12,
2021-02-12,Touro,3574,11,
2021-02-13,Touro,3574,,
2021-02-14,Touro,3574,,
2021-02-15,Touro,3574,,
2021-02-16,Touro,3574,,
2021-02-17,Touro,3574,,
2021-02-18,Touro,3574,,
2021-02-19,Touro,3574,,
2021-02-20,Touro,3574,,
2021-02-21,Touro,3574,,
2021-02-22,Touro,3574,,
2021-02-23,Touro,3574,,
2021-02-24,Touro,3574,,
2021-02-25,Touro,3574,,
2021-02-26,Touro,3574,,
2021-02-27,Touro,3574,,
2021-02-28,Touro,3574,,
2021-03-01,Touro,3574,,
2021-03-02,Touro,3574,,0
2021-03-03,Touro,3574,0,0
2021-03-04,Touro,3574,0,0
2021-03-05,Touro,3574,0,0
2021-03-06,Touro,3574,,
2021-03-07,Touro,3574,,
2021-03-08,Touro,3574,,
2021-03-09,Touro,3574,,
2021-03-10,Touro,3574,,
2021-03-11,Touro,3574,,
2021-03-12,Touro,3574,,
2021-03-13,Touro,3574,,
2021-03-14,Touro,3574,,
2021-03-15,Touro,3574,,
2021-03-16,Touro,3574,,
2021-03-17,Touro,3574,,
2021-03-18,Touro,3574,,
2021-03-19,Touro,3574,,
2021-03-20,Touro,3574,,
