fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Trabada,1118,,
2020-11-22,Trabada,1118,,
2020-11-23,Trabada,1118,,
2020-11-24,Trabada,1118,,
2020-11-25,Trabada,1118,,
2020-11-26,Trabada,1118,,
2020-11-27,Trabada,1118,,
2020-11-28,Trabada,1118,0,
2020-11-29,Trabada,1118,0,
2020-11-30,Trabada,1118,0,
2020-12-01,Trabada,1118,0,
2020-12-02,Trabada,1118,0,
2020-12-03,Trabada,1118,0,
2020-12-04,Trabada,1118,0,
2020-12-05,Trabada,1118,0,
2020-12-06,Trabada,1118,0,
2020-12-07,Trabada,1118,0,
2020-12-08,Trabada,1118,0,
2020-12-09,Trabada,1118,0,
2020-12-10,Trabada,1118,0,
2020-12-11,Trabada,1118,0,
2020-12-12,Trabada,1118,0,
2020-12-13,Trabada,1118,0,
2020-12-14,Trabada,1118,0,
2020-12-15,Trabada,1118,0,
2020-12-16,Trabada,1118,,
2020-12-17,Trabada,1118,,
2020-12-18,Trabada,1118,,
2020-12-19,Trabada,1118,,
2020-12-20,Trabada,1118,,
2020-12-21,Trabada,1118,,
2020-12-22,Trabada,1118,,
2020-12-23,Trabada,1118,,
2020-12-24,Trabada,1118,,
2020-12-25,Trabada,1118,,
2020-12-26,Trabada,1118,,
2020-12-27,Trabada,1118,,
2020-12-28,Trabada,1118,,
2020-12-29,Trabada,1118,,
2020-12-30,Trabada,1118,,
2020-12-31,Trabada,1118,,
2021-01-01,Trabada,1118,,
2021-01-02,Trabada,1118,,
2021-01-03,Trabada,1118,,
2021-01-04,Trabada,1118,,
2021-01-05,Trabada,1118,,
2021-01-06,Trabada,1118,,
2021-01-07,Trabada,1118,,
2021-01-08,Trabada,1118,,
2021-01-09,Trabada,1118,,
2021-01-10,Trabada,1118,,
2021-01-11,Trabada,1118,,
2021-01-12,Trabada,1118,,
2021-01-13,Trabada,1118,,
2021-01-14,Trabada,1118,,
2021-01-15,Trabada,1118,,
2021-01-16,Trabada,1118,,
2021-01-17,Trabada,1118,,
2021-01-18,Trabada,1118,0,
2021-01-19,Trabada,1118,0,
2021-01-20,Trabada,1118,0,
2021-01-21,Trabada,1118,0,
2021-01-22,Trabada,1118,0,
2021-01-23,Trabada,1118,0,
2021-01-24,Trabada,1118,0,
2021-01-25,Trabada,1118,0,
2021-01-26,Trabada,1118,,
2021-01-27,Trabada,1118,,
2021-01-28,Trabada,1118,,
2021-01-29,Trabada,1118,,
2021-01-30,Trabada,1118,,
2021-01-31,Trabada,1118,,
2021-02-01,Trabada,1118,,
2021-02-02,Trabada,1118,,
2021-02-03,Trabada,1118,,
2021-02-04,Trabada,1118,,
2021-02-05,Trabada,1118,,
2021-02-06,Trabada,1118,,
2021-02-07,Trabada,1118,,
2021-02-08,Trabada,1118,,
2021-02-09,Trabada,1118,,
2021-02-10,Trabada,1118,,
2021-02-11,Trabada,1118,,
2021-02-12,Trabada,1118,,
2021-02-13,Trabada,1118,,
2021-02-14,Trabada,1118,,
2021-02-15,Trabada,1118,,
2021-02-16,Trabada,1118,,
2021-02-17,Trabada,1118,0,
2021-02-18,Trabada,1118,0,
2021-02-19,Trabada,1118,0,
2021-02-20,Trabada,1118,0,
2021-02-21,Trabada,1118,0,
2021-02-22,Trabada,1118,0,
2021-02-23,Trabada,1118,0,
2021-02-24,Trabada,1118,0,
2021-02-25,Trabada,1118,0,
2021-02-26,Trabada,1118,0,
2021-02-27,Trabada,1118,0,
2021-02-28,Trabada,1118,0,
2021-03-01,Trabada,1118,0,
2021-03-02,Trabada,1118,0,0
2021-03-03,Trabada,1118,0,0
2021-03-04,Trabada,1118,0,0
2021-03-05,Trabada,1118,0,0
2021-03-06,Trabada,1118,0,0
2021-03-07,Trabada,1118,0,0
2021-03-08,Trabada,1118,0,0
2021-03-09,Trabada,1118,0,0
2021-03-10,Trabada,1118,0,0
2021-03-11,Trabada,1118,0,0
2021-03-12,Trabada,1118,0,0
2021-03-13,Trabada,1118,0,0
2021-03-14,Trabada,1118,0,0
2021-03-15,Trabada,1118,0,0
2021-03-16,Trabada,1118,0,0
2021-03-17,Trabada,1118,0,0
2021-03-18,Trabada,1118,0,0
2021-03-19,Trabada,1118,0,0
2021-03-20,Trabada,1118,0,0
2021-03-21,Trabada,1118,0,0
2021-03-22,Trabada,1118,0,0
2021-03-23,Trabada,1118,0,0
2021-03-24,Trabada,1118,0,0
2021-03-25,Trabada,1118,0,0
2021-03-26,Trabada,1118,0,0
2021-03-27,Trabada,1118,0,0
2021-03-28,Trabada,1118,0,0
2021-03-29,Trabada,1118,0,0
2021-03-30,Trabada,1118,0,0
2021-03-31,Trabada,1118,0,0
2021-04-01,Trabada,1118,0,0
2021-04-02,Trabada,1118,0,0
2021-04-03,Trabada,1118,0,0
2021-04-04,Trabada,1118,0,0
2021-04-05,Trabada,1118,0,0
2021-04-06,Trabada,1118,0,0
2021-04-07,Trabada,1118,0,0
2021-04-08,Trabada,1118,0,0
2021-04-09,Trabada,1118,0,0
2021-04-10,Trabada,1118,,
2021-04-11,Trabada,1118,,
2021-04-12,Trabada,1118,,
2021-04-13,Trabada,1118,,
2021-04-14,Trabada,1118,,
2021-04-15,Trabada,1118,,
2021-04-16,Trabada,1118,,
2021-04-17,Trabada,1118,,
2021-04-18,Trabada,1118,,
2021-04-19,Trabada,1118,,
2021-04-20,Trabada,1118,,
2021-04-21,Trabada,1118,,
2021-04-22,Trabada,1118,,
2021-04-23,Trabada,1118,,
2021-04-24,Trabada,1118,,
2021-04-25,Trabada,1118,,
2021-04-26,Trabada,1118,,
2021-04-27,Trabada,1118,,
2021-04-28,Trabada,1118,,
2021-04-29,Trabada,1118,,
2021-04-30,Trabada,1118,,
2021-05-01,Trabada,1118,,
2021-05-02,Trabada,1118,,
2021-05-03,Trabada,1118,,
2021-05-04,Trabada,1118,,
2021-05-05,Trabada,1118,,0
2021-05-06,Trabada,1118,,0
2021-05-07,Trabada,1118,,0
2021-05-08,Trabada,1118,,0
2021-05-09,Trabada,1118,,0
2021-05-10,Trabada,1118,,0
2021-05-11,Trabada,1118,,0
2021-05-12,Trabada,1118,0,0
2021-05-13,Trabada,1118,0,0
2021-05-14,Trabada,1118,0,0
2021-05-15,Trabada,1118,0,0
2021-05-16,Trabada,1118,0,0
2021-05-17,Trabada,1118,0,0
2021-05-18,Trabada,1118,0,0
2021-05-19,Trabada,1118,0,0
2021-05-20,Trabada,1118,0,0
2021-05-21,Trabada,1118,0,0
2021-05-22,Trabada,1118,0,0
2021-05-23,Trabada,1118,0,0
2021-05-24,Trabada,1118,0,0
2021-05-25,Trabada,1118,0,0
2021-05-26,Trabada,1118,0,0
2021-05-27,Trabada,1118,0,0
2021-05-28,Trabada,1118,0,0
2021-05-29,Trabada,1118,0,0
2021-05-30,Trabada,1118,0,0
2021-05-31,Trabada,1118,0,0
2021-06-01,Trabada,1118,0,0
2021-06-02,Trabada,1118,0,0
2021-06-03,Trabada,1118,0,0
2021-06-04,Trabada,1118,0,0
2021-06-05,Trabada,1118,0,0
2021-06-06,Trabada,1118,0,0
2021-06-07,Trabada,1118,0,0
2021-06-08,Trabada,1118,0,0
2021-06-09,Trabada,1118,0,0
2021-06-10,Trabada,1118,0,0
2021-06-11,Trabada,1118,0,0
2021-06-12,Trabada,1118,0,0
2021-06-13,Trabada,1118,0,0
2021-06-14,Trabada,1118,0,0
2021-06-15,Trabada,1118,0,0
2021-06-16,Trabada,1118,0,0
2021-06-17,Trabada,1118,0,0
2021-06-18,Trabada,1118,0,0
2021-06-19,Trabada,1118,,
2021-06-20,Trabada,1118,,
2021-06-21,Trabada,1118,,
2021-06-22,Trabada,1118,,
2021-06-23,Trabada,1118,,
2021-06-24,Trabada,1118,,
2021-06-25,Trabada,1118,,
2021-06-26,Trabada,1118,,0
2021-06-27,Trabada,1118,,0
2021-06-28,Trabada,1118,,0
2021-06-29,Trabada,1118,,0
2021-06-30,Trabada,1118,,0
2021-07-01,Trabada,1118,,0
2021-07-02,Trabada,1118,,0
2021-07-03,Trabada,1118,0,0
2021-07-04,Trabada,1118,0,0
2021-07-05,Trabada,1118,0,0
2021-07-06,Trabada,1118,0,0
2021-07-07,Trabada,1118,0,0
2021-07-08,Trabada,1118,0,0
