fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Trazo,3113,,
2020-11-22,Trazo,3113,,
2020-11-23,Trazo,3113,,
2020-11-24,Trazo,3113,,
2020-11-25,Trazo,3113,,
2020-11-26,Trazo,3113,,
2020-11-27,Trazo,3113,,
2020-11-28,Trazo,3113,,
2020-11-29,Trazo,3113,,
2020-11-30,Trazo,3113,,
2020-12-01,Trazo,3113,,
2020-12-02,Trazo,3113,,
2020-12-03,Trazo,3113,,
2020-12-04,Trazo,3113,,
2020-12-05,Trazo,3113,,
2020-12-06,Trazo,3113,,
2020-12-07,Trazo,3113,0,
2020-12-08,Trazo,3113,0,
2020-12-09,Trazo,3113,0,
2020-12-10,Trazo,3113,0,
2020-12-11,Trazo,3113,0,
2020-12-12,Trazo,3113,0,
2020-12-13,Trazo,3113,0,
2020-12-14,Trazo,3113,0,
2020-12-15,Trazo,3113,0,
2020-12-16,Trazo,3113,0,
2020-12-17,Trazo,3113,0,
2020-12-18,Trazo,3113,0,
2020-12-19,Trazo,3113,0,
2020-12-20,Trazo,3113,0,
2020-12-21,Trazo,3113,0,
2020-12-22,Trazo,3113,0,
2020-12-23,Trazo,3113,0,
2020-12-24,Trazo,3113,0,
2020-12-25,Trazo,3113,0,
2020-12-26,Trazo,3113,0,
2020-12-27,Trazo,3113,0,
2020-12-28,Trazo,3113,0,
2020-12-29,Trazo,3113,0,
2020-12-30,Trazo,3113,0,
2020-12-31,Trazo,3113,,
2021-01-01,Trazo,3113,,
2021-01-02,Trazo,3113,,
2021-01-03,Trazo,3113,,
2021-01-04,Trazo,3113,,
2021-01-05,Trazo,3113,,
2021-01-06,Trazo,3113,,
2021-01-07,Trazo,3113,,
2021-01-08,Trazo,3113,,
2021-01-09,Trazo,3113,11,
2021-01-10,Trazo,3113,19,
2021-01-11,Trazo,3113,21,
2021-01-12,Trazo,3113,28,
2021-01-13,Trazo,3113,29,
2021-01-14,Trazo,3113,29,
2021-01-15,Trazo,3113,26,
2021-01-16,Trazo,3113,26,
2021-01-17,Trazo,3113,27,
2021-01-18,Trazo,3113,27,
2021-01-19,Trazo,3113,28,
2021-01-20,Trazo,3113,29,
2021-01-21,Trazo,3113,30,
2021-01-22,Trazo,3113,28,
2021-01-23,Trazo,3113,24,
2021-01-24,Trazo,3113,18,
2021-01-25,Trazo,3113,20,
2021-01-26,Trazo,3113,13,
2021-01-27,Trazo,3113,12,
2021-01-28,Trazo,3113,12,
2021-01-29,Trazo,3113,14,
2021-01-30,Trazo,3113,14,
2021-01-31,Trazo,3113,13,
2021-02-01,Trazo,3113,14,
2021-02-02,Trazo,3113,15,
2021-02-03,Trazo,3113,14,
2021-02-04,Trazo,3113,16,
2021-02-05,Trazo,3113,18,
2021-02-06,Trazo,3113,25,
2021-02-07,Trazo,3113,27,
2021-02-08,Trazo,3113,23,
2021-02-09,Trazo,3113,25,
2021-02-10,Trazo,3113,25,
2021-02-11,Trazo,3113,26,
2021-02-12,Trazo,3113,24,
2021-02-13,Trazo,3113,22,
2021-02-14,Trazo,3113,23,
2021-02-15,Trazo,3113,22,
2021-02-16,Trazo,3113,20,
2021-02-17,Trazo,3113,20,
2021-02-18,Trazo,3113,17,
2021-02-19,Trazo,3113,15,
2021-02-20,Trazo,3113,,
2021-02-21,Trazo,3113,,
2021-02-22,Trazo,3113,,
2021-02-23,Trazo,3113,,
2021-02-24,Trazo,3113,,
2021-02-25,Trazo,3113,,
2021-02-26,Trazo,3113,,
2021-02-27,Trazo,3113,,
2021-02-28,Trazo,3113,0,
2021-03-01,Trazo,3113,,
2021-03-02,Trazo,3113,,
2021-03-03,Trazo,3113,,
2021-03-04,Trazo,3113,,
2021-03-05,Trazo,3113,,
2021-03-06,Trazo,3113,,
2021-03-07,Trazo,3113,,
2021-03-08,Trazo,3113,,
2021-03-09,Trazo,3113,,0
2021-03-10,Trazo,3113,,0
2021-03-11,Trazo,3113,,0
2021-03-12,Trazo,3113,,0
2021-03-13,Trazo,3113,,0
2021-03-14,Trazo,3113,,0
2021-03-15,Trazo,3113,,0
2021-03-16,Trazo,3113,0,0
2021-03-17,Trazo,3113,0,0
2021-03-18,Trazo,3113,0,0
2021-03-19,Trazo,3113,0,0
2021-03-20,Trazo,3113,0,0
2021-03-21,Trazo,3113,0,0
2021-03-22,Trazo,3113,0,0
2021-03-23,Trazo,3113,0,0
2021-03-24,Trazo,3113,0,0
2021-03-25,Trazo,3113,0,0
2021-03-26,Trazo,3113,,
2021-03-27,Trazo,3113,,
2021-03-28,Trazo,3113,,
2021-03-29,Trazo,3113,,
2021-03-30,Trazo,3113,,
2021-03-31,Trazo,3113,,
2021-04-01,Trazo,3113,,
2021-04-02,Trazo,3113,,
2021-04-03,Trazo,3113,,
2021-04-04,Trazo,3113,,
2021-04-05,Trazo,3113,,
2021-04-06,Trazo,3113,,
2021-04-07,Trazo,3113,,
2021-04-08,Trazo,3113,,
2021-04-09,Trazo,3113,,
2021-04-10,Trazo,3113,,0
2021-04-11,Trazo,3113,,
2021-04-12,Trazo,3113,,
2021-04-13,Trazo,3113,,
2021-04-14,Trazo,3113,,
2021-04-15,Trazo,3113,,
2021-04-16,Trazo,3113,,
2021-04-17,Trazo,3113,,
2021-04-18,Trazo,3113,,
2021-04-19,Trazo,3113,,
2021-04-20,Trazo,3113,,
2021-04-21,Trazo,3113,,
2021-04-22,Trazo,3113,,
2021-04-23,Trazo,3113,,
2021-04-24,Trazo,3113,,0
2021-04-25,Trazo,3113,,0
2021-04-26,Trazo,3113,,0
2021-04-27,Trazo,3113,,0
2021-04-28,Trazo,3113,,0
2021-04-29,Trazo,3113,,0
2021-04-30,Trazo,3113,,0
2021-05-01,Trazo,3113,0,0
2021-05-02,Trazo,3113,0,0
2021-05-03,Trazo,3113,0,0
2021-05-04,Trazo,3113,0,0
2021-05-05,Trazo,3113,0,0
2021-05-06,Trazo,3113,0,0
2021-05-07,Trazo,3113,0,0
2021-05-08,Trazo,3113,0,0
2021-05-09,Trazo,3113,0,0
2021-05-10,Trazo,3113,0,0
2021-05-11,Trazo,3113,0,0
2021-05-12,Trazo,3113,0,0
2021-05-13,Trazo,3113,0,0
2021-05-14,Trazo,3113,0,0
2021-05-15,Trazo,3113,,
2021-05-16,Trazo,3113,,
2021-05-17,Trazo,3113,,
2021-05-18,Trazo,3113,,
2021-05-19,Trazo,3113,,
2021-05-20,Trazo,3113,,
2021-05-21,Trazo,3113,,
2021-05-22,Trazo,3113,,
2021-05-23,Trazo,3113,,
2021-05-24,Trazo,3113,,
2021-05-25,Trazo,3113,,
2021-05-26,Trazo,3113,,
2021-05-27,Trazo,3113,,
2021-05-28,Trazo,3113,,
2021-05-29,Trazo,3113,,
2021-05-30,Trazo,3113,,
2021-05-31,Trazo,3113,,0
2021-06-01,Trazo,3113,,0
2021-06-02,Trazo,3113,,0
2021-06-03,Trazo,3113,,0
2021-06-04,Trazo,3113,,0
2021-06-05,Trazo,3113,,0
2021-06-06,Trazo,3113,,0
2021-06-07,Trazo,3113,0,0
2021-06-08,Trazo,3113,0,0
2021-06-09,Trazo,3113,0,0
2021-06-10,Trazo,3113,0,0
2021-06-11,Trazo,3113,,
2021-06-12,Trazo,3113,,
2021-06-13,Trazo,3113,,
2021-06-14,Trazo,3113,,
2021-06-15,Trazo,3113,,
2021-06-16,Trazo,3113,,
2021-06-17,Trazo,3113,,
2021-06-18,Trazo,3113,,
2021-06-19,Trazo,3113,,
2021-06-20,Trazo,3113,,0
2021-06-21,Trazo,3113,,0
2021-06-22,Trazo,3113,,0
2021-06-23,Trazo,3113,,0
2021-06-24,Trazo,3113,,0
2021-06-25,Trazo,3113,,0
2021-06-26,Trazo,3113,,0
2021-06-27,Trazo,3113,0,0
2021-06-28,Trazo,3113,,
2021-06-29,Trazo,3113,,
2021-06-30,Trazo,3113,,
2021-07-01,Trazo,3113,,
2021-07-02,Trazo,3113,,
2021-07-03,Trazo,3113,,
2021-07-04,Trazo,3113,,
2021-07-05,Trazo,3113,,
2021-07-06,Trazo,3113,,
2021-07-07,Trazo,3113,,
2021-07-08,Trazo,3113,,0
2021-07-09,Trazo,3113,,
2021-07-10,Trazo,3113,,
