fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Triacastela,641,,
2020-11-22,Triacastela,641,,
2020-11-23,Triacastela,641,,
2020-11-24,Triacastela,641,,
2020-11-25,Triacastela,641,,
2020-11-26,Triacastela,641,0,
2020-11-27,Triacastela,641,0,
2020-11-28,Triacastela,641,0,
2020-11-29,Triacastela,641,0,
2020-11-30,Triacastela,641,0,
2020-12-01,Triacastela,641,0,
2020-12-02,Triacastela,641,,
2020-12-03,Triacastela,641,,
2020-12-04,Triacastela,641,,
2020-12-05,Triacastela,641,,
2020-12-06,Triacastela,641,,
2020-12-07,Triacastela,641,,
2020-12-08,Triacastela,641,,
2020-12-09,Triacastela,641,,
2020-12-10,Triacastela,641,,
2020-12-11,Triacastela,641,,
2020-12-12,Triacastela,641,,
2020-12-13,Triacastela,641,,
2020-12-14,Triacastela,641,,
2020-12-15,Triacastela,641,,
2020-12-16,Triacastela,641,,
2020-12-17,Triacastela,641,0,
2020-12-18,Triacastela,641,0,
2020-12-19,Triacastela,641,0,
2020-12-20,Triacastela,641,0,
2020-12-21,Triacastela,641,0,
2020-12-22,Triacastela,641,0,
2020-12-23,Triacastela,641,0,
2020-12-24,Triacastela,641,0,
2020-12-25,Triacastela,641,0,
2020-12-26,Triacastela,641,0,
2020-12-27,Triacastela,641,0,
2020-12-28,Triacastela,641,0,
2020-12-29,Triacastela,641,0,
2020-12-30,Triacastela,641,0,
2020-12-31,Triacastela,641,0,
2021-01-01,Triacastela,641,0,
2021-01-02,Triacastela,641,0,
2021-01-03,Triacastela,641,0,
2021-01-04,Triacastela,641,0,
2021-01-05,Triacastela,641,0,
2021-01-06,Triacastela,641,0,
2021-01-07,Triacastela,641,0,
2021-01-08,Triacastela,641,0,
2021-01-09,Triacastela,641,0,
2021-01-10,Triacastela,641,0,
2021-01-11,Triacastela,641,0,
2021-01-12,Triacastela,641,0,
2021-01-13,Triacastela,641,0,
2021-01-14,Triacastela,641,0,
2021-01-15,Triacastela,641,0,
2021-01-16,Triacastela,641,0,
2021-01-17,Triacastela,641,0,
2021-01-18,Triacastela,641,0,
2021-01-19,Triacastela,641,0,
2021-01-20,Triacastela,641,0,
2021-01-21,Triacastela,641,0,
2021-01-22,Triacastela,641,0,
2021-01-23,Triacastela,641,0,
2021-01-24,Triacastela,641,0,
2021-01-25,Triacastela,641,0,
2021-01-26,Triacastela,641,0,
2021-01-27,Triacastela,641,0,
2021-01-28,Triacastela,641,0,
2021-01-29,Triacastela,641,0,
2021-01-30,Triacastela,641,0,
2021-01-31,Triacastela,641,0,
2021-02-01,Triacastela,641,0,
2021-02-02,Triacastela,641,0,
2021-02-03,Triacastela,641,,
2021-02-04,Triacastela,641,,
2021-02-05,Triacastela,641,,
2021-02-06,Triacastela,641,,
2021-02-07,Triacastela,641,,
2021-02-08,Triacastela,641,,
2021-02-09,Triacastela,641,,
2021-02-10,Triacastela,641,,
2021-02-11,Triacastela,641,,
2021-02-12,Triacastela,641,,
2021-02-13,Triacastela,641,,
2021-02-14,Triacastela,641,,
2021-02-15,Triacastela,641,,
2021-02-16,Triacastela,641,,
2021-02-17,Triacastela,641,,
2021-02-18,Triacastela,641,,
2021-02-19,Triacastela,641,,
2021-02-20,Triacastela,641,0,
2021-02-21,Triacastela,641,0,
2021-02-22,Triacastela,641,0,
2021-02-23,Triacastela,641,0,
2021-02-24,Triacastela,641,0,
2021-02-25,Triacastela,641,0,
2021-02-26,Triacastela,641,0,
2021-02-27,Triacastela,641,0,
2021-02-28,Triacastela,641,0,
2021-03-01,Triacastela,641,0,
2021-03-02,Triacastela,641,0,0
2021-03-03,Triacastela,641,0,0
2021-03-04,Triacastela,641,0,0
2021-03-05,Triacastela,641,0,0
2021-03-06,Triacastela,641,0,0
2021-03-07,Triacastela,641,0,0
