fecha,codigo_municipio,municipio,habitantes,casos_14d,casos_14d_min,casos_14d_max,IA14,IA14_min,IA14_max,casos_7d,casos_7d_min,casos_7d_max,IA7,IA7_min,IA7_max
2020-11-21,36055,Tui,16701,44,,,263.457278007305,,,,,,,,
2020-11-22,36055,Tui,16701,45,,,269.444943416562,,,,,,,,
2020-11-23,36055,Tui,16701,46,,,275.432608825819,,,,,,,,
2020-11-24,36055,Tui,16701,50,,,299.383270462847,,,,,,,,
2020-11-25,36055,Tui,16701,56,,,335.309262918388,,,,,,,,
2020-11-26,36055,Tui,16701,55,,,329.321597509131,,,,,,,,
2020-11-27,36055,Tui,16701,62,,,371.23525537393,,,,,,,,
2020-11-28,36055,Tui,16701,65,,,389.198251601701,,,,,,,,
2020-11-29,36055,Tui,16701,66,,,395.185917010957,,,,,,,,
2020-11-30,36055,Tui,16701,62,,,371.23525537393,,,,,,,,
2020-12-01,36055,Tui,16701,64,,,383.210586192444,,,,,,,,
2020-12-02,36055,Tui,16701,72,,,431.111909466499,,,,,,,,
2020-12-03,36055,Tui,16701,67,,,401.173582420214,,,,,,,,
2020-12-04,36055,Tui,16701,67,,,401.173582420214,,,,,,,,
2020-12-05,36055,Tui,16701,65,,,389.198251601701,,,,,,,,
2020-12-06,36055,Tui,16701,65,,,389.198251601701,,,,,,,,
2020-12-07,36055,Tui,16701,63,,,377.222920783187,,,,,,,,
2020-12-08,36055,Tui,16701,64,,,383.210586192444,,,,,,,,
2020-12-09,36055,Tui,16701,53,,,317.346266690617,,,,,,,,
2020-12-10,36055,Tui,16701,54,,,323.333932099874,,,,,,,,
2020-12-11,36055,Tui,16701,47,,,281.420274235076,,,,,,,,
2020-12-12,36055,Tui,16701,43,,,257.469612598048,,,,,,,,
2020-12-13,36055,Tui,16701,38,,,227.531285551763,,,,,,,,
2020-12-14,36055,Tui,16701,40,,,239.506616370277,,,,,,,,
2020-12-15,36055,Tui,16701,36,,,215.555954733249,,,,,,,,
2020-12-16,36055,Tui,16701,29,,,173.642296868451,,,,,,,,
2020-12-17,36055,Tui,16701,28,,,167.654631459194,,,,,,,,
2020-12-18,36055,Tui,16701,27,,,161.666966049937,,,,,,,,
2020-12-19,36055,Tui,16701,30,,,179.629962277708,,,,,,,,
2020-12-20,36055,Tui,16701,32,,,191.605293096222,,,,,,,,
2020-12-21,36055,Tui,16701,31,,,185.617627686965,,,,,,,,
2020-12-22,36055,Tui,16701,29,,,173.642296868451,,,,,,,,
2020-12-23,36055,Tui,16701,28,,,167.654631459194,,,,,,,,
2020-12-24,36055,Tui,16701,25,,,149.691635231423,,,,,,,,
