fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Valdoviño,6563,12,
2020-11-22,Valdoviño,6563,11,
2020-11-23,Valdoviño,6563,,
2020-11-24,Valdoviño,6563,,
2020-11-25,Valdoviño,6563,,
2020-11-26,Valdoviño,6563,10,
2020-11-27,Valdoviño,6563,13,
2020-11-28,Valdoviño,6563,13,
2020-11-29,Valdoviño,6563,14,
2020-11-30,Valdoviño,6563,16,
2020-12-01,Valdoviño,6563,18,
2020-12-02,Valdoviño,6563,16,
2020-12-03,Valdoviño,6563,16,
2020-12-04,Valdoviño,6563,15,
2020-12-05,Valdoviño,6563,15,
2020-12-06,Valdoviño,6563,16,
2020-12-07,Valdoviño,6563,17,
2020-12-08,Valdoviño,6563,16,
2020-12-09,Valdoviño,6563,17,
2020-12-10,Valdoviño,6563,16,
2020-12-11,Valdoviño,6563,13,
2020-12-12,Valdoviño,6563,12,
2020-12-13,Valdoviño,6563,11,
2020-12-14,Valdoviño,6563,10,
2020-12-15,Valdoviño,6563,,
2020-12-16,Valdoviño,6563,,
2020-12-17,Valdoviño,6563,,
2020-12-18,Valdoviño,6563,,
2020-12-19,Valdoviño,6563,,
2020-12-20,Valdoviño,6563,,
2020-12-21,Valdoviño,6563,,
2020-12-22,Valdoviño,6563,,
2020-12-23,Valdoviño,6563,,
2020-12-24,Valdoviño,6563,,
2020-12-25,Valdoviño,6563,,
2020-12-26,Valdoviño,6563,,
2020-12-27,Valdoviño,6563,,
2020-12-28,Valdoviño,6563,,
2020-12-29,Valdoviño,6563,,
2020-12-30,Valdoviño,6563,,
2020-12-31,Valdoviño,6563,,
2021-01-01,Valdoviño,6563,,
2021-01-02,Valdoviño,6563,,
2021-01-03,Valdoviño,6563,,
2021-01-04,Valdoviño,6563,,
2021-01-05,Valdoviño,6563,,
2021-01-06,Valdoviño,6563,,
2021-01-07,Valdoviño,6563,,
2021-01-08,Valdoviño,6563,,
2021-01-09,Valdoviño,6563,,
2021-01-10,Valdoviño,6563,,
2021-01-11,Valdoviño,6563,,
2021-01-12,Valdoviño,6563,,
2021-01-13,Valdoviño,6563,10,
2021-01-14,Valdoviño,6563,13,
2021-01-15,Valdoviño,6563,14,
2021-01-16,Valdoviño,6563,21,
2021-01-17,Valdoviño,6563,20,
2021-01-18,Valdoviño,6563,24,
2021-01-19,Valdoviño,6563,25,
2021-01-20,Valdoviño,6563,28,
2021-01-21,Valdoviño,6563,30,
2021-01-22,Valdoviño,6563,32,
2021-01-23,Valdoviño,6563,34,
2021-01-24,Valdoviño,6563,37,
2021-01-25,Valdoviño,6563,40,
2021-01-26,Valdoviño,6563,39,
2021-01-27,Valdoviño,6563,38,
2021-01-28,Valdoviño,6563,39,
2021-01-29,Valdoviño,6563,41,
2021-01-30,Valdoviño,6563,43,
2021-01-31,Valdoviño,6563,45,
2021-02-01,Valdoviño,6563,43,
2021-02-02,Valdoviño,6563,46,
2021-02-03,Valdoviño,6563,47,
2021-02-04,Valdoviño,6563,48,
2021-02-05,Valdoviño,6563,49,
2021-02-06,Valdoviño,6563,49,
2021-02-07,Valdoviño,6563,46,
2021-02-08,Valdoviño,6563,43,
2021-02-09,Valdoviño,6563,43,
2021-02-10,Valdoviño,6563,41,
2021-02-11,Valdoviño,6563,38,
2021-02-12,Valdoviño,6563,34,
2021-02-13,Valdoviño,6563,26,
2021-02-14,Valdoviño,6563,25,
2021-02-15,Valdoviño,6563,23,
2021-02-16,Valdoviño,6563,18,
2021-02-17,Valdoviño,6563,14,
2021-02-18,Valdoviño,6563,12,
2021-02-19,Valdoviño,6563,,
