fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Valga,5869,12,
2020-11-22,Valga,5869,20,
2020-11-23,Valga,5869,24,
2020-11-24,Valga,5869,32,
2020-11-25,Valga,5869,38,
2020-11-26,Valga,5869,41,
2020-11-27,Valga,5869,42,
2020-11-28,Valga,5869,43,
2020-11-29,Valga,5869,44,
2020-11-30,Valga,5869,43,
2020-12-01,Valga,5869,45,
2020-12-02,Valga,5869,47,
2020-12-03,Valga,5869,46,
2020-12-04,Valga,5869,47,
2020-12-05,Valga,5869,49,
2020-12-06,Valga,5869,42,
2020-12-07,Valga,5869,38,
2020-12-08,Valga,5869,29,
2020-12-09,Valga,5869,24,
2020-12-10,Valga,5869,20,
2020-12-11,Valga,5869,19,
2020-12-12,Valga,5869,21,
2020-12-13,Valga,5869,23,
2020-12-14,Valga,5869,22,
2020-12-15,Valga,5869,21,
2020-12-16,Valga,5869,17,
2020-12-17,Valga,5869,18,
2020-12-18,Valga,5869,18,
2020-12-19,Valga,5869,16,
2020-12-20,Valga,5869,15,
2020-12-21,Valga,5869,15,
2020-12-22,Valga,5869,15,
2020-12-23,Valga,5869,16,
2020-12-24,Valga,5869,19,
2020-12-25,Valga,5869,20,
2020-12-26,Valga,5869,16,
2020-12-27,Valga,5869,20,
2020-12-28,Valga,5869,24,
2020-12-29,Valga,5869,28,
2020-12-30,Valga,5869,31,
2020-12-31,Valga,5869,28,
2021-01-01,Valga,5869,27,
2021-01-02,Valga,5869,28,
2021-01-03,Valga,5869,32,
2021-01-04,Valga,5869,34,
2021-01-05,Valga,5869,37,
2021-01-06,Valga,5869,46,
2021-01-07,Valga,5869,43,
2021-01-08,Valga,5869,41,
2021-01-09,Valga,5869,54,
2021-01-10,Valga,5869,53,
2021-01-11,Valga,5869,50,
2021-01-12,Valga,5869,54,
2021-01-13,Valga,5869,60,
2021-01-14,Valga,5869,70,
2021-01-15,Valga,5869,78,
2021-01-16,Valga,5869,88,
2021-01-17,Valga,5869,92,
2021-01-18,Valga,5869,103,
2021-01-19,Valga,5869,108,
2021-01-20,Valga,5869,111,
2021-01-21,Valga,5869,121,
2021-01-22,Valga,5869,130,
2021-01-23,Valga,5869,128,
2021-01-24,Valga,5869,126,
2021-01-25,Valga,5869,141,
2021-01-26,Valga,5869,139,
2021-01-27,Valga,5869,140,
2021-01-28,Valga,5869,133,
2021-01-29,Valga,5869,137,
2021-01-30,Valga,5869,134,
2021-01-31,Valga,5869,129,
2021-02-01,Valga,5869,121,
2021-02-02,Valga,5869,116,
2021-02-03,Valga,5869,107,
2021-02-04,Valga,5869,102,
2021-02-05,Valga,5869,94,
2021-02-06,Valga,5869,83,
2021-02-07,Valga,5869,79,
2021-02-08,Valga,5869,65,
2021-02-09,Valga,5869,59,
2021-02-10,Valga,5869,51,
2021-02-11,Valga,5869,49,
2021-02-12,Valga,5869,38,
2021-02-13,Valga,5869,31,
2021-02-14,Valga,5869,28,
2021-02-15,Valga,5869,23,
2021-02-16,Valga,5869,19,
2021-02-17,Valga,5869,16,
2021-02-18,Valga,5869,12,
2021-02-19,Valga,5869,10,
2021-02-20,Valga,5869,10,
2021-02-21,Valga,5869,10,
2021-02-22,Valga,5869,,
2021-02-23,Valga,5869,,
2021-02-24,Valga,5869,,
2021-02-25,Valga,5869,,
2021-02-26,Valga,5869,,
2021-02-27,Valga,5869,,
2021-02-28,Valga,5869,,
2021-03-01,Valga,5869,,
2021-03-02,Valga,5869,,
2021-03-03,Valga,5869,,
2021-03-04,Valga,5869,,
2021-03-05,Valga,5869,,
2021-03-06,Valga,5869,,0
2021-03-07,Valga,5869,,0
2021-03-08,Valga,5869,,0
2021-03-09,Valga,5869,,0
2021-03-10,Valga,5869,,0
2021-03-11,Valga,5869,,0
2021-03-12,Valga,5869,,0
2021-03-13,Valga,5869,0,0
2021-03-14,Valga,5869,0,0
2021-03-15,Valga,5869,0,0
2021-03-16,Valga,5869,0,0
2021-03-17,Valga,5869,0,0
2021-03-18,Valga,5869,0,0
2021-03-19,Valga,5869,0,0
2021-03-20,Valga,5869,0,0
2021-03-21,Valga,5869,0,0
2021-03-22,Valga,5869,0,0
2021-03-23,Valga,5869,0,0
2021-03-24,Valga,5869,0,0
2021-03-25,Valga,5869,0,0
2021-03-26,Valga,5869,0,0
2021-03-27,Valga,5869,0,0
2021-03-28,Valga,5869,,
2021-03-29,Valga,5869,,
2021-03-30,Valga,5869,,
2021-03-31,Valga,5869,,
2021-04-01,Valga,5869,,
2021-04-02,Valga,5869,,
2021-04-03,Valga,5869,,
2021-04-04,Valga,5869,,
2021-04-05,Valga,5869,,
2021-04-06,Valga,5869,,
2021-04-07,Valga,5869,,
2021-04-08,Valga,5869,,
2021-04-09,Valga,5869,,
2021-04-10,Valga,5869,,
2021-04-11,Valga,5869,,
2021-04-12,Valga,5869,,
2021-04-13,Valga,5869,,
2021-04-14,Valga,5869,,
2021-04-15,Valga,5869,,
2021-04-16,Valga,5869,,0
2021-04-17,Valga,5869,,0
2021-04-18,Valga,5869,,0
2021-04-19,Valga,5869,,0
2021-04-20,Valga,5869,,0
2021-04-21,Valga,5869,,0
2021-04-22,Valga,5869,,0
2021-04-23,Valga,5869,0,0
2021-04-24,Valga,5869,0,0
2021-04-25,Valga,5869,0,0
2021-04-26,Valga,5869,0,0
2021-04-27,Valga,5869,0,0
2021-04-28,Valga,5869,0,0
2021-04-29,Valga,5869,0,0
2021-04-30,Valga,5869,0,0
2021-05-01,Valga,5869,0,0
2021-05-02,Valga,5869,0,0
2021-05-03,Valga,5869,,
2021-05-04,Valga,5869,,
2021-05-05,Valga,5869,,
2021-05-06,Valga,5869,,
2021-05-07,Valga,5869,,
2021-05-08,Valga,5869,,
2021-05-09,Valga,5869,,
2021-05-10,Valga,5869,,
2021-05-11,Valga,5869,,
