fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Vedra,5036,,
2020-11-22,Vedra,5036,,
2020-11-23,Vedra,5036,,
2020-11-24,Vedra,5036,,
2020-11-25,Vedra,5036,,
2020-11-26,Vedra,5036,,
2020-11-27,Vedra,5036,,
2020-11-28,Vedra,5036,,
2020-11-29,Vedra,5036,,
2020-11-30,Vedra,5036,,
2020-12-01,Vedra,5036,,
2020-12-02,Vedra,5036,,
2020-12-03,Vedra,5036,,
2020-12-04,Vedra,5036,,
2020-12-05,Vedra,5036,,
2020-12-06,Vedra,5036,,
2020-12-07,Vedra,5036,,
2020-12-08,Vedra,5036,,
2020-12-09,Vedra,5036,,
2020-12-10,Vedra,5036,,
2020-12-11,Vedra,5036,,
2020-12-12,Vedra,5036,,
2020-12-13,Vedra,5036,,
2020-12-14,Vedra,5036,,
2020-12-15,Vedra,5036,,
2020-12-16,Vedra,5036,,
2020-12-17,Vedra,5036,,
2020-12-18,Vedra,5036,10,
2020-12-19,Vedra,5036,12,
2020-12-20,Vedra,5036,12,
2020-12-21,Vedra,5036,12,
2020-12-22,Vedra,5036,12,
2020-12-23,Vedra,5036,12,
2020-12-24,Vedra,5036,12,
2020-12-25,Vedra,5036,12,
2020-12-26,Vedra,5036,14,
2020-12-27,Vedra,5036,13,
2020-12-28,Vedra,5036,13,
2020-12-29,Vedra,5036,12,
2020-12-30,Vedra,5036,10,
2020-12-31,Vedra,5036,,
2021-01-01,Vedra,5036,,
2021-01-02,Vedra,5036,,
2021-01-03,Vedra,5036,,
2021-01-04,Vedra,5036,,
2021-01-05,Vedra,5036,,
2021-01-06,Vedra,5036,,
2021-01-07,Vedra,5036,,
2021-01-08,Vedra,5036,,
2021-01-09,Vedra,5036,0,
2021-01-10,Vedra,5036,0,
2021-01-11,Vedra,5036,,
2021-01-12,Vedra,5036,,
2021-01-13,Vedra,5036,,
2021-01-14,Vedra,5036,,
2021-01-15,Vedra,5036,,
2021-01-16,Vedra,5036,,
2021-01-17,Vedra,5036,,
2021-01-18,Vedra,5036,,
2021-01-19,Vedra,5036,,
2021-01-20,Vedra,5036,,
2021-01-21,Vedra,5036,10,
2021-01-22,Vedra,5036,12,
2021-01-23,Vedra,5036,21,
2021-01-24,Vedra,5036,26,
2021-01-25,Vedra,5036,30,
2021-01-26,Vedra,5036,39,
2021-01-27,Vedra,5036,44,
2021-01-28,Vedra,5036,47,
2021-01-29,Vedra,5036,59,
2021-01-30,Vedra,5036,66,
2021-01-31,Vedra,5036,66,
2021-02-01,Vedra,5036,68,
2021-02-02,Vedra,5036,72,
2021-02-03,Vedra,5036,72,
2021-02-04,Vedra,5036,74,
2021-02-05,Vedra,5036,75,
2021-02-06,Vedra,5036,66,
2021-02-07,Vedra,5036,60,
2021-02-08,Vedra,5036,53,
2021-02-09,Vedra,5036,44,
2021-02-10,Vedra,5036,39,
2021-02-11,Vedra,5036,37,
2021-02-12,Vedra,5036,25,
2021-02-13,Vedra,5036,20,
2021-02-14,Vedra,5036,19,
2021-02-15,Vedra,5036,17,
2021-02-16,Vedra,5036,12,
2021-02-17,Vedra,5036,11,
2021-02-18,Vedra,5036,,
2021-02-19,Vedra,5036,,
2021-02-20,Vedra,5036,,
2021-02-21,Vedra,5036,,
2021-02-22,Vedra,5036,,
2021-02-23,Vedra,5036,,
2021-02-24,Vedra,5036,,
2021-02-25,Vedra,5036,,
2021-02-26,Vedra,5036,10,
2021-02-27,Vedra,5036,,
2021-02-28,Vedra,5036,,
2021-03-01,Vedra,5036,,
2021-03-02,Vedra,5036,,
2021-03-03,Vedra,5036,,
2021-03-04,Vedra,5036,10,
2021-03-05,Vedra,5036,12,
2021-03-06,Vedra,5036,12,
2021-03-07,Vedra,5036,12,
2021-03-08,Vedra,5036,12,
2021-03-09,Vedra,5036,10,
2021-03-10,Vedra,5036,,
2021-03-11,Vedra,5036,,
2021-03-12,Vedra,5036,,
2021-03-13,Vedra,5036,,
2021-03-14,Vedra,5036,,
2021-03-15,Vedra,5036,,
2021-03-16,Vedra,5036,,
2021-03-17,Vedra,5036,,
2021-03-18,Vedra,5036,,
2021-03-19,Vedra,5036,,0
2021-03-20,Vedra,5036,,0
2021-03-21,Vedra,5036,,
2021-03-22,Vedra,5036,,
2021-03-23,Vedra,5036,,
2021-03-24,Vedra,5036,,
2021-03-25,Vedra,5036,,
2021-03-26,Vedra,5036,,
2021-03-27,Vedra,5036,,
2021-03-28,Vedra,5036,,0
2021-03-29,Vedra,5036,,0
2021-03-30,Vedra,5036,,
2021-03-31,Vedra,5036,,
2021-04-01,Vedra,5036,,
2021-04-02,Vedra,5036,,
2021-04-03,Vedra,5036,,
2021-04-04,Vedra,5036,,
2021-04-05,Vedra,5036,,
2021-04-06,Vedra,5036,,0
2021-04-07,Vedra,5036,,0
2021-04-08,Vedra,5036,,0
2021-04-09,Vedra,5036,,0
2021-04-10,Vedra,5036,,0
2021-04-11,Vedra,5036,,0
2021-04-12,Vedra,5036,,0
2021-04-13,Vedra,5036,0,0
2021-04-14,Vedra,5036,0,0
2021-04-15,Vedra,5036,0,0
2021-04-16,Vedra,5036,0,0
2021-04-17,Vedra,5036,0,0
2021-04-18,Vedra,5036,0,0
2021-04-19,Vedra,5036,0,0
2021-04-20,Vedra,5036,0,0
2021-04-21,Vedra,5036,0,0
2021-04-22,Vedra,5036,0,0
2021-04-23,Vedra,5036,0,0
2021-04-24,Vedra,5036,0,0
2021-04-25,Vedra,5036,0,0
2021-04-26,Vedra,5036,0,0
2021-04-27,Vedra,5036,0,0
2021-04-28,Vedra,5036,0,0
2021-04-29,Vedra,5036,0,0
2021-04-30,Vedra,5036,0,0
2021-05-01,Vedra,5036,0,0
2021-05-02,Vedra,5036,0,0
2021-05-03,Vedra,5036,0,0
2021-05-04,Vedra,5036,0,0
2021-05-05,Vedra,5036,0,0
2021-05-06,Vedra,5036,0,0
2021-05-07,Vedra,5036,0,0
2021-05-08,Vedra,5036,0,0
2021-05-09,Vedra,5036,0,0
2021-05-10,Vedra,5036,0,0
2021-05-11,Vedra,5036,0,0
2021-05-12,Vedra,5036,0,0
2021-05-13,Vedra,5036,0,0
2021-05-14,Vedra,5036,0,0
2021-05-15,Vedra,5036,0,0
2021-05-16,Vedra,5036,0,0
2021-05-17,Vedra,5036,0,0
2021-05-18,Vedra,5036,0,0
2021-05-19,Vedra,5036,0,0
2021-05-20,Vedra,5036,0,0
2021-05-21,Vedra,5036,0,0
2021-05-22,Vedra,5036,0,0
2021-05-23,Vedra,5036,0,0
2021-05-24,Vedra,5036,0,0
2021-05-25,Vedra,5036,0,0
2021-05-26,Vedra,5036,0,0
2021-05-27,Vedra,5036,0,0
2021-05-28,Vedra,5036,0,0
2021-05-29,Vedra,5036,0,0
2021-05-30,Vedra,5036,0,0
2021-05-31,Vedra,5036,0,0
2021-06-01,Vedra,5036,0,0
2021-06-02,Vedra,5036,0,0
2021-06-03,Vedra,5036,0,0
2021-06-04,Vedra,5036,0,0
2021-06-05,Vedra,5036,0,0
2021-06-06,Vedra,5036,0,0
2021-06-07,Vedra,5036,0,0
2021-06-08,Vedra,5036,0,0
2021-06-09,Vedra,5036,0,0
2021-06-10,Vedra,5036,0,0
2021-06-11,Vedra,5036,0,0
2021-06-12,Vedra,5036,0,0
2021-06-13,Vedra,5036,0,0
2021-06-14,Vedra,5036,0,0
2021-06-15,Vedra,5036,0,0
2021-06-16,Vedra,5036,0,0
2021-06-17,Vedra,5036,0,0
2021-06-18,Vedra,5036,0,0
2021-06-19,Vedra,5036,0,0
2021-06-20,Vedra,5036,0,0
2021-06-21,Vedra,5036,0,0
2021-06-22,Vedra,5036,0,0
2021-06-23,Vedra,5036,0,0
2021-06-24,Vedra,5036,0,0
2021-06-25,Vedra,5036,0,0
2021-06-26,Vedra,5036,0,0
2021-06-27,Vedra,5036,0,0
2021-06-28,Vedra,5036,0,0
2021-06-29,Vedra,5036,0,0
2021-06-30,Vedra,5036,0,0
2021-07-01,Vedra,5036,0,0
2021-07-02,Vedra,5036,0,0
2021-07-03,Vedra,5036,0,0
2021-07-04,Vedra,5036,0,0
2021-07-05,Vedra,5036,0,0
2021-07-06,Vedra,5036,0,0
2021-07-07,Vedra,5036,0,0
2021-07-08,Vedra,5036,0,0
2021-07-09,Vedra,5036,0,0
2021-07-10,Vedra,5036,0,0
2021-07-11,Vedra,5036,,
2021-07-12,Vedra,5036,,
2021-07-13,Vedra,5036,,
2021-07-14,Vedra,5036,,
2021-07-15,Vedra,5036,,
2021-07-16,Vedra,5036,,
2021-07-17,Vedra,5036,,
2021-07-18,Vedra,5036,,
2021-07-19,Vedra,5036,,
2021-07-20,Vedra,5036,,
2021-07-21,Vedra,5036,,
2021-07-22,Vedra,5036,,
2021-07-23,Vedra,5036,11,
2021-07-24,Vedra,5036,11,
2021-07-25,Vedra,5036,10,
2021-07-26,Vedra,5036,11,
2021-07-27,Vedra,5036,14,11
2021-07-28,Vedra,5036,17,14
