fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Verea,943,,
2020-11-22,Verea,943,,
2020-11-23,Verea,943,,
2020-11-24,Verea,943,,
2020-11-25,Verea,943,,
2020-11-26,Verea,943,,
2020-11-27,Verea,943,,
2020-11-28,Verea,943,,
2020-11-29,Verea,943,0,
2020-11-30,Verea,943,0,
2020-12-01,Verea,943,0,
2020-12-02,Verea,943,0,
2020-12-03,Verea,943,0,
2020-12-04,Verea,943,0,
2020-12-05,Verea,943,0,
2020-12-06,Verea,943,0,
2020-12-07,Verea,943,0,
2020-12-08,Verea,943,0,
2020-12-09,Verea,943,0,
2020-12-10,Verea,943,0,
2020-12-11,Verea,943,0,
2020-12-12,Verea,943,0,
2020-12-13,Verea,943,0,
2020-12-14,Verea,943,0,
2020-12-15,Verea,943,0,
2020-12-16,Verea,943,0,
2020-12-17,Verea,943,0,
2020-12-18,Verea,943,0,
2020-12-19,Verea,943,0,
2020-12-20,Verea,943,0,
2020-12-21,Verea,943,0,
2020-12-22,Verea,943,0,
2020-12-23,Verea,943,0,
2020-12-24,Verea,943,0,
2020-12-25,Verea,943,0,
2020-12-26,Verea,943,0,
2020-12-27,Verea,943,0,
2020-12-28,Verea,943,0,
2020-12-29,Verea,943,0,
2020-12-30,Verea,943,0,
2020-12-31,Verea,943,0,
2021-01-01,Verea,943,0,
2021-01-02,Verea,943,0,
2021-01-03,Verea,943,0,
2021-01-04,Verea,943,0,
2021-01-05,Verea,943,0,
2021-01-06,Verea,943,0,
2021-01-07,Verea,943,0,
2021-01-08,Verea,943,0,
2021-01-09,Verea,943,0,
2021-01-10,Verea,943,0,
2021-01-11,Verea,943,0,
2021-01-12,Verea,943,0,
2021-01-13,Verea,943,0,
2021-01-14,Verea,943,0,
2021-01-15,Verea,943,0,
2021-01-16,Verea,943,0,
2021-01-17,Verea,943,0,
2021-01-18,Verea,943,0,
2021-01-19,Verea,943,0,
2021-01-20,Verea,943,0,
2021-01-21,Verea,943,,
2021-01-22,Verea,943,,
2021-01-23,Verea,943,,
2021-01-24,Verea,943,,
2021-01-25,Verea,943,10,
2021-01-26,Verea,943,10,
2021-01-27,Verea,943,12,
2021-01-28,Verea,943,14,
2021-01-29,Verea,943,14,
2021-01-30,Verea,943,15,
2021-01-31,Verea,943,16,
2021-02-01,Verea,943,19,
2021-02-02,Verea,943,20,
2021-02-03,Verea,943,21,
2021-02-04,Verea,943,20,
2021-02-05,Verea,943,18,
2021-02-06,Verea,943,15,
2021-02-07,Verea,943,14,
2021-02-08,Verea,943,11,
2021-02-09,Verea,943,11,
2021-02-10,Verea,943,11,
2021-02-11,Verea,943,,
2021-02-12,Verea,943,,
2021-02-13,Verea,943,,
2021-02-14,Verea,943,,
2021-02-15,Verea,943,,
2021-02-16,Verea,943,,
2021-02-17,Verea,943,,
2021-02-18,Verea,943,,
2021-02-19,Verea,943,,
2021-02-20,Verea,943,,
2021-02-21,Verea,943,,
2021-02-22,Verea,943,,
2021-02-23,Verea,943,,
2021-02-24,Verea,943,,
2021-02-25,Verea,943,,
2021-02-26,Verea,943,,
2021-02-27,Verea,943,,
2021-02-28,Verea,943,,
2021-03-01,Verea,943,,
2021-03-02,Verea,943,,
2021-03-03,Verea,943,,0
2021-03-04,Verea,943,,0
2021-03-05,Verea,943,,0
2021-03-06,Verea,943,,0
2021-03-07,Verea,943,,0
2021-03-08,Verea,943,,0
2021-03-09,Verea,943,,0
2021-03-10,Verea,943,0,0
2021-03-11,Verea,943,0,0
2021-03-12,Verea,943,0,0
2021-03-13,Verea,943,0,0
2021-03-14,Verea,943,0,0
2021-03-15,Verea,943,0,0
2021-03-16,Verea,943,0,0
2021-03-17,Verea,943,0,0
2021-03-18,Verea,943,0,0
2021-03-19,Verea,943,0,0
2021-03-20,Verea,943,0,0
2021-03-21,Verea,943,0,0
2021-03-22,Verea,943,0,0
2021-03-23,Verea,943,0,0
2021-03-24,Verea,943,0,0
2021-03-25,Verea,943,0,0
2021-03-26,Verea,943,0,0
2021-03-27,Verea,943,,
2021-03-28,Verea,943,,
2021-03-29,Verea,943,,
2021-03-30,Verea,943,,
2021-03-31,Verea,943,,
2021-04-01,Verea,943,,
2021-04-02,Verea,943,,0
2021-04-03,Verea,943,,0
2021-04-04,Verea,943,,0
2021-04-05,Verea,943,,0
2021-04-06,Verea,943,,0
2021-04-07,Verea,943,,0
2021-04-08,Verea,943,,0
2021-04-09,Verea,943,0,0
2021-04-10,Verea,943,0,0
2021-04-11,Verea,943,,
2021-04-12,Verea,943,,
