fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Verín,13723,10,
2020-11-22,Verín,13723,,
2020-11-23,Verín,13723,,
2020-11-24,Verín,13723,,
2020-11-25,Verín,13723,,
2020-11-26,Verín,13723,,
2020-11-27,Verín,13723,,
2020-11-28,Verín,13723,,
2020-11-29,Verín,13723,,
2020-11-30,Verín,13723,,
2020-12-01,Verín,13723,,
2020-12-02,Verín,13723,,
2020-12-03,Verín,13723,,
2020-12-04,Verín,13723,,
2020-12-05,Verín,13723,,
2020-12-06,Verín,13723,,
2020-12-07,Verín,13723,,
2020-12-08,Verín,13723,,
2020-12-09,Verín,13723,,
2020-12-10,Verín,13723,10,
2020-12-11,Verín,13723,13,
2020-12-12,Verín,13723,19,
2020-12-13,Verín,13723,23,
2020-12-14,Verín,13723,26,
2020-12-15,Verín,13723,25,
2020-12-16,Verín,13723,25,
2020-12-17,Verín,13723,26,
2020-12-18,Verín,13723,29,
2020-12-19,Verín,13723,30,
2020-12-20,Verín,13723,29,
2020-12-21,Verín,13723,30,
2020-12-22,Verín,13723,31,
2020-12-23,Verín,13723,31,
2020-12-24,Verín,13723,41,
2020-12-25,Verín,13723,45,
2020-12-26,Verín,13723,50,
2020-12-27,Verín,13723,46,
2020-12-28,Verín,13723,46,
2020-12-29,Verín,13723,51,
2020-12-30,Verín,13723,57,
2020-12-31,Verín,13723,64,
2021-01-01,Verín,13723,68,
2021-01-02,Verín,13723,71,
2021-01-03,Verín,13723,78,
2021-01-04,Verín,13723,83,
2021-01-05,Verín,13723,86,
2021-01-06,Verín,13723,90,
2021-01-07,Verín,13723,82,
2021-01-08,Verín,13723,80,
2021-01-09,Verín,13723,74,
2021-01-10,Verín,13723,108,
2021-01-11,Verín,13723,113,
2021-01-12,Verín,13723,117,
2021-01-13,Verín,13723,120,
2021-01-14,Verín,13723,127,
2021-01-15,Verín,13723,128,
2021-01-16,Verín,13723,134,
2021-01-17,Verín,13723,136,
2021-01-18,Verín,13723,132,
2021-01-19,Verín,13723,135,
2021-01-20,Verín,13723,145,
2021-01-21,Verín,13723,169,
2021-01-22,Verín,13723,176,
2021-01-23,Verín,13723,184,
2021-01-24,Verín,13723,178,
2021-01-25,Verín,13723,177,
2021-01-26,Verín,13723,175,
2021-01-27,Verín,13723,176,
2021-01-28,Verín,13723,165,
2021-01-29,Verín,13723,169,
2021-01-30,Verín,13723,166,
2021-01-31,Verín,13723,162,
2021-02-01,Verín,13723,163,
2021-02-02,Verín,13723,156,
2021-02-03,Verín,13723,145,
2021-02-04,Verín,13723,125,
2021-02-05,Verín,13723,117,
2021-02-06,Verín,13723,106,
2021-02-07,Verín,13723,79,
2021-02-08,Verín,13723,80,
2021-02-09,Verín,13723,74,
2021-02-10,Verín,13723,72,
2021-02-11,Verín,13723,71,
2021-02-12,Verín,13723,62,
2021-02-13,Verín,13723,56,
2021-02-14,Verín,13723,52,
2021-02-15,Verín,13723,50,
2021-02-16,Verín,13723,51,
2021-02-17,Verín,13723,46,
2021-02-18,Verín,13723,40,
2021-02-19,Verín,13723,37,
2021-02-20,Verín,13723,36,
2021-02-21,Verín,13723,36,
2021-02-22,Verín,13723,29,
2021-02-23,Verín,13723,28,
2021-02-24,Verín,13723,21,
2021-02-25,Verín,13723,18,
2021-02-26,Verín,13723,16,
2021-02-27,Verín,13723,16,
2021-02-28,Verín,13723,15,
2021-03-01,Verín,13723,12,
2021-03-02,Verín,13723,10,
2021-03-03,Verín,13723,,
2021-03-04,Verín,13723,,
2021-03-05,Verín,13723,,
2021-03-06,Verín,13723,,
2021-03-07,Verín,13723,,
2021-03-08,Verín,13723,,
2021-03-09,Verín,13723,,
2021-03-10,Verín,13723,,
2021-03-11,Verín,13723,,
2021-03-12,Verín,13723,,
2021-03-13,Verín,13723,,
2021-03-14,Verín,13723,,0
2021-03-15,Verín,13723,,
2021-03-16,Verín,13723,,
2021-03-17,Verín,13723,,
2021-03-18,Verín,13723,,
2021-03-19,Verín,13723,,
2021-03-20,Verín,13723,,
2021-03-21,Verín,13723,,
