fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Vigo,295364,1079,
2020-11-22,Vigo,295364,1051,
2020-11-23,Vigo,295364,1031,
2020-11-24,Vigo,295364,1003,
2020-11-25,Vigo,295364,1000,
2020-11-26,Vigo,295364,965,
2020-11-27,Vigo,295364,923,
2020-11-28,Vigo,295364,854,
2020-11-29,Vigo,295364,802,
2020-11-30,Vigo,295364,775,
2020-12-01,Vigo,295364,763,
2020-12-02,Vigo,295364,756,
2020-12-03,Vigo,295364,684,
2020-12-04,Vigo,295364,657,
2020-12-05,Vigo,295364,622,
2020-12-06,Vigo,295364,619,
2020-12-07,Vigo,295364,623,
2020-12-08,Vigo,295364,633,
2020-12-09,Vigo,295364,567,
2020-12-10,Vigo,295364,532,
2020-12-11,Vigo,295364,550,
2020-12-12,Vigo,295364,533,
2020-12-13,Vigo,295364,545,
2020-12-14,Vigo,295364,558,
2020-12-15,Vigo,295364,542,
2020-12-16,Vigo,295364,553,
2020-12-17,Vigo,295364,539,
2020-12-18,Vigo,295364,537,
2020-12-19,Vigo,295364,522,
2020-12-20,Vigo,295364,517,
2020-12-21,Vigo,295364,517,
2020-12-22,Vigo,295364,507,
2020-12-23,Vigo,295364,522,
2020-12-24,Vigo,295364,573,
2020-12-25,Vigo,295364,530,
2020-12-26,Vigo,295364,549,
2020-12-27,Vigo,295364,521,
2020-12-28,Vigo,295364,519,
2020-12-29,Vigo,295364,528,
2020-12-30,Vigo,295364,507,
2020-12-31,Vigo,295364,511,
2021-01-01,Vigo,295364,530,
2021-01-02,Vigo,295364,541,
2021-01-03,Vigo,295364,545,
2021-01-04,Vigo,295364,538,
2021-01-05,Vigo,295364,536,
2021-01-06,Vigo,295364,528,
2021-01-07,Vigo,295364,532,
2021-01-08,Vigo,295364,536,
2021-01-09,Vigo,295364,590,
2021-01-10,Vigo,295364,592,
2021-01-11,Vigo,295364,624,
2021-01-12,Vigo,295364,653,
2021-01-13,Vigo,295364,712,
2021-01-14,Vigo,295364,749,
2021-01-15,Vigo,295364,767,
2021-01-16,Vigo,295364,837,
2021-01-17,Vigo,295364,907,
2021-01-18,Vigo,295364,940,
2021-01-19,Vigo,295364,1005,
2021-01-20,Vigo,295364,1039,
2021-01-21,Vigo,295364,1091,
2021-01-22,Vigo,295364,1196,
2021-01-23,Vigo,295364,1233,
2021-01-24,Vigo,295364,1301,
2021-01-25,Vigo,295364,1340,
2021-01-26,Vigo,295364,1354,
2021-01-27,Vigo,295364,1316,
2021-01-28,Vigo,295364,1343,
2021-01-29,Vigo,295364,1402,
2021-01-30,Vigo,295364,1411,
2021-01-31,Vigo,295364,1414,
2021-02-01,Vigo,295364,1424,
2021-02-02,Vigo,295364,1399,
2021-02-03,Vigo,295364,1430,
2021-02-04,Vigo,295364,1404,
2021-02-05,Vigo,295364,1326,
2021-02-06,Vigo,295364,1275,
2021-02-07,Vigo,295364,1216,
2021-02-08,Vigo,295364,1152,
2021-02-09,Vigo,295364,1114,
2021-02-10,Vigo,295364,1093,
2021-02-11,Vigo,295364,1038,
2021-02-12,Vigo,295364,929,
2021-02-13,Vigo,295364,842,
2021-02-14,Vigo,295364,768,
2021-02-15,Vigo,295364,735,
2021-02-16,Vigo,295364,717,
2021-02-17,Vigo,295364,641,
2021-02-18,Vigo,295364,572,
2021-02-19,Vigo,295364,554,
2021-02-20,Vigo,295364,507,
2021-02-21,Vigo,295364,501,
2021-02-22,Vigo,295364,484,
2021-02-23,Vigo,295364,470,
2021-02-24,Vigo,295364,432,
2021-02-25,Vigo,295364,424,
2021-02-26,Vigo,295364,409,
2021-02-27,Vigo,295364,411,
2021-02-28,Vigo,295364,403,
2021-03-01,Vigo,295364,379,
2021-03-02,Vigo,295364,371,164
2021-03-03,Vigo,295364,353,158
2021-03-04,Vigo,295364,346,151
2021-03-05,Vigo,295364,327,148
2021-03-06,Vigo,295364,309,138
2021-03-07,Vigo,295364,292,122
2021-03-08,Vigo,295364,295,129
2021-03-09,Vigo,295364,284,120
2021-03-10,Vigo,295364,277,119
2021-03-11,Vigo,295364,270,119
2021-03-12,Vigo,295364,253,105
2021-03-13,Vigo,295364,247,109
2021-03-14,Vigo,295364,231,109
2021-03-15,Vigo,295364,230,101
2021-03-16,Vigo,295364,231,111
2021-03-17,Vigo,295364,250,131
2021-03-18,Vigo,295364,259,140
2021-03-19,Vigo,295364,264,159
2021-03-20,Vigo,295364,266,157
2021-03-21,Vigo,295364,268,159
2021-03-22,Vigo,295364,269,168
2021-03-23,Vigo,295364,265,154
2021-03-24,Vigo,295364,278,147
2021-03-25,Vigo,295364,284,144
2021-03-26,Vigo,295364,288,129
2021-03-27,Vigo,295364,297,147
2021-03-28,Vigo,295364,313,160
2021-03-29,Vigo,295364,323,161
2021-03-30,Vigo,295364,313,164
2021-03-31,Vigo,295364,316,173
2021-04-01,Vigo,295364,314,173
2021-04-02,Vigo,295364,309,182
2021-04-03,Vigo,295364,312,165
2021-04-04,Vigo,295364,306,146
2021-04-05,Vigo,295364,304,143
2021-04-06,Vigo,295364,327,163
2021-04-07,Vigo,295364,360,187
2021-04-08,Vigo,295364,342,169
2021-04-09,Vigo,295364,359,177
2021-04-10,Vigo,295364,362,197
2021-04-11,Vigo,295364,363,217
2021-04-12,Vigo,295364,351,208
2021-04-13,Vigo,295364,350,192
2021-04-14,Vigo,295364,345,179
2021-04-15,Vigo,295364,356,187
2021-04-16,Vigo,295364,377,202
2021-04-17,Vigo,295364,392,196
2021-04-18,Vigo,295364,426,210
2021-04-19,Vigo,295364,438,231
2021-04-20,Vigo,295364,433,240
2021-04-21,Vigo,295364,427,247
2021-04-22,Vigo,295364,451,263
2021-04-23,Vigo,295364,468,265
2021-04-24,Vigo,295364,479,283
2021-04-25,Vigo,295364,492,279
2021-04-26,Vigo,295364,510,279
2021-04-27,Vigo,295364,512,272
2021-04-28,Vigo,295364,506,259
2021-04-29,Vigo,295364,510,246
2021-04-30,Vigo,295364,505,239
2021-05-01,Vigo,295364,502,218
2021-05-02,Vigo,295364,480,200
2021-05-03,Vigo,295364,473,193
2021-05-04,Vigo,295364,467,195
2021-05-05,Vigo,295364,461,202
2021-05-06,Vigo,295364,438,192
2021-05-07,Vigo,295364,412,173
2021-05-08,Vigo,295364,393,175
2021-05-09,Vigo,295364,380,180
2021-05-10,Vigo,295364,372,179
2021-05-11,Vigo,295364,367,172
2021-05-12,Vigo,295364,400,198
2021-05-13,Vigo,295364,378,186
2021-05-14,Vigo,295364,372,199
2021-05-15,Vigo,295364,382,208
2021-05-16,Vigo,295364,369,191
2021-05-17,Vigo,295364,365,187
2021-05-18,Vigo,295364,366,194
2021-05-19,Vigo,295364,340,142
2021-05-20,Vigo,295364,348,162
2021-05-21,Vigo,295364,362,163
2021-05-22,Vigo,295364,357,147
2021-05-23,Vigo,295364,361,168
2021-05-24,Vigo,295364,361,172
2021-05-25,Vigo,295364,360,164
2021-05-26,Vigo,295364,323,179
2021-05-27,Vigo,295364,327,163
2021-05-28,Vigo,295364,307,143
2021-05-29,Vigo,295364,286,139
2021-05-30,Vigo,295364,306,138
2021-05-31,Vigo,295364,307,135
2021-06-01,Vigo,295364,304,140
2021-06-02,Vigo,295364,307,128
2021-06-03,Vigo,295364,273,109
2021-06-04,Vigo,295364,254,110
2021-06-05,Vigo,295364,254,115
2021-06-06,Vigo,295364,224,86
2021-06-07,Vigo,295364,213,78
2021-06-08,Vigo,295364,212,72
2021-06-09,Vigo,295364,203,75
2021-06-10,Vigo,295364,187,78
2021-06-11,Vigo,295364,182,72
2021-06-12,Vigo,295364,173,58
2021-06-13,Vigo,295364,150,64
2021-06-14,Vigo,295364,138,60
2021-06-15,Vigo,295364,126,55
2021-06-16,Vigo,295364,119,45
2021-06-17,Vigo,295364,122,44
2021-06-18,Vigo,295364,108,36
2021-06-19,Vigo,295364,101,43
2021-06-20,Vigo,295364,103,40
2021-06-21,Vigo,295364,99,40
2021-06-22,Vigo,295364,98,43
2021-06-23,Vigo,295364,89,44
2021-06-24,Vigo,295364,90,46
2021-06-25,Vigo,295364,99,62
2021-06-26,Vigo,295364,100,56
2021-06-27,Vigo,295364,109,69
2021-06-28,Vigo,295364,125,85
2021-06-29,Vigo,295364,150,107
2021-06-30,Vigo,295364,171,127
2021-07-01,Vigo,295364,180,134
2021-07-02,Vigo,295364,207,145
2021-07-03,Vigo,295364,217,161
2021-07-04,Vigo,295364,232,163
2021-07-05,Vigo,295364,263,178
2021-07-06,Vigo,295364,289,182
2021-07-07,Vigo,295364,357,230
2021-07-08,Vigo,295364,402,268
2021-07-09,Vigo,295364,475,330
2021-07-10,Vigo,295364,568,407
2021-07-11,Vigo,295364,609,446
2021-07-12,Vigo,295364,679,501
2021-07-13,Vigo,295364,830,647
2021-07-14,Vigo,295364,908,676
2021-07-15,Vigo,295364,1026,758
2021-07-16,Vigo,295364,1166,836
2021-07-17,Vigo,295364,1330,923
2021-07-18,Vigo,295364,1443,1002
2021-07-19,Vigo,295364,1527,1031
2021-07-20,Vigo,295364,1644,996
2021-07-21,Vigo,295364,1721,1044
2021-07-22,Vigo,295364,1878,1117
2021-07-23,Vigo,295364,2038,1195
2021-07-24,Vigo,295364,2079,1153
2021-07-25,Vigo,295364,2267,1266
2021-07-26,Vigo,295364,2344,1312
2021-07-27,Vigo,295364,2370,1373
2021-07-28,Vigo,295364,2443,1396
2021-07-29,Vigo,295364,2448,1328
2021-07-30,Vigo,295364,2450,1249
2021-07-31,Vigo,295364,2444,1289
2021-08-01,Vigo,295364,2560,1293
2021-08-02,Vigo,295364,2515,1201
2021-08-03,Vigo,295364,2477,1099
2021-08-04,Vigo,295364,2536,1135
2021-08-05,Vigo,295364,2462,1130
2021-08-06,Vigo,295364,2309,1055
2021-08-07,Vigo,295364,2328,1002
2021-08-08,Vigo,295364,2282,986
2021-08-09,Vigo,295364,2171,966
2021-08-10,Vigo,295364,2107,1006
2021-08-11,Vigo,295364,2052,917
2021-08-12,Vigo,295364,2019,891
2021-08-13,Vigo,295364,1957,902
2021-08-14,Vigo,295364,1843,841
2021-08-15,Vigo,295364,1724,737
2021-08-16,Vigo,295364,1744,775
2021-08-17,Vigo,295364,1668,661
2021-08-18,Vigo,295364,1524,606
2021-08-19,Vigo,295364,1470,578
2021-08-20,Vigo,295364,1465,561
2021-08-21,Vigo,295364,1381,539
2021-08-22,Vigo,295364,1230,486
2021-08-23,Vigo,295364,1222,445
2021-08-24,Vigo,295364,1101,438
2021-08-25,Vigo,295364,1047,438
2021-08-26,Vigo,295364,978,399
2021-08-27,Vigo,295364,891,328
2021-08-28,Vigo,295364,825,279
2021-08-29,Vigo,295364,771,279
2021-08-30,Vigo,295364,705,256
2021-08-31,Vigo,295364,703,261
2021-09-01,Vigo,295364,658,217
2021-09-02,Vigo,295364,603,203
2021-09-03,Vigo,295364,519,191
2021-09-04,Vigo,295364,494,215
2021-09-05,Vigo,295364,464,186
2021-09-06,Vigo,295364,425,162
2021-09-07,Vigo,295364,407,146
2021-09-08,Vigo,295364,359,143
2021-09-09,Vigo,295364,337,135
2021-09-10,Vigo,295364,314,104
2021-09-11,Vigo,295364,311,97
2021-09-12,Vigo,295364,283,98
2021-09-13,Vigo,295364,260,98
2021-09-14,Vigo,295364,246,100
2021-09-15,Vigo,295364,235,92
2021-09-16,Vigo,295364,230,95
2021-09-17,Vigo,295364,229,92
2021-09-18,Vigo,295364,190,93
2021-09-19,Vigo,295364,186,88
2021-09-20,Vigo,295364,185,87
2021-09-21,Vigo,295364,187,86
2021-09-22,Vigo,295364,177,84
2021-09-23,Vigo,295364,165,70
2021-09-24,Vigo,295364,152,60
2021-09-25,Vigo,295364,145,52
2021-09-26,Vigo,295364,133,45
2021-09-27,Vigo,295364,131,44
2021-09-28,Vigo,295364,127,41
2021-09-29,Vigo,295364,126,42
2021-09-30,Vigo,295364,109,39
2021-10-01,Vigo,295364,102,42
2021-10-02,Vigo,295364,94,42
2021-10-03,Vigo,295364,86,41
2021-10-04,Vigo,295364,87,43
2021-10-05,Vigo,295364,79,38
2021-10-06,Vigo,295364,70,28
2021-10-07,Vigo,295364,66,26
2021-10-08,Vigo,295364,66,24
2021-10-09,Vigo,295364,65,23
2021-10-10,Vigo,295364,65,23
2021-10-11,Vigo,295364,62,18
2021-10-12,Vigo,295364,64,25
2021-10-13,Vigo,295364,52,24
2021-10-14,Vigo,295364,50,24
2021-10-15,Vigo,295364,49,25
2021-10-16,Vigo,295364,45,22
2021-10-17,Vigo,295364,46,23
2021-10-18,Vigo,295364,41,23
2021-10-19,Vigo,295364,42,17
2021-10-20,Vigo,295364,45,21
2021-10-21,Vigo,295364,45,21
2021-10-22,Vigo,295364,40,14
2021-10-23,Vigo,295364,39,15
2021-10-24,Vigo,295364,40,16
2021-10-25,Vigo,295364,42,18
2021-10-26,Vigo,295364,39,22
2021-10-27,Vigo,295364,42,21
2021-10-28,Vigo,295364,39,18
2021-10-29,Vigo,295364,38,24
2021-10-30,Vigo,295364,40,24
2021-10-31,Vigo,295364,39,23
2021-11-01,Vigo,295364,40,22
2021-11-02,Vigo,295364,42,20
2021-11-03,Vigo,295364,38,17
2021-11-04,Vigo,295364,38,20
2021-11-05,Vigo,295364,48,24
2021-11-06,Vigo,295364,47,23
2021-11-07,Vigo,295364,46,23
2021-11-08,Vigo,295364,51,29
2021-11-09,Vigo,295364,55,35
2021-11-10,Vigo,295364,63,46
2021-11-11,Vigo,295364,72,52
2021-11-12,Vigo,295364,87,63
2021-11-13,Vigo,295364,98,75
2021-11-14,Vigo,295364,114,91
2021-11-15,Vigo,295364,153,124
2021-11-16,Vigo,295364,174,139
2021-11-17,Vigo,295364,204,157
2021-11-18,Vigo,295364,238,185
2021-11-19,Vigo,295364,273,210
2021-11-20,Vigo,295364,333,258
2021-11-21,Vigo,295364,381,290
2021-11-22,Vigo,295364,422,298
2021-11-23,Vigo,295364,443,304
2021-11-24,Vigo,295364,499,339
2021-11-25,Vigo,295364,561,375
2021-11-26,Vigo,295364,643,432
2021-11-27,Vigo,295364,736,477
2021-11-28,Vigo,295364,795,505
2021-11-29,Vigo,295364,809,511
2021-11-30,Vigo,295364,843,539
2021-12-01,Vigo,295364,924,585
2021-12-02,Vigo,295364,1026,651
2021-12-03,Vigo,295364,1108,676
2021-12-04,Vigo,295364,1140,663
2021-12-05,Vigo,295364,1253,748
2021-12-06,Vigo,295364,1305,794
2021-12-07,Vigo,295364,1352,813
2021-12-08,Vigo,295364,1380,794
2021-12-09,Vigo,295364,1482,830
2021-12-10,Vigo,295364,1573,896
2021-12-11,Vigo,295364,1657,994
2021-12-12,Vigo,295364,1760,1012
2021-12-13,Vigo,295364,1847,1053
2021-12-14,Vigo,295364,1935,1123
2021-12-15,Vigo,295364,2020,1227
2021-12-16,Vigo,295364,2066,1236
2021-12-17,Vigo,295364,2107,1211
2021-12-18,Vigo,295364,2205,1211
2021-12-19,Vigo,295364,2298,1286
2021-12-20,Vigo,295364,2409,1355
2021-12-21,Vigo,295364,2472,1348
2021-12-22,Vigo,295364,2630,1401
2021-12-23,Vigo,295364,2726,1488
2021-12-24,Vigo,295364,2846,1634
2021-12-25,Vigo,295364,2947,1735
2021-12-26,Vigo,295364,3239,1952
2021-12-27,Vigo,295364,3404,2047
2021-12-28,Vigo,295364,3701,2351
2021-12-29,Vigo,295364,4014,2611
2021-12-30,Vigo,295364,4337,2848
2021-12-31,Vigo,295364,4878,3235
2022-01-01,Vigo,295364,5327,3585
2022-01-02,Vigo,295364,5538,3587
2022-01-03,Vigo,295364,5542,3491
2022-01-04,Vigo,295364,5798,3444
2022-01-05,Vigo,295364,5989,3370
2022-01-06,Vigo,295364,6277,3425
2022-01-07,Vigo,295364,6371,3117
2022-01-08,Vigo,295364,6485,2864
2022-01-09,Vigo,295364,6567,2961
2022-01-10,Vigo,295364,6505,2966
2022-01-11,Vigo,295364,6237,2773
2022-01-12,Vigo,295364,6139,2739
2022-01-13,Vigo,295364,8427,4929
2022-01-14,Vigo,295364,8763,5585
2022-01-15,Vigo,295364,9111,6229
2022-01-16,Vigo,295364,9609,6289
2022-01-17,Vigo,295364,9950,6244
2022-01-18,Vigo,295364,10131,6050
2022-01-19,Vigo,295364,10517,5887
