fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Vila de Cruces",5246,20,
2020-11-22,"Vila de Cruces",5246,19,
2020-11-23,"Vila de Cruces",5246,17,
2020-11-24,"Vila de Cruces",5246,17,
2020-11-25,"Vila de Cruces",5246,14,
2020-11-26,"Vila de Cruces",5246,14,
2020-11-27,"Vila de Cruces",5246,12,
2020-11-28,"Vila de Cruces",5246,11,
2020-11-29,"Vila de Cruces",5246,,
2020-11-30,"Vila de Cruces",5246,,
2020-12-01,"Vila de Cruces",5246,,
2020-12-02,"Vila de Cruces",5246,,
2020-12-03,"Vila de Cruces",5246,,
2020-12-04,"Vila de Cruces",5246,,
2020-12-05,"Vila de Cruces",5246,,
2020-12-06,"Vila de Cruces",5246,,
2020-12-07,"Vila de Cruces",5246,,
2020-12-08,"Vila de Cruces",5246,,
2020-12-09,"Vila de Cruces",5246,,
2020-12-10,"Vila de Cruces",5246,,
2020-12-11,"Vila de Cruces",5246,,
2020-12-12,"Vila de Cruces",5246,,
2020-12-13,"Vila de Cruces",5246,,
2020-12-14,"Vila de Cruces",5246,,
2020-12-15,"Vila de Cruces",5246,,
2020-12-16,"Vila de Cruces",5246,0,
2020-12-17,"Vila de Cruces",5246,0,
2020-12-18,"Vila de Cruces",5246,0,
2020-12-19,"Vila de Cruces",5246,0,
2020-12-20,"Vila de Cruces",5246,0,
2020-12-21,"Vila de Cruces",5246,0,
2020-12-22,"Vila de Cruces",5246,,
2020-12-23,"Vila de Cruces",5246,,
2020-12-24,"Vila de Cruces",5246,,
2020-12-25,"Vila de Cruces",5246,,
2020-12-26,"Vila de Cruces",5246,,
2020-12-27,"Vila de Cruces",5246,,
2020-12-28,"Vila de Cruces",5246,,
2020-12-29,"Vila de Cruces",5246,,
2020-12-30,"Vila de Cruces",5246,,
2020-12-31,"Vila de Cruces",5246,,
2021-01-01,"Vila de Cruces",5246,,
2021-01-02,"Vila de Cruces",5246,,
2021-01-03,"Vila de Cruces",5246,,
2021-01-04,"Vila de Cruces",5246,,
2021-01-05,"Vila de Cruces",5246,0,
2021-01-06,"Vila de Cruces",5246,,
2021-01-07,"Vila de Cruces",5246,,
2021-01-08,"Vila de Cruces",5246,,
2021-01-09,"Vila de Cruces",5246,,
2021-01-10,"Vila de Cruces",5246,,
2021-01-11,"Vila de Cruces",5246,,
2021-01-12,"Vila de Cruces",5246,,
2021-01-13,"Vila de Cruces",5246,,
2021-01-14,"Vila de Cruces",5246,,
2021-01-15,"Vila de Cruces",5246,,
2021-01-16,"Vila de Cruces",5246,,
2021-01-17,"Vila de Cruces",5246,,
2021-01-18,"Vila de Cruces",5246,,
2021-01-19,"Vila de Cruces",5246,11,
2021-01-20,"Vila de Cruces",5246,15,
2021-01-21,"Vila de Cruces",5246,22,
2021-01-22,"Vila de Cruces",5246,28,
2021-01-23,"Vila de Cruces",5246,39,
2021-01-24,"Vila de Cruces",5246,41,
2021-01-25,"Vila de Cruces",5246,43,
2021-01-26,"Vila de Cruces",5246,43,
2021-01-27,"Vila de Cruces",5246,47,
2021-01-28,"Vila de Cruces",5246,49,
2021-01-29,"Vila de Cruces",5246,51,
2021-01-30,"Vila de Cruces",5246,55,
2021-01-31,"Vila de Cruces",5246,65,
2021-02-01,"Vila de Cruces",5246,66,
2021-02-02,"Vila de Cruces",5246,68,
2021-02-03,"Vila de Cruces",5246,64,
2021-02-04,"Vila de Cruces",5246,67,
2021-02-05,"Vila de Cruces",5246,64,
2021-02-06,"Vila de Cruces",5246,54,
2021-02-07,"Vila de Cruces",5246,53,
2021-02-08,"Vila de Cruces",5246,53,
2021-02-09,"Vila de Cruces",5246,51,
2021-02-10,"Vila de Cruces",5246,48,
2021-02-11,"Vila de Cruces",5246,45,
2021-02-12,"Vila de Cruces",5246,43,
2021-02-13,"Vila de Cruces",5246,41,
2021-02-14,"Vila de Cruces",5246,31,
2021-02-15,"Vila de Cruces",5246,29,
2021-02-16,"Vila de Cruces",5246,27,
2021-02-17,"Vila de Cruces",5246,26,
2021-02-18,"Vila de Cruces",5246,14,
2021-02-19,"Vila de Cruces",5246,,
2021-02-20,"Vila de Cruces",5246,,
2021-02-21,"Vila de Cruces",5246,,
2021-02-22,"Vila de Cruces",5246,,
2021-02-23,"Vila de Cruces",5246,,
2021-02-24,"Vila de Cruces",5246,,
2021-02-25,"Vila de Cruces",5246,,
2021-02-26,"Vila de Cruces",5246,,
2021-02-27,"Vila de Cruces",5246,,
2021-02-28,"Vila de Cruces",5246,,
2021-03-01,"Vila de Cruces",5246,,
2021-03-02,"Vila de Cruces",5246,,
2021-03-03,"Vila de Cruces",5246,,
2021-03-04,"Vila de Cruces",5246,,
2021-03-05,"Vila de Cruces",5246,,
2021-03-06,"Vila de Cruces",5246,,
2021-03-07,"Vila de Cruces",5246,,
2021-03-08,"Vila de Cruces",5246,,
2021-03-09,"Vila de Cruces",5246,,
2021-03-10,"Vila de Cruces",5246,,
2021-03-11,"Vila de Cruces",5246,,
2021-03-12,"Vila de Cruces",5246,11,
2021-03-13,"Vila de Cruces",5246,10,
2021-03-14,"Vila de Cruces",5246,,
2021-03-15,"Vila de Cruces",5246,,
2021-03-16,"Vila de Cruces",5246,,
2021-03-17,"Vila de Cruces",5246,,
2021-03-18,"Vila de Cruces",5246,,
2021-03-19,"Vila de Cruces",5246,,0
2021-03-20,"Vila de Cruces",5246,,
2021-03-21,"Vila de Cruces",5246,,
2021-03-22,"Vila de Cruces",5246,,
2021-03-23,"Vila de Cruces",5246,,
2021-03-24,"Vila de Cruces",5246,,
2021-03-25,"Vila de Cruces",5246,,
2021-03-26,"Vila de Cruces",5246,,
2021-03-27,"Vila de Cruces",5246,,
2021-03-28,"Vila de Cruces",5246,,
2021-03-29,"Vila de Cruces",5246,,
2021-03-30,"Vila de Cruces",5246,,
2021-03-31,"Vila de Cruces",5246,,
2021-04-01,"Vila de Cruces",5246,,
2021-04-02,"Vila de Cruces",5246,,
2021-04-03,"Vila de Cruces",5246,,
2021-04-04,"Vila de Cruces",5246,,
2021-04-05,"Vila de Cruces",5246,,
2021-04-06,"Vila de Cruces",5246,,
2021-04-07,"Vila de Cruces",5246,,0
2021-04-08,"Vila de Cruces",5246,,
2021-04-09,"Vila de Cruces",5246,,
2021-04-10,"Vila de Cruces",5246,,
2021-04-11,"Vila de Cruces",5246,,
2021-04-12,"Vila de Cruces",5246,,
2021-04-13,"Vila de Cruces",5246,,
2021-04-14,"Vila de Cruces",5246,,
2021-04-15,"Vila de Cruces",5246,,
2021-04-16,"Vila de Cruces",5246,,
2021-04-17,"Vila de Cruces",5246,,
2021-04-18,"Vila de Cruces",5246,,
2021-04-19,"Vila de Cruces",5246,,
2021-04-20,"Vila de Cruces",5246,,
2021-04-21,"Vila de Cruces",5246,,
2021-04-22,"Vila de Cruces",5246,,
2021-04-23,"Vila de Cruces",5246,,0
2021-04-24,"Vila de Cruces",5246,,0
2021-04-25,"Vila de Cruces",5246,,0
2021-04-26,"Vila de Cruces",5246,,0
2021-04-27,"Vila de Cruces",5246,,0
2021-04-28,"Vila de Cruces",5246,,0
2021-04-29,"Vila de Cruces",5246,,0
2021-04-30,"Vila de Cruces",5246,0,0
2021-05-01,"Vila de Cruces",5246,0,0
2021-05-02,"Vila de Cruces",5246,0,0
2021-05-03,"Vila de Cruces",5246,0,0
2021-05-04,"Vila de Cruces",5246,0,0
2021-05-05,"Vila de Cruces",5246,0,0
2021-05-06,"Vila de Cruces",5246,0,0
2021-05-07,"Vila de Cruces",5246,0,0
2021-05-08,"Vila de Cruces",5246,0,0
2021-05-09,"Vila de Cruces",5246,0,0
2021-05-10,"Vila de Cruces",5246,0,0
2021-05-11,"Vila de Cruces",5246,0,0
2021-05-12,"Vila de Cruces",5246,0,0
2021-05-13,"Vila de Cruces",5246,0,0
2021-05-14,"Vila de Cruces",5246,0,0
2021-05-15,"Vila de Cruces",5246,0,0
2021-05-16,"Vila de Cruces",5246,0,0
2021-05-17,"Vila de Cruces",5246,0,0
2021-05-18,"Vila de Cruces",5246,0,0
2021-05-19,"Vila de Cruces",5246,0,0
2021-05-20,"Vila de Cruces",5246,0,0
2021-05-21,"Vila de Cruces",5246,0,0
2021-05-22,"Vila de Cruces",5246,0,0
2021-05-23,"Vila de Cruces",5246,,
2021-05-24,"Vila de Cruces",5246,,
2021-05-25,"Vila de Cruces",5246,,
2021-05-26,"Vila de Cruces",5246,,
2021-05-27,"Vila de Cruces",5246,,
2021-05-28,"Vila de Cruces",5246,,
2021-05-29,"Vila de Cruces",5246,,
2021-05-30,"Vila de Cruces",5246,,0
2021-05-31,"Vila de Cruces",5246,,0
2021-06-01,"Vila de Cruces",5246,,0
2021-06-02,"Vila de Cruces",5246,,0
2021-06-03,"Vila de Cruces",5246,,0
2021-06-04,"Vila de Cruces",5246,,0
2021-06-05,"Vila de Cruces",5246,,0
2021-06-06,"Vila de Cruces",5246,0,0
2021-06-07,"Vila de Cruces",5246,0,0
2021-06-08,"Vila de Cruces",5246,0,0
2021-06-09,"Vila de Cruces",5246,0,0
2021-06-10,"Vila de Cruces",5246,0,0
2021-06-11,"Vila de Cruces",5246,0,0
2021-06-12,"Vila de Cruces",5246,0,0
2021-06-13,"Vila de Cruces",5246,0,0
2021-06-14,"Vila de Cruces",5246,0,0
2021-06-15,"Vila de Cruces",5246,0,0
2021-06-16,"Vila de Cruces",5246,0,0
2021-06-17,"Vila de Cruces",5246,0,0
2021-06-18,"Vila de Cruces",5246,0,0
2021-06-19,"Vila de Cruces",5246,0,0
2021-06-20,"Vila de Cruces",5246,0,0
2021-06-21,"Vila de Cruces",5246,0,0
2021-06-22,"Vila de Cruces",5246,0,0
2021-06-23,"Vila de Cruces",5246,0,0
2021-06-24,"Vila de Cruces",5246,0,0
2021-06-25,"Vila de Cruces",5246,0,0
2021-06-26,"Vila de Cruces",5246,0,0
2021-06-27,"Vila de Cruces",5246,0,0
2021-06-28,"Vila de Cruces",5246,0,0
2021-06-29,"Vila de Cruces",5246,0,0
2021-06-30,"Vila de Cruces",5246,,
2021-07-01,"Vila de Cruces",5246,,
2021-07-02,"Vila de Cruces",5246,,
2021-07-03,"Vila de Cruces",5246,,
2021-07-04,"Vila de Cruces",5246,,
2021-07-05,"Vila de Cruces",5246,,
2021-07-06,"Vila de Cruces",5246,,
2021-07-07,"Vila de Cruces",5246,,
2021-07-08,"Vila de Cruces",5246,,
2021-07-09,"Vila de Cruces",5246,,
2021-07-10,"Vila de Cruces",5246,,
2021-07-11,"Vila de Cruces",5246,,
2021-07-12,"Vila de Cruces",5246,,
