fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Vilaboa,5874,22,
2020-11-22,Vilaboa,5874,20,
2020-11-23,Vilaboa,5874,38,
2020-11-24,Vilaboa,5874,39,
2020-11-25,Vilaboa,5874,39,
2020-11-26,Vilaboa,5874,50,
2020-11-27,Vilaboa,5874,49,
2020-11-28,Vilaboa,5874,51,
2020-11-29,Vilaboa,5874,56,
2020-11-30,Vilaboa,5874,58,
2020-12-01,Vilaboa,5874,59,
2020-12-02,Vilaboa,5874,54,
2020-12-03,Vilaboa,5874,53,
2020-12-04,Vilaboa,5874,55,
2020-12-05,Vilaboa,5874,58,
2020-12-06,Vilaboa,5874,58,
2020-12-07,Vilaboa,5874,39,
2020-12-08,Vilaboa,5874,39,
2020-12-09,Vilaboa,5874,40,
2020-12-10,Vilaboa,5874,29,
2020-12-11,Vilaboa,5874,28,
2020-12-12,Vilaboa,5874,27,
2020-12-13,Vilaboa,5874,20,
2020-12-14,Vilaboa,5874,18,
2020-12-15,Vilaboa,5874,19,
2020-12-16,Vilaboa,5874,14,
2020-12-17,Vilaboa,5874,16,
2020-12-18,Vilaboa,5874,13,
2020-12-19,Vilaboa,5874,10,
2020-12-20,Vilaboa,5874,10,
2020-12-21,Vilaboa,5874,10,
2020-12-22,Vilaboa,5874,,
2020-12-23,Vilaboa,5874,,
2020-12-24,Vilaboa,5874,,
2020-12-25,Vilaboa,5874,,
2020-12-26,Vilaboa,5874,,
2020-12-27,Vilaboa,5874,,
2020-12-28,Vilaboa,5874,,
2020-12-29,Vilaboa,5874,,
2020-12-30,Vilaboa,5874,,
2020-12-31,Vilaboa,5874,,
2021-01-01,Vilaboa,5874,,
2021-01-02,Vilaboa,5874,,
2021-01-03,Vilaboa,5874,,
2021-01-04,Vilaboa,5874,,
2021-01-05,Vilaboa,5874,,
2021-01-06,Vilaboa,5874,,
2021-01-07,Vilaboa,5874,,
2021-01-08,Vilaboa,5874,,
2021-01-09,Vilaboa,5874,,
2021-01-10,Vilaboa,5874,,
2021-01-11,Vilaboa,5874,,
2021-01-12,Vilaboa,5874,,
2021-01-13,Vilaboa,5874,,
2021-01-14,Vilaboa,5874,,
2021-01-15,Vilaboa,5874,,
2021-01-16,Vilaboa,5874,,
2021-01-17,Vilaboa,5874,,
2021-01-18,Vilaboa,5874,,
2021-01-19,Vilaboa,5874,,
2021-01-20,Vilaboa,5874,,
2021-01-21,Vilaboa,5874,,
2021-01-22,Vilaboa,5874,12,
2021-01-23,Vilaboa,5874,16,
2021-01-24,Vilaboa,5874,19,
2021-01-25,Vilaboa,5874,24,
2021-01-26,Vilaboa,5874,31,
2021-01-27,Vilaboa,5874,32,
2021-01-28,Vilaboa,5874,40,
2021-01-29,Vilaboa,5874,42,
2021-01-30,Vilaboa,5874,43,
2021-01-31,Vilaboa,5874,46,
2021-02-01,Vilaboa,5874,50,
2021-02-02,Vilaboa,5874,51,
2021-02-03,Vilaboa,5874,57,
2021-02-04,Vilaboa,5874,58,
2021-02-05,Vilaboa,5874,58,
2021-02-06,Vilaboa,5874,54,
2021-02-07,Vilaboa,5874,53,
2021-02-08,Vilaboa,5874,48,
2021-02-09,Vilaboa,5874,44,
2021-02-10,Vilaboa,5874,42,
2021-02-11,Vilaboa,5874,38,
2021-02-12,Vilaboa,5874,37,
2021-02-13,Vilaboa,5874,38,
2021-02-14,Vilaboa,5874,36,
2021-02-15,Vilaboa,5874,34,
2021-02-16,Vilaboa,5874,33,
2021-02-17,Vilaboa,5874,28,
2021-02-18,Vilaboa,5874,25,
2021-02-19,Vilaboa,5874,23,
2021-02-20,Vilaboa,5874,27,
2021-02-21,Vilaboa,5874,27,
2021-02-22,Vilaboa,5874,29,
2021-02-23,Vilaboa,5874,27,
2021-02-24,Vilaboa,5874,26,
2021-02-25,Vilaboa,5874,24,
2021-02-26,Vilaboa,5874,23,
2021-02-27,Vilaboa,5874,20,
2021-02-28,Vilaboa,5874,19,
2021-03-01,Vilaboa,5874,17,
2021-03-02,Vilaboa,5874,17,
2021-03-03,Vilaboa,5874,15,
2021-03-04,Vilaboa,5874,15,
2021-03-05,Vilaboa,5874,12,
2021-03-06,Vilaboa,5874,,
2021-03-07,Vilaboa,5874,,
2021-03-08,Vilaboa,5874,,
2021-03-09,Vilaboa,5874,,
2021-03-10,Vilaboa,5874,,
2021-03-11,Vilaboa,5874,,
2021-03-12,Vilaboa,5874,,
2021-03-13,Vilaboa,5874,,
2021-03-14,Vilaboa,5874,,
2021-03-15,Vilaboa,5874,,
2021-03-16,Vilaboa,5874,,
2021-03-17,Vilaboa,5874,,
2021-03-18,Vilaboa,5874,,
2021-03-19,Vilaboa,5874,,
2021-03-20,Vilaboa,5874,,
2021-03-21,Vilaboa,5874,,
2021-03-22,Vilaboa,5874,,
2021-03-23,Vilaboa,5874,,
2021-03-24,Vilaboa,5874,,
2021-03-25,Vilaboa,5874,,
2021-03-26,Vilaboa,5874,,
2021-03-27,Vilaboa,5874,,0
2021-03-28,Vilaboa,5874,,
2021-03-29,Vilaboa,5874,,
2021-03-30,Vilaboa,5874,,
2021-03-31,Vilaboa,5874,,
2021-04-01,Vilaboa,5874,,
2021-04-02,Vilaboa,5874,,
2021-04-03,Vilaboa,5874,,
2021-04-04,Vilaboa,5874,,
2021-04-05,Vilaboa,5874,,
2021-04-06,Vilaboa,5874,,
2021-04-07,Vilaboa,5874,,
2021-04-08,Vilaboa,5874,,
2021-04-09,Vilaboa,5874,,
2021-04-10,Vilaboa,5874,,
2021-04-11,Vilaboa,5874,,
2021-04-12,Vilaboa,5874,,
2021-04-13,Vilaboa,5874,,
2021-04-14,Vilaboa,5874,,
2021-04-15,Vilaboa,5874,,
2021-04-16,Vilaboa,5874,,
2021-04-17,Vilaboa,5874,,
2021-04-18,Vilaboa,5874,,
2021-04-19,Vilaboa,5874,,
2021-04-20,Vilaboa,5874,,0
2021-04-21,Vilaboa,5874,,0
2021-04-22,Vilaboa,5874,,0
2021-04-23,Vilaboa,5874,,0
2021-04-24,Vilaboa,5874,,0
2021-04-25,Vilaboa,5874,,0
2021-04-26,Vilaboa,5874,,0
2021-04-27,Vilaboa,5874,,
2021-04-28,Vilaboa,5874,,
2021-04-29,Vilaboa,5874,,
2021-04-30,Vilaboa,5874,,
2021-05-01,Vilaboa,5874,,
2021-05-02,Vilaboa,5874,,
2021-05-03,Vilaboa,5874,,
2021-05-04,Vilaboa,5874,,
2021-05-05,Vilaboa,5874,,
2021-05-06,Vilaboa,5874,,
2021-05-07,Vilaboa,5874,,0
2021-05-08,Vilaboa,5874,,0
2021-05-09,Vilaboa,5874,,0
2021-05-10,Vilaboa,5874,,0
2021-05-11,Vilaboa,5874,,0
2021-05-12,Vilaboa,5874,,0
2021-05-13,Vilaboa,5874,,0
2021-05-14,Vilaboa,5874,0,0
2021-05-15,Vilaboa,5874,0,0
2021-05-16,Vilaboa,5874,0,0
2021-05-17,Vilaboa,5874,0,0
2021-05-18,Vilaboa,5874,,
2021-05-19,Vilaboa,5874,,
2021-05-20,Vilaboa,5874,,
2021-05-21,Vilaboa,5874,,
2021-05-22,Vilaboa,5874,,
2021-05-23,Vilaboa,5874,,
2021-05-24,Vilaboa,5874,,
2021-05-25,Vilaboa,5874,,
2021-05-26,Vilaboa,5874,,
2021-05-27,Vilaboa,5874,,
2021-05-28,Vilaboa,5874,,
2021-05-29,Vilaboa,5874,,
2021-05-30,Vilaboa,5874,,
2021-05-31,Vilaboa,5874,,
2021-06-01,Vilaboa,5874,,
2021-06-02,Vilaboa,5874,,
2021-06-03,Vilaboa,5874,,
2021-06-04,Vilaboa,5874,,
2021-06-05,Vilaboa,5874,,
2021-06-06,Vilaboa,5874,,
2021-06-07,Vilaboa,5874,,
2021-06-08,Vilaboa,5874,,
2021-06-09,Vilaboa,5874,,
2021-06-10,Vilaboa,5874,,
2021-06-11,Vilaboa,5874,,
2021-06-12,Vilaboa,5874,,
2021-06-13,Vilaboa,5874,,
2021-06-14,Vilaboa,5874,,
2021-06-15,Vilaboa,5874,,
2021-06-16,Vilaboa,5874,,
2021-06-17,Vilaboa,5874,,
2021-06-18,Vilaboa,5874,,
2021-06-19,Vilaboa,5874,,0
2021-06-20,Vilaboa,5874,,0
2021-06-21,Vilaboa,5874,,0
2021-06-22,Vilaboa,5874,,
2021-06-23,Vilaboa,5874,,
2021-06-24,Vilaboa,5874,,
2021-06-25,Vilaboa,5874,,
2021-06-26,Vilaboa,5874,,
2021-06-27,Vilaboa,5874,,
2021-06-28,Vilaboa,5874,,
2021-06-29,Vilaboa,5874,,
2021-06-30,Vilaboa,5874,,
2021-07-01,Vilaboa,5874,,
2021-07-02,Vilaboa,5874,,
2021-07-03,Vilaboa,5874,,
2021-07-04,Vilaboa,5874,,
2021-07-05,Vilaboa,5874,,
2021-07-06,Vilaboa,5874,,
2021-07-07,Vilaboa,5874,,
2021-07-08,Vilaboa,5874,,
2021-07-09,Vilaboa,5874,,
2021-07-10,Vilaboa,5874,,
2021-07-11,Vilaboa,5874,,
2021-07-12,Vilaboa,5874,,
2021-07-13,Vilaboa,5874,,
2021-07-14,Vilaboa,5874,,
2021-07-15,Vilaboa,5874,,
2021-07-16,Vilaboa,5874,,
2021-07-17,Vilaboa,5874,,
2021-07-18,Vilaboa,5874,,
2021-07-19,Vilaboa,5874,,
2021-07-20,Vilaboa,5874,,
2021-07-21,Vilaboa,5874,,
2021-07-22,Vilaboa,5874,10,
2021-07-23,Vilaboa,5874,12,
2021-07-24,Vilaboa,5874,17,14
2021-07-25,Vilaboa,5874,21,18
2021-07-26,Vilaboa,5874,21,18
2021-07-27,Vilaboa,5874,21,16
2021-07-28,Vilaboa,5874,26,21
2021-07-29,Vilaboa,5874,28,19
2021-07-30,Vilaboa,5874,29,20
2021-07-31,Vilaboa,5874,30,16
