fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Vilagarcía de Arousa",37456,59,
2020-11-22,"Vilagarcía de Arousa",37456,61,
2020-11-23,"Vilagarcía de Arousa",37456,53,
2020-11-24,"Vilagarcía de Arousa",37456,56,
2020-11-25,"Vilagarcía de Arousa",37456,60,
2020-11-26,"Vilagarcía de Arousa",37456,63,
2020-11-27,"Vilagarcía de Arousa",37456,65,
2020-11-28,"Vilagarcía de Arousa",37456,65,
2020-11-29,"Vilagarcía de Arousa",37456,68,
2020-11-30,"Vilagarcía de Arousa",37456,71,
2020-12-01,"Vilagarcía de Arousa",37456,71,
2020-12-02,"Vilagarcía de Arousa",37456,68,
2020-12-03,"Vilagarcía de Arousa",37456,76,
2020-12-04,"Vilagarcía de Arousa",37456,77,
2020-12-05,"Vilagarcía de Arousa",37456,77,
2020-12-06,"Vilagarcía de Arousa",37456,77,
2020-12-07,"Vilagarcía de Arousa",37456,83,
2020-12-08,"Vilagarcía de Arousa",37456,88,
2020-12-09,"Vilagarcía de Arousa",37456,88,
2020-12-10,"Vilagarcía de Arousa",37456,87,
2020-12-11,"Vilagarcía de Arousa",37456,86,
2020-12-12,"Vilagarcía de Arousa",37456,93,
2020-12-13,"Vilagarcía de Arousa",37456,94,
2020-12-14,"Vilagarcía de Arousa",37456,89,
2020-12-15,"Vilagarcía de Arousa",37456,95,
2020-12-16,"Vilagarcía de Arousa",37456,99,
2020-12-17,"Vilagarcía de Arousa",37456,93,
2020-12-18,"Vilagarcía de Arousa",37456,98,
2020-12-19,"Vilagarcía de Arousa",37456,111,
2020-12-20,"Vilagarcía de Arousa",37456,118,
2020-12-21,"Vilagarcía de Arousa",37456,114,
2020-12-22,"Vilagarcía de Arousa",37456,113,
2020-12-23,"Vilagarcía de Arousa",37456,112,
2020-12-24,"Vilagarcía de Arousa",37456,114,
2020-12-25,"Vilagarcía de Arousa",37456,115,
2020-12-26,"Vilagarcía de Arousa",37456,113,
2020-12-27,"Vilagarcía de Arousa",37456,109,
2020-12-28,"Vilagarcía de Arousa",37456,109,
2020-12-29,"Vilagarcía de Arousa",37456,99,
2020-12-30,"Vilagarcía de Arousa",37456,101,
2020-12-31,"Vilagarcía de Arousa",37456,98,
2021-01-01,"Vilagarcía de Arousa",37456,93,
2021-01-02,"Vilagarcía de Arousa",37456,82,
2021-01-03,"Vilagarcía de Arousa",37456,75,
2021-01-04,"Vilagarcía de Arousa",37456,76,
2021-01-05,"Vilagarcía de Arousa",37456,74,
2021-01-06,"Vilagarcía de Arousa",37456,74,
2021-01-07,"Vilagarcía de Arousa",37456,70,
2021-01-08,"Vilagarcía de Arousa",37456,69,
2021-01-09,"Vilagarcía de Arousa",37456,69,
2021-01-10,"Vilagarcía de Arousa",37456,74,
2021-01-11,"Vilagarcía de Arousa",37456,83,
2021-01-12,"Vilagarcía de Arousa",37456,96,
2021-01-13,"Vilagarcía de Arousa",37456,99,
2021-01-14,"Vilagarcía de Arousa",37456,101,
2021-01-15,"Vilagarcía de Arousa",37456,106,
2021-01-16,"Vilagarcía de Arousa",37456,106,
2021-01-17,"Vilagarcía de Arousa",37456,118,
2021-01-18,"Vilagarcía de Arousa",37456,123,
2021-01-19,"Vilagarcía de Arousa",37456,122,
2021-01-20,"Vilagarcía de Arousa",37456,122,
2021-01-21,"Vilagarcía de Arousa",37456,132,
2021-01-22,"Vilagarcía de Arousa",37456,137,
2021-01-23,"Vilagarcía de Arousa",37456,134,
2021-01-24,"Vilagarcía de Arousa",37456,131,
2021-01-25,"Vilagarcía de Arousa",37456,139,
2021-01-26,"Vilagarcía de Arousa",37456,142,
2021-01-27,"Vilagarcía de Arousa",37456,145,
2021-01-28,"Vilagarcía de Arousa",37456,151,
2021-01-29,"Vilagarcía de Arousa",37456,160,
2021-01-30,"Vilagarcía de Arousa",37456,171,
2021-01-31,"Vilagarcía de Arousa",37456,162,
2021-02-01,"Vilagarcía de Arousa",37456,163,
2021-02-02,"Vilagarcía de Arousa",37456,172,
2021-02-03,"Vilagarcía de Arousa",37456,187,
2021-02-04,"Vilagarcía de Arousa",37456,189,
2021-02-05,"Vilagarcía de Arousa",37456,195,
2021-02-06,"Vilagarcía de Arousa",37456,199,
2021-02-07,"Vilagarcía de Arousa",37456,203,
2021-02-08,"Vilagarcía de Arousa",37456,196,
2021-02-09,"Vilagarcía de Arousa",37456,182,
2021-02-10,"Vilagarcía de Arousa",37456,175,
2021-02-11,"Vilagarcía de Arousa",37456,172,
2021-02-12,"Vilagarcía de Arousa",37456,159,
2021-02-13,"Vilagarcía de Arousa",37456,143,
2021-02-14,"Vilagarcía de Arousa",37456,143,
2021-02-15,"Vilagarcía de Arousa",37456,135,
2021-02-16,"Vilagarcía de Arousa",37456,124,
2021-02-17,"Vilagarcía de Arousa",37456,109,
2021-02-18,"Vilagarcía de Arousa",37456,100,
2021-02-19,"Vilagarcía de Arousa",37456,97,
2021-02-20,"Vilagarcía de Arousa",37456,98,
2021-02-21,"Vilagarcía de Arousa",37456,96,
2021-02-22,"Vilagarcía de Arousa",37456,88,
2021-02-23,"Vilagarcía de Arousa",37456,85,
2021-02-24,"Vilagarcía de Arousa",37456,81,
2021-02-25,"Vilagarcía de Arousa",37456,80,
2021-02-26,"Vilagarcía de Arousa",37456,78,
2021-02-27,"Vilagarcía de Arousa",37456,78,
2021-02-28,"Vilagarcía de Arousa",37456,74,
2021-03-01,"Vilagarcía de Arousa",37456,74,
2021-03-02,"Vilagarcía de Arousa",37456,69,21
2021-03-03,"Vilagarcía de Arousa",37456,66,18
2021-03-04,"Vilagarcía de Arousa",37456,61,13
2021-03-05,"Vilagarcía de Arousa",37456,50,13
2021-03-06,"Vilagarcía de Arousa",37456,38,11
2021-03-07,"Vilagarcía de Arousa",37456,32,12
2021-03-08,"Vilagarcía de Arousa",37456,29,
2021-03-09,"Vilagarcía de Arousa",37456,28,
2021-03-10,"Vilagarcía de Arousa",37456,24,
2021-03-11,"Vilagarcía de Arousa",37456,20,
2021-03-12,"Vilagarcía de Arousa",37456,18,
2021-03-13,"Vilagarcía de Arousa",37456,15,
2021-03-14,"Vilagarcía de Arousa",37456,15,
2021-03-15,"Vilagarcía de Arousa",37456,11,
2021-03-16,"Vilagarcía de Arousa",37456,10,
2021-03-17,"Vilagarcía de Arousa",37456,,
2021-03-18,"Vilagarcía de Arousa",37456,,
2021-03-19,"Vilagarcía de Arousa",37456,,
2021-03-20,"Vilagarcía de Arousa",37456,,
2021-03-21,"Vilagarcía de Arousa",37456,,
2021-03-22,"Vilagarcía de Arousa",37456,,
2021-03-23,"Vilagarcía de Arousa",37456,,
2021-03-24,"Vilagarcía de Arousa",37456,,
2021-03-25,"Vilagarcía de Arousa",37456,,
2021-03-26,"Vilagarcía de Arousa",37456,,
2021-03-27,"Vilagarcía de Arousa",37456,10,
2021-03-28,"Vilagarcía de Arousa",37456,,
2021-03-29,"Vilagarcía de Arousa",37456,10,
2021-03-30,"Vilagarcía de Arousa",37456,11,
2021-03-31,"Vilagarcía de Arousa",37456,11,
2021-04-01,"Vilagarcía de Arousa",37456,11,
2021-04-02,"Vilagarcía de Arousa",37456,11,
2021-04-03,"Vilagarcía de Arousa",37456,11,
2021-04-04,"Vilagarcía de Arousa",37456,14,
2021-04-05,"Vilagarcía de Arousa",37456,16,11
2021-04-06,"Vilagarcía de Arousa",37456,16,11
2021-04-07,"Vilagarcía de Arousa",37456,17,12
2021-04-08,"Vilagarcía de Arousa",37456,18,14
2021-04-09,"Vilagarcía de Arousa",37456,20,16
2021-04-10,"Vilagarcía de Arousa",37456,19,13
2021-04-11,"Vilagarcía de Arousa",37456,22,13
2021-04-12,"Vilagarcía de Arousa",37456,26,15
2021-04-13,"Vilagarcía de Arousa",37456,30,19
2021-04-14,"Vilagarcía de Arousa",37456,34,22
2021-04-15,"Vilagarcía de Arousa",37456,41,27
2021-04-16,"Vilagarcía de Arousa",37456,48,32
2021-04-17,"Vilagarcía de Arousa",37456,49,36
2021-04-18,"Vilagarcía de Arousa",37456,47,34
2021-04-19,"Vilagarcía de Arousa",37456,53,38
2021-04-20,"Vilagarcía de Arousa",37456,54,35
2021-04-21,"Vilagarcía de Arousa",37456,56,34
2021-04-22,"Vilagarcía de Arousa",37456,58,31
2021-04-23,"Vilagarcía de Arousa",37456,58,26
2021-04-24,"Vilagarcía de Arousa",37456,60,24
2021-04-25,"Vilagarcía de Arousa",37456,59,25
2021-04-26,"Vilagarcía de Arousa",37456,57,19
2021-04-27,"Vilagarcía de Arousa",37456,55,20
2021-04-28,"Vilagarcía de Arousa",37456,60,26
2021-04-29,"Vilagarcía de Arousa",37456,57,26
2021-04-30,"Vilagarcía de Arousa",37456,59,33
2021-05-01,"Vilagarcía de Arousa",37456,61,37
2021-05-02,"Vilagarcía de Arousa",37456,61,36
2021-05-03,"Vilagarcía de Arousa",37456,56,37
2021-05-04,"Vilagarcía de Arousa",37456,55,35
2021-05-05,"Vilagarcía de Arousa",37456,53,27
2021-05-06,"Vilagarcía de Arousa",37456,51,25
2021-05-07,"Vilagarcía de Arousa",37456,51,18
2021-05-08,"Vilagarcía de Arousa",37456,50,12
2021-05-09,"Vilagarcía de Arousa",37456,53,16
2021-05-10,"Vilagarcía de Arousa",37456,53,15
2021-05-11,"Vilagarcía de Arousa",37456,52,17
2021-05-12,"Vilagarcía de Arousa",37456,48,21
2021-05-13,"Vilagarcía de Arousa",37456,45,20
2021-05-14,"Vilagarcía de Arousa",37456,36,18
2021-05-15,"Vilagarcía de Arousa",37456,34,22
2021-05-16,"Vilagarcía de Arousa",37456,33,17
2021-05-17,"Vilagarcía de Arousa",37456,31,16
2021-05-18,"Vilagarcía de Arousa",37456,35,18
2021-05-19,"Vilagarcía de Arousa",37456,35,13
2021-05-20,"Vilagarcía de Arousa",37456,37,16
2021-05-21,"Vilagarcía de Arousa",37456,34,15
2021-05-22,"Vilagarcía de Arousa",37456,37,15
2021-05-23,"Vilagarcía de Arousa",37456,32,15
2021-05-24,"Vilagarcía de Arousa",37456,32,16
2021-05-25,"Vilagarcía de Arousa",37456,29,11
2021-05-26,"Vilagarcía de Arousa",37456,27,14
2021-05-27,"Vilagarcía de Arousa",37456,27,11
2021-05-28,"Vilagarcía de Arousa",37456,27,12
2021-05-29,"Vilagarcía de Arousa",37456,24,
2021-05-30,"Vilagarcía de Arousa",37456,26,11
2021-05-31,"Vilagarcía de Arousa",37456,26,10
2021-06-01,"Vilagarcía de Arousa",37456,22,11
2021-06-02,"Vilagarcía de Arousa",37456,21,
2021-06-03,"Vilagarcía de Arousa",37456,19,
2021-06-04,"Vilagarcía de Arousa",37456,21,
2021-06-05,"Vilagarcía de Arousa",37456,18,
2021-06-06,"Vilagarcía de Arousa",37456,19,
2021-06-07,"Vilagarcía de Arousa",37456,17,
2021-06-08,"Vilagarcía de Arousa",37456,18,
2021-06-09,"Vilagarcía de Arousa",37456,15,
2021-06-10,"Vilagarcía de Arousa",37456,16,
2021-06-11,"Vilagarcía de Arousa",37456,16,
2021-06-12,"Vilagarcía de Arousa",37456,16,
2021-06-13,"Vilagarcía de Arousa",37456,15,
2021-06-14,"Vilagarcía de Arousa",37456,13,
2021-06-15,"Vilagarcía de Arousa",37456,15,
2021-06-16,"Vilagarcía de Arousa",37456,16,
2021-06-17,"Vilagarcía de Arousa",37456,14,
2021-06-18,"Vilagarcía de Arousa",37456,13,
2021-06-19,"Vilagarcía de Arousa",37456,17,10
2021-06-20,"Vilagarcía de Arousa",37456,18,10
2021-06-21,"Vilagarcía de Arousa",37456,17,10
2021-06-22,"Vilagarcía de Arousa",37456,18,10
2021-06-23,"Vilagarcía de Arousa",37456,17,
2021-06-24,"Vilagarcía de Arousa",37456,16,10
2021-06-25,"Vilagarcía de Arousa",37456,20,14
2021-06-26,"Vilagarcía de Arousa",37456,22,12
2021-06-27,"Vilagarcía de Arousa",37456,24,14
2021-06-28,"Vilagarcía de Arousa",37456,27,17
2021-06-29,"Vilagarcía de Arousa",37456,26,16
2021-06-30,"Vilagarcía de Arousa",37456,28,19
2021-07-01,"Vilagarcía de Arousa",37456,40,30
2021-07-02,"Vilagarcía de Arousa",37456,54,40
2021-07-03,"Vilagarcía de Arousa",37456,61,50
2021-07-04,"Vilagarcía de Arousa",37456,67,54
2021-07-05,"Vilagarcía de Arousa",37456,86,70
2021-07-06,"Vilagarcía de Arousa",37456,91,75
2021-07-07,"Vilagarcía de Arousa",37456,93,74
2021-07-08,"Vilagarcía de Arousa",37456,98,68
2021-07-09,"Vilagarcía de Arousa",37456,110,70
2021-07-10,"Vilagarcía de Arousa",37456,135,85
2021-07-11,"Vilagarcía de Arousa",37456,143,89
2021-07-12,"Vilagarcía de Arousa",37456,149,79
2021-07-13,"Vilagarcía de Arousa",37456,161,86
2021-07-14,"Vilagarcía de Arousa",37456,171,97
2021-07-15,"Vilagarcía de Arousa",37456,172,104
2021-07-16,"Vilagarcía de Arousa",37456,191,121
2021-07-17,"Vilagarcía de Arousa",37456,200,115
2021-07-18,"Vilagarcía de Arousa",37456,207,118
2021-07-19,"Vilagarcía de Arousa",37456,206,127
2021-07-20,"Vilagarcía de Arousa",37456,219,133
2021-07-21,"Vilagarcía de Arousa",37456,237,140
2021-07-22,"Vilagarcía de Arousa",37456,252,148
2021-07-23,"Vilagarcía de Arousa",37456,253,133
2021-07-24,"Vilagarcía de Arousa",37456,243,128
2021-07-25,"Vilagarcía de Arousa",37456,245,127
2021-07-26,"Vilagarcía de Arousa",37456,249,122
2021-07-27,"Vilagarcía de Arousa",37456,250,117
2021-07-28,"Vilagarcía de Arousa",37456,248,106
2021-07-29,"Vilagarcía de Arousa",37456,246,97
2021-07-30,"Vilagarcía de Arousa",37456,231,97
2021-07-31,"Vilagarcía de Arousa",37456,222,93
2021-08-01,"Vilagarcía de Arousa",37456,215,87
2021-08-02,"Vilagarcía de Arousa",37456,218,95
2021-08-03,"Vilagarcía de Arousa",37456,204,87
2021-08-04,"Vilagarcía de Arousa",37456,195,89
2021-08-05,"Vilagarcía de Arousa",37456,199,102
2021-08-06,"Vilagarcía de Arousa",37456,198,101
2021-08-07,"Vilagarcía de Arousa",37456,196,103
2021-08-08,"Vilagarcía de Arousa",37456,190,102
2021-08-09,"Vilagarcía de Arousa",37456,183,88
2021-08-10,"Vilagarcía de Arousa",37456,176,89
2021-08-11,"Vilagarcía de Arousa",37456,166,77
2021-08-12,"Vilagarcía de Arousa",37456,164,62
2021-08-13,"Vilagarcía de Arousa",37456,160,59
2021-08-14,"Vilagarcía de Arousa",37456,150,47
2021-08-15,"Vilagarcía de Arousa",37456,149,47
2021-08-16,"Vilagarcía de Arousa",37456,134,46
2021-08-17,"Vilagarcía de Arousa",37456,129,39
2021-08-18,"Vilagarcía de Arousa",37456,119,41
2021-08-19,"Vilagarcía de Arousa",37456,99,37
2021-08-20,"Vilagarcía de Arousa",37456,83,25
2021-08-21,"Vilagarcía de Arousa",37456,83,37
2021-08-22,"Vilagarcía de Arousa",37456,78,31
2021-08-23,"Vilagarcía de Arousa",37456,74,28
2021-08-24,"Vilagarcía de Arousa",37456,67,28
2021-08-25,"Vilagarcía de Arousa",37456,68,27
2021-08-26,"Vilagarcía de Arousa",37456,67,30
2021-08-27,"Vilagarcía de Arousa",37456,58,33
2021-08-28,"Vilagarcía de Arousa",37456,57,20
2021-08-29,"Vilagarcía de Arousa",37456,50,19
2021-08-30,"Vilagarcía de Arousa",37456,45,17
2021-08-31,"Vilagarcía de Arousa",37456,45,17
2021-09-01,"Vilagarcía de Arousa",37456,43,16
2021-09-02,"Vilagarcía de Arousa",37456,43,13
2021-09-03,"Vilagarcía de Arousa",37456,43,10
2021-09-04,"Vilagarcía de Arousa",37456,30,10
2021-09-05,"Vilagarcía de Arousa",37456,31,12
2021-09-06,"Vilagarcía de Arousa",37456,31,14
2021-09-07,"Vilagarcía de Arousa",37456,32,14
2021-09-08,"Vilagarcía de Arousa",37456,33,16
2021-09-09,"Vilagarcía de Arousa",37456,26,12
