fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Vilalba,14072,186,
2020-11-22,Vilalba,14072,189,
2020-11-23,Vilalba,14072,179,
2020-11-24,Vilalba,14072,177,
2020-11-25,Vilalba,14072,177,
2020-11-26,Vilalba,14072,172,
2020-11-27,Vilalba,14072,174,
2020-11-28,Vilalba,14072,197,
2020-11-29,Vilalba,14072,195,
2020-11-30,Vilalba,14072,197,
2020-12-01,Vilalba,14072,196,
2020-12-02,Vilalba,14072,193,
2020-12-03,Vilalba,14072,192,
2020-12-04,Vilalba,14072,71,
2020-12-05,Vilalba,14072,72,
2020-12-06,Vilalba,14072,71,
2020-12-07,Vilalba,14072,66,
2020-12-08,Vilalba,14072,64,
2020-12-09,Vilalba,14072,72,
2020-12-10,Vilalba,14072,70,
2020-12-11,Vilalba,14072,73,
2020-12-12,Vilalba,14072,47,
2020-12-13,Vilalba,14072,49,
2020-12-14,Vilalba,14072,47,
2020-12-15,Vilalba,14072,44,
2020-12-16,Vilalba,14072,41,
2020-12-17,Vilalba,14072,39,
2020-12-18,Vilalba,14072,36,
2020-12-19,Vilalba,14072,29,
2020-12-20,Vilalba,14072,31,
2020-12-21,Vilalba,14072,31,
2020-12-22,Vilalba,14072,29,
2020-12-23,Vilalba,14072,19,
2020-12-24,Vilalba,14072,20,
2020-12-25,Vilalba,14072,14,
2020-12-26,Vilalba,14072,16,
2020-12-27,Vilalba,14072,13,
2020-12-28,Vilalba,14072,18,
2020-12-29,Vilalba,14072,19,
2020-12-30,Vilalba,14072,24,
2020-12-31,Vilalba,14072,26,
2021-01-01,Vilalba,14072,27,
2021-01-02,Vilalba,14072,29,
2021-01-03,Vilalba,14072,27,
2021-01-04,Vilalba,14072,29,
2021-01-05,Vilalba,14072,31,
2021-01-06,Vilalba,14072,33,
2021-01-07,Vilalba,14072,36,
2021-01-08,Vilalba,14072,38,
2021-01-09,Vilalba,14072,41,
2021-01-10,Vilalba,14072,43,
2021-01-11,Vilalba,14072,42,
2021-01-12,Vilalba,14072,43,
2021-01-13,Vilalba,14072,43,
2021-01-14,Vilalba,14072,45,
2021-01-15,Vilalba,14072,48,
2021-01-16,Vilalba,14072,54,
2021-01-17,Vilalba,14072,62,
2021-01-18,Vilalba,14072,61,
2021-01-19,Vilalba,14072,65,
2021-01-20,Vilalba,14072,66,
2021-01-21,Vilalba,14072,80,
2021-01-22,Vilalba,14072,90,
2021-01-23,Vilalba,14072,95,
2021-01-24,Vilalba,14072,104,
2021-01-25,Vilalba,14072,108,
2021-01-26,Vilalba,14072,115,
2021-01-27,Vilalba,14072,121,
2021-01-28,Vilalba,14072,148,
2021-01-29,Vilalba,14072,159,
2021-01-30,Vilalba,14072,165,
2021-01-31,Vilalba,14072,169,
2021-02-01,Vilalba,14072,182,
2021-02-02,Vilalba,14072,187,
2021-02-03,Vilalba,14072,192,
2021-02-04,Vilalba,14072,188,
2021-02-05,Vilalba,14072,179,
2021-02-06,Vilalba,14072,180,
2021-02-07,Vilalba,14072,180,
2021-02-08,Vilalba,14072,178,
2021-02-09,Vilalba,14072,170,
2021-02-10,Vilalba,14072,158,
2021-02-11,Vilalba,14072,134,
2021-02-12,Vilalba,14072,120,
2021-02-13,Vilalba,14072,108,
2021-02-14,Vilalba,14072,94,
2021-02-15,Vilalba,14072,83,
2021-02-16,Vilalba,14072,74,
2021-02-17,Vilalba,14072,65,
2021-02-18,Vilalba,14072,52,
2021-02-19,Vilalba,14072,50,
2021-02-20,Vilalba,14072,42,
2021-02-21,Vilalba,14072,31,
2021-02-22,Vilalba,14072,24,
2021-02-23,Vilalba,14072,24,
2021-02-24,Vilalba,14072,24,
2021-02-25,Vilalba,14072,17,
2021-02-26,Vilalba,14072,16,
2021-02-27,Vilalba,14072,14,
2021-02-28,Vilalba,14072,14,
2021-03-01,Vilalba,14072,11,
2021-03-02,Vilalba,14072,,
2021-03-03,Vilalba,14072,,
2021-03-04,Vilalba,14072,,
