fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Vilamarín,1854,,
2020-11-22,Vilamarín,1854,,
2020-11-23,Vilamarín,1854,,
2020-11-24,Vilamarín,1854,,
2020-11-25,Vilamarín,1854,,
2020-11-26,Vilamarín,1854,,
2020-11-27,Vilamarín,1854,,
2020-11-28,Vilamarín,1854,,
2020-11-29,Vilamarín,1854,,
2020-11-30,Vilamarín,1854,,
2020-12-01,Vilamarín,1854,,
2020-12-02,Vilamarín,1854,,
2020-12-03,Vilamarín,1854,,
2020-12-04,Vilamarín,1854,,
2020-12-05,Vilamarín,1854,,
2020-12-06,Vilamarín,1854,0,
2020-12-07,Vilamarín,1854,0,
2020-12-08,Vilamarín,1854,0,
2020-12-09,Vilamarín,1854,0,
2020-12-10,Vilamarín,1854,0,
2020-12-11,Vilamarín,1854,0,
2020-12-12,Vilamarín,1854,0,
2020-12-13,Vilamarín,1854,0,
2020-12-14,Vilamarín,1854,0,
2020-12-15,Vilamarín,1854,0,
2020-12-16,Vilamarín,1854,0,
2020-12-17,Vilamarín,1854,0,
2020-12-18,Vilamarín,1854,0,
2020-12-19,Vilamarín,1854,0,
2020-12-20,Vilamarín,1854,0,
2020-12-21,Vilamarín,1854,0,
2020-12-22,Vilamarín,1854,0,
2020-12-23,Vilamarín,1854,,
2020-12-24,Vilamarín,1854,,
2020-12-25,Vilamarín,1854,,
2020-12-26,Vilamarín,1854,,
2020-12-27,Vilamarín,1854,,
2020-12-28,Vilamarín,1854,,
2020-12-29,Vilamarín,1854,,
2020-12-30,Vilamarín,1854,,
2020-12-31,Vilamarín,1854,,
2021-01-01,Vilamarín,1854,,
2021-01-02,Vilamarín,1854,10,
2021-01-03,Vilamarín,1854,10,
2021-01-04,Vilamarín,1854,14,
2021-01-05,Vilamarín,1854,16,
2021-01-06,Vilamarín,1854,16,
2021-01-07,Vilamarín,1854,17,
2021-01-08,Vilamarín,1854,20,
2021-01-09,Vilamarín,1854,20,
2021-01-10,Vilamarín,1854,22,
2021-01-11,Vilamarín,1854,22,
2021-01-12,Vilamarín,1854,22,
2021-01-13,Vilamarín,1854,24,
2021-01-14,Vilamarín,1854,25,
2021-01-15,Vilamarín,1854,25,
2021-01-16,Vilamarín,1854,25,
2021-01-17,Vilamarín,1854,25,
2021-01-18,Vilamarín,1854,22,
2021-01-19,Vilamarín,1854,21,
2021-01-20,Vilamarín,1854,20,
2021-01-21,Vilamarín,1854,19,
2021-01-22,Vilamarín,1854,16,
2021-01-23,Vilamarín,1854,16,
2021-01-24,Vilamarín,1854,12,
2021-01-25,Vilamarín,1854,11,
2021-01-26,Vilamarín,1854,14,
2021-01-27,Vilamarín,1854,13,
2021-01-28,Vilamarín,1854,11,
2021-01-29,Vilamarín,1854,10,
2021-01-30,Vilamarín,1854,,
2021-01-31,Vilamarín,1854,,
2021-02-01,Vilamarín,1854,,
2021-02-02,Vilamarín,1854,,
2021-02-03,Vilamarín,1854,,
2021-02-04,Vilamarín,1854,,
2021-02-05,Vilamarín,1854,,
2021-02-06,Vilamarín,1854,,
2021-02-07,Vilamarín,1854,,
