fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Vilanova de Arousa",10302,25,
2020-11-22,"Vilanova de Arousa",10302,28,
2020-11-23,"Vilanova de Arousa",10302,30,
2020-11-24,"Vilanova de Arousa",10302,30,
2020-11-25,"Vilanova de Arousa",10302,29,
2020-11-26,"Vilanova de Arousa",10302,29,
2020-11-27,"Vilanova de Arousa",10302,29,
2020-11-28,"Vilanova de Arousa",10302,26,
2020-11-29,"Vilanova de Arousa",10302,25,
2020-11-30,"Vilanova de Arousa",10302,22,
2020-12-01,"Vilanova de Arousa",10302,20,
2020-12-02,"Vilanova de Arousa",10302,17,
2020-12-03,"Vilanova de Arousa",10302,17,
2020-12-04,"Vilanova de Arousa",10302,13,
2020-12-05,"Vilanova de Arousa",10302,12,
2020-12-06,"Vilanova de Arousa",10302,,
2020-12-07,"Vilanova de Arousa",10302,,
2020-12-08,"Vilanova de Arousa",10302,,
2020-12-09,"Vilanova de Arousa",10302,,
2020-12-10,"Vilanova de Arousa",10302,10,
2020-12-11,"Vilanova de Arousa",10302,11,
2020-12-12,"Vilanova de Arousa",10302,11,
2020-12-13,"Vilanova de Arousa",10302,11,
2020-12-14,"Vilanova de Arousa",10302,,
2020-12-15,"Vilanova de Arousa",10302,,
2020-12-16,"Vilanova de Arousa",10302,,
2020-12-17,"Vilanova de Arousa",10302,,
2020-12-18,"Vilanova de Arousa",10302,,
2020-12-19,"Vilanova de Arousa",10302,,
2020-12-20,"Vilanova de Arousa",10302,,
2020-12-21,"Vilanova de Arousa",10302,,
2020-12-22,"Vilanova de Arousa",10302,,
2020-12-23,"Vilanova de Arousa",10302,,
2020-12-24,"Vilanova de Arousa",10302,,
2020-12-25,"Vilanova de Arousa",10302,,
2020-12-26,"Vilanova de Arousa",10302,,
2020-12-27,"Vilanova de Arousa",10302,,
2020-12-28,"Vilanova de Arousa",10302,,
2020-12-29,"Vilanova de Arousa",10302,,
2020-12-30,"Vilanova de Arousa",10302,,
2020-12-31,"Vilanova de Arousa",10302,,
2021-01-01,"Vilanova de Arousa",10302,,
2021-01-02,"Vilanova de Arousa",10302,,
2021-01-03,"Vilanova de Arousa",10302,,
2021-01-04,"Vilanova de Arousa",10302,,
2021-01-05,"Vilanova de Arousa",10302,,
2021-01-06,"Vilanova de Arousa",10302,,
2021-01-07,"Vilanova de Arousa",10302,,
2021-01-08,"Vilanova de Arousa",10302,12,
2021-01-09,"Vilanova de Arousa",10302,15,
2021-01-10,"Vilanova de Arousa",10302,15,
2021-01-11,"Vilanova de Arousa",10302,17,
2021-01-12,"Vilanova de Arousa",10302,20,
2021-01-13,"Vilanova de Arousa",10302,21,
2021-01-14,"Vilanova de Arousa",10302,22,
2021-01-15,"Vilanova de Arousa",10302,25,
2021-01-16,"Vilanova de Arousa",10302,31,
2021-01-17,"Vilanova de Arousa",10302,29,
2021-01-18,"Vilanova de Arousa",10302,27,
2021-01-19,"Vilanova de Arousa",10302,31,
2021-01-20,"Vilanova de Arousa",10302,33,
2021-01-21,"Vilanova de Arousa",10302,34,
2021-01-22,"Vilanova de Arousa",10302,34,
2021-01-23,"Vilanova de Arousa",10302,38,
2021-01-24,"Vilanova de Arousa",10302,41,
2021-01-25,"Vilanova de Arousa",10302,41,
2021-01-26,"Vilanova de Arousa",10302,45,
2021-01-27,"Vilanova de Arousa",10302,48,
2021-01-28,"Vilanova de Arousa",10302,53,
2021-01-29,"Vilanova de Arousa",10302,54,
2021-01-30,"Vilanova de Arousa",10302,49,
2021-01-31,"Vilanova de Arousa",10302,53,
2021-02-01,"Vilanova de Arousa",10302,53,
2021-02-02,"Vilanova de Arousa",10302,51,
2021-02-03,"Vilanova de Arousa",10302,52,
2021-02-04,"Vilanova de Arousa",10302,51,
2021-02-05,"Vilanova de Arousa",10302,48,
2021-02-06,"Vilanova de Arousa",10302,45,
