fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Vilar de Barrio",1307,0,
2020-11-22,"Vilar de Barrio",1307,0,
2020-11-23,"Vilar de Barrio",1307,0,
2020-11-24,"Vilar de Barrio",1307,0,
2020-11-25,"Vilar de Barrio",1307,0,
2020-11-26,"Vilar de Barrio",1307,0,
2020-11-27,"Vilar de Barrio",1307,0,
2020-11-28,"Vilar de Barrio",1307,0,
2020-11-29,"Vilar de Barrio",1307,0,
2020-11-30,"Vilar de Barrio",1307,0,
2020-12-01,"Vilar de Barrio",1307,0,
2020-12-02,"Vilar de Barrio",1307,0,
2020-12-03,"Vilar de Barrio",1307,0,
2020-12-04,"Vilar de Barrio",1307,0,
2020-12-05,"Vilar de Barrio",1307,0,
2020-12-06,"Vilar de Barrio",1307,0,
2020-12-07,"Vilar de Barrio",1307,0,
2020-12-08,"Vilar de Barrio",1307,0,
2020-12-09,"Vilar de Barrio",1307,0,
2020-12-10,"Vilar de Barrio",1307,0,
2020-12-11,"Vilar de Barrio",1307,0,
2020-12-12,"Vilar de Barrio",1307,0,
2020-12-13,"Vilar de Barrio",1307,0,
2020-12-14,"Vilar de Barrio",1307,0,
2020-12-15,"Vilar de Barrio",1307,0,
2020-12-16,"Vilar de Barrio",1307,0,
2020-12-17,"Vilar de Barrio",1307,,
2020-12-18,"Vilar de Barrio",1307,,
2020-12-19,"Vilar de Barrio",1307,,
2020-12-20,"Vilar de Barrio",1307,,
2020-12-21,"Vilar de Barrio",1307,,
2020-12-22,"Vilar de Barrio",1307,,
2020-12-23,"Vilar de Barrio",1307,,
2020-12-24,"Vilar de Barrio",1307,,
2020-12-25,"Vilar de Barrio",1307,,
2020-12-26,"Vilar de Barrio",1307,,
2020-12-27,"Vilar de Barrio",1307,,
2020-12-28,"Vilar de Barrio",1307,,
2020-12-29,"Vilar de Barrio",1307,,
2020-12-30,"Vilar de Barrio",1307,,
2020-12-31,"Vilar de Barrio",1307,,
2021-01-01,"Vilar de Barrio",1307,,
2021-01-02,"Vilar de Barrio",1307,,
2021-01-03,"Vilar de Barrio",1307,,
2021-01-04,"Vilar de Barrio",1307,0,
2021-01-05,"Vilar de Barrio",1307,0,
2021-01-06,"Vilar de Barrio",1307,0,
2021-01-07,"Vilar de Barrio",1307,0,
2021-01-08,"Vilar de Barrio",1307,0,
2021-01-09,"Vilar de Barrio",1307,0,
2021-01-10,"Vilar de Barrio",1307,0,
2021-01-11,"Vilar de Barrio",1307,0,
2021-01-12,"Vilar de Barrio",1307,0,
2021-01-13,"Vilar de Barrio",1307,0,
2021-01-14,"Vilar de Barrio",1307,0,
2021-01-15,"Vilar de Barrio",1307,,
2021-01-16,"Vilar de Barrio",1307,,
2021-01-17,"Vilar de Barrio",1307,,
2021-01-18,"Vilar de Barrio",1307,,
2021-01-19,"Vilar de Barrio",1307,,
2021-01-20,"Vilar de Barrio",1307,,
2021-01-21,"Vilar de Barrio",1307,,
2021-01-22,"Vilar de Barrio",1307,,
2021-01-23,"Vilar de Barrio",1307,,
2021-01-24,"Vilar de Barrio",1307,,
2021-01-25,"Vilar de Barrio",1307,,
2021-01-26,"Vilar de Barrio",1307,,
2021-01-27,"Vilar de Barrio",1307,,
2021-01-28,"Vilar de Barrio",1307,,
2021-01-29,"Vilar de Barrio",1307,,
2021-01-30,"Vilar de Barrio",1307,,
2021-01-31,"Vilar de Barrio",1307,,
2021-02-01,"Vilar de Barrio",1307,,
2021-02-02,"Vilar de Barrio",1307,,
2021-02-03,"Vilar de Barrio",1307,,
2021-02-04,"Vilar de Barrio",1307,,
2021-02-05,"Vilar de Barrio",1307,,
2021-02-06,"Vilar de Barrio",1307,,
2021-02-07,"Vilar de Barrio",1307,,
2021-02-08,"Vilar de Barrio",1307,,
2021-02-09,"Vilar de Barrio",1307,,
2021-02-10,"Vilar de Barrio",1307,,
2021-02-11,"Vilar de Barrio",1307,,
2021-02-12,"Vilar de Barrio",1307,,
2021-02-13,"Vilar de Barrio",1307,,
2021-02-14,"Vilar de Barrio",1307,,
2021-02-15,"Vilar de Barrio",1307,,
2021-02-16,"Vilar de Barrio",1307,,
2021-02-17,"Vilar de Barrio",1307,,
2021-02-18,"Vilar de Barrio",1307,,
2021-02-19,"Vilar de Barrio",1307,,
2021-02-20,"Vilar de Barrio",1307,,
2021-02-21,"Vilar de Barrio",1307,,
2021-02-22,"Vilar de Barrio",1307,,
2021-02-23,"Vilar de Barrio",1307,,
2021-02-24,"Vilar de Barrio",1307,0,
2021-02-25,"Vilar de Barrio",1307,0,
2021-02-26,"Vilar de Barrio",1307,0,
2021-02-27,"Vilar de Barrio",1307,0,
2021-02-28,"Vilar de Barrio",1307,0,
2021-03-01,"Vilar de Barrio",1307,0,
2021-03-02,"Vilar de Barrio",1307,0,0
