fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Vilardevós,1846,0,
2020-11-22,Vilardevós,1846,0,
2020-11-23,Vilardevós,1846,0,
2020-11-24,Vilardevós,1846,0,
2020-11-25,Vilardevós,1846,0,
2020-11-26,Vilardevós,1846,0,
2020-11-27,Vilardevós,1846,0,
2020-11-28,Vilardevós,1846,0,
2020-11-29,Vilardevós,1846,,
2020-11-30,Vilardevós,1846,,
2020-12-01,Vilardevós,1846,,
2020-12-02,Vilardevós,1846,,
2020-12-03,Vilardevós,1846,,
2020-12-04,Vilardevós,1846,,
2020-12-05,Vilardevós,1846,,
2020-12-06,Vilardevós,1846,,
2020-12-07,Vilardevós,1846,,
2020-12-08,Vilardevós,1846,,
2020-12-09,Vilardevós,1846,,
2020-12-10,Vilardevós,1846,,
2020-12-11,Vilardevós,1846,,
2020-12-12,Vilardevós,1846,,
2020-12-13,Vilardevós,1846,0,
2020-12-14,Vilardevós,1846,0,
2020-12-15,Vilardevós,1846,0,
2020-12-16,Vilardevós,1846,0,
2020-12-17,Vilardevós,1846,0,
2020-12-18,Vilardevós,1846,0,
2020-12-19,Vilardevós,1846,0,
2020-12-20,Vilardevós,1846,0,
2020-12-21,Vilardevós,1846,0,
2020-12-22,Vilardevós,1846,0,
2020-12-23,Vilardevós,1846,0,
2020-12-24,Vilardevós,1846,0,
2020-12-25,Vilardevós,1846,0,
2020-12-26,Vilardevós,1846,0,
2020-12-27,Vilardevós,1846,0,
2020-12-28,Vilardevós,1846,0,
2020-12-29,Vilardevós,1846,0,
2020-12-30,Vilardevós,1846,0,
2020-12-31,Vilardevós,1846,0,
2021-01-01,Vilardevós,1846,0,
2021-01-02,Vilardevós,1846,0,
2021-01-03,Vilardevós,1846,0,
2021-01-04,Vilardevós,1846,0,
2021-01-05,Vilardevós,1846,,
2021-01-06,Vilardevós,1846,,
2021-01-07,Vilardevós,1846,,
2021-01-08,Vilardevós,1846,,
2021-01-09,Vilardevós,1846,,
2021-01-10,Vilardevós,1846,,
2021-01-11,Vilardevós,1846,,
2021-01-12,Vilardevós,1846,,
2021-01-13,Vilardevós,1846,,
2021-01-14,Vilardevós,1846,,
2021-01-15,Vilardevós,1846,,
2021-01-16,Vilardevós,1846,,
2021-01-17,Vilardevós,1846,,
2021-01-18,Vilardevós,1846,10,
2021-01-19,Vilardevós,1846,12,
2021-01-20,Vilardevós,1846,16,
2021-01-21,Vilardevós,1846,17,
2021-01-22,Vilardevós,1846,18,
2021-01-23,Vilardevós,1846,20,
2021-01-24,Vilardevós,1846,20,
2021-01-25,Vilardevós,1846,23,
2021-01-26,Vilardevós,1846,23,
2021-01-27,Vilardevós,1846,24,
