fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Vilasantar,1213,,
2020-11-22,Vilasantar,1213,,
2020-11-23,Vilasantar,1213,,
2020-11-24,Vilasantar,1213,,
2020-11-25,Vilasantar,1213,,
2020-11-26,Vilasantar,1213,,
2020-11-27,Vilasantar,1213,,
2020-11-28,Vilasantar,1213,,
2020-11-29,Vilasantar,1213,,
2020-11-30,Vilasantar,1213,,
2020-12-01,Vilasantar,1213,,
2020-12-02,Vilasantar,1213,,
2020-12-03,Vilasantar,1213,,
2020-12-04,Vilasantar,1213,,
2020-12-05,Vilasantar,1213,,
2020-12-06,Vilasantar,1213,,
2020-12-07,Vilasantar,1213,,
2020-12-08,Vilasantar,1213,,
2020-12-09,Vilasantar,1213,,
2020-12-10,Vilasantar,1213,,
2020-12-11,Vilasantar,1213,,
2020-12-12,Vilasantar,1213,,
2020-12-13,Vilasantar,1213,,
2020-12-14,Vilasantar,1213,,
2020-12-15,Vilasantar,1213,,
2020-12-16,Vilasantar,1213,0,
2020-12-17,Vilasantar,1213,0,
2020-12-18,Vilasantar,1213,0,
2020-12-19,Vilasantar,1213,0,
2020-12-20,Vilasantar,1213,0,
2020-12-21,Vilasantar,1213,0,
2020-12-22,Vilasantar,1213,0,
2020-12-23,Vilasantar,1213,0,
2020-12-24,Vilasantar,1213,0,
2020-12-25,Vilasantar,1213,0,
2020-12-26,Vilasantar,1213,0,
2020-12-27,Vilasantar,1213,0,
2020-12-28,Vilasantar,1213,,
2020-12-29,Vilasantar,1213,,
2020-12-30,Vilasantar,1213,,
2020-12-31,Vilasantar,1213,,
2021-01-01,Vilasantar,1213,,
2021-01-02,Vilasantar,1213,,
2021-01-03,Vilasantar,1213,,
2021-01-04,Vilasantar,1213,,
2021-01-05,Vilasantar,1213,,
2021-01-06,Vilasantar,1213,,
2021-01-07,Vilasantar,1213,,
2021-01-08,Vilasantar,1213,,
2021-01-09,Vilasantar,1213,,
2021-01-10,Vilasantar,1213,,
2021-01-11,Vilasantar,1213,,
2021-01-12,Vilasantar,1213,,
2021-01-13,Vilasantar,1213,,
2021-01-14,Vilasantar,1213,,
2021-01-15,Vilasantar,1213,,
2021-01-16,Vilasantar,1213,13,
2021-01-17,Vilasantar,1213,15,
2021-01-18,Vilasantar,1213,16,
2021-01-19,Vilasantar,1213,20,
2021-01-20,Vilasantar,1213,19,
2021-01-21,Vilasantar,1213,19,
2021-01-22,Vilasantar,1213,19,
2021-01-23,Vilasantar,1213,19,
2021-01-24,Vilasantar,1213,21,
2021-01-25,Vilasantar,1213,21,
2021-01-26,Vilasantar,1213,21,
2021-01-27,Vilasantar,1213,19,
2021-01-28,Vilasantar,1213,19,
2021-01-29,Vilasantar,1213,17,
2021-01-30,Vilasantar,1213,11,
2021-01-31,Vilasantar,1213,10,
2021-02-01,Vilasantar,1213,10,
2021-02-02,Vilasantar,1213,,
2021-02-03,Vilasantar,1213,,
2021-02-04,Vilasantar,1213,,
2021-02-05,Vilasantar,1213,,
2021-02-06,Vilasantar,1213,,
2021-02-07,Vilasantar,1213,,
2021-02-08,Vilasantar,1213,,
2021-02-09,Vilasantar,1213,,
2021-02-10,Vilasantar,1213,,
2021-02-11,Vilasantar,1213,,
2021-02-12,Vilasantar,1213,,
2021-02-13,Vilasantar,1213,,
2021-02-14,Vilasantar,1213,,
2021-02-15,Vilasantar,1213,,
2021-02-16,Vilasantar,1213,,
2021-02-17,Vilasantar,1213,,
2021-02-18,Vilasantar,1213,,
2021-02-19,Vilasantar,1213,,
2021-02-20,Vilasantar,1213,,
2021-02-21,Vilasantar,1213,,
2021-02-22,Vilasantar,1213,,
2021-02-23,Vilasantar,1213,,
2021-02-24,Vilasantar,1213,,
2021-02-25,Vilasantar,1213,,
2021-02-26,Vilasantar,1213,,
2021-02-27,Vilasantar,1213,,
2021-02-28,Vilasantar,1213,,
2021-03-01,Vilasantar,1213,,
2021-03-02,Vilasantar,1213,,
2021-03-03,Vilasantar,1213,,
2021-03-04,Vilasantar,1213,,
2021-03-05,Vilasantar,1213,,
2021-03-06,Vilasantar,1213,,0
2021-03-07,Vilasantar,1213,,0
2021-03-08,Vilasantar,1213,,0
2021-03-09,Vilasantar,1213,,0
2021-03-10,Vilasantar,1213,,0
2021-03-11,Vilasantar,1213,,
2021-03-12,Vilasantar,1213,,
2021-03-13,Vilasantar,1213,,
2021-03-14,Vilasantar,1213,,
2021-03-15,Vilasantar,1213,,
2021-03-16,Vilasantar,1213,,
2021-03-17,Vilasantar,1213,,
2021-03-18,Vilasantar,1213,,0
2021-03-19,Vilasantar,1213,,0
2021-03-20,Vilasantar,1213,,0
2021-03-21,Vilasantar,1213,,0
2021-03-22,Vilasantar,1213,,0
2021-03-23,Vilasantar,1213,,0
2021-03-24,Vilasantar,1213,,0
2021-03-25,Vilasantar,1213,0,0
2021-03-26,Vilasantar,1213,0,0
2021-03-27,Vilasantar,1213,0,0
2021-03-28,Vilasantar,1213,0,0
2021-03-29,Vilasantar,1213,0,0
2021-03-30,Vilasantar,1213,0,0
2021-03-31,Vilasantar,1213,0,0
2021-04-01,Vilasantar,1213,0,0
2021-04-02,Vilasantar,1213,0,0
2021-04-03,Vilasantar,1213,0,0
2021-04-04,Vilasantar,1213,0,0
2021-04-05,Vilasantar,1213,,
2021-04-06,Vilasantar,1213,,
2021-04-07,Vilasantar,1213,,
2021-04-08,Vilasantar,1213,,
2021-04-09,Vilasantar,1213,,
2021-04-10,Vilasantar,1213,,
2021-04-11,Vilasantar,1213,,
2021-04-12,Vilasantar,1213,,0
2021-04-13,Vilasantar,1213,,0
2021-04-14,Vilasantar,1213,,0
2021-04-15,Vilasantar,1213,,0
2021-04-16,Vilasantar,1213,,0
2021-04-17,Vilasantar,1213,,0
2021-04-18,Vilasantar,1213,,0
2021-04-19,Vilasantar,1213,0,0
2021-04-20,Vilasantar,1213,0,0
2021-04-21,Vilasantar,1213,0,0
2021-04-22,Vilasantar,1213,0,0
2021-04-23,Vilasantar,1213,0,0
2021-04-24,Vilasantar,1213,0,0
2021-04-25,Vilasantar,1213,0,0
2021-04-26,Vilasantar,1213,0,0
2021-04-27,Vilasantar,1213,0,0
2021-04-28,Vilasantar,1213,0,0
2021-04-29,Vilasantar,1213,0,0
2021-04-30,Vilasantar,1213,0,0
2021-05-01,Vilasantar,1213,0,0
2021-05-02,Vilasantar,1213,0,0
2021-05-03,Vilasantar,1213,0,0
2021-05-04,Vilasantar,1213,0,0
2021-05-05,Vilasantar,1213,0,0
2021-05-06,Vilasantar,1213,0,0
2021-05-07,Vilasantar,1213,0,0
2021-05-08,Vilasantar,1213,0,0
2021-05-09,Vilasantar,1213,0,0
2021-05-10,Vilasantar,1213,0,0
2021-05-11,Vilasantar,1213,0,0
2021-05-12,Vilasantar,1213,0,0
2021-05-13,Vilasantar,1213,0,0
2021-05-14,Vilasantar,1213,0,0
2021-05-15,Vilasantar,1213,0,0
2021-05-16,Vilasantar,1213,0,0
2021-05-17,Vilasantar,1213,0,0
2021-05-18,Vilasantar,1213,0,0
2021-05-19,Vilasantar,1213,0,0
2021-05-20,Vilasantar,1213,0,0
2021-05-21,Vilasantar,1213,0,0
2021-05-22,Vilasantar,1213,0,0
2021-05-23,Vilasantar,1213,0,0
2021-05-24,Vilasantar,1213,0,0
2021-05-25,Vilasantar,1213,0,0
2021-05-26,Vilasantar,1213,0,0
2021-05-27,Vilasantar,1213,0,0
2021-05-28,Vilasantar,1213,0,0
2021-05-29,Vilasantar,1213,0,0
2021-05-30,Vilasantar,1213,0,0
2021-05-31,Vilasantar,1213,0,0
2021-06-01,Vilasantar,1213,0,0
