fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Vimianzo,7057,42,
2020-11-22,Vimianzo,7057,41,
2020-11-23,Vimianzo,7057,33,
2020-11-24,Vimianzo,7057,31,
2020-11-25,Vimianzo,7057,28,
2020-11-26,Vimianzo,7057,26,
2020-11-27,Vimianzo,7057,23,
2020-11-28,Vimianzo,7057,26,
2020-11-29,Vimianzo,7057,23,
2020-11-30,Vimianzo,7057,26,
2020-12-01,Vimianzo,7057,26,
2020-12-02,Vimianzo,7057,24,
2020-12-03,Vimianzo,7057,25,
2020-12-04,Vimianzo,7057,23,
2020-12-05,Vimianzo,7057,23,
2020-12-06,Vimianzo,7057,21,
2020-12-07,Vimianzo,7057,23,
2020-12-08,Vimianzo,7057,23,
2020-12-09,Vimianzo,7057,21,
2020-12-10,Vimianzo,7057,22,
2020-12-11,Vimianzo,7057,24,
2020-12-12,Vimianzo,7057,23,
2020-12-13,Vimianzo,7057,21,
2020-12-14,Vimianzo,7057,15,
2020-12-15,Vimianzo,7057,15,
2020-12-16,Vimianzo,7057,14,
2020-12-17,Vimianzo,7057,18,
2020-12-18,Vimianzo,7057,19,
2020-12-19,Vimianzo,7057,20,
2020-12-20,Vimianzo,7057,25,
2020-12-21,Vimianzo,7057,30,
2020-12-22,Vimianzo,7057,31,
2020-12-23,Vimianzo,7057,49,
2020-12-24,Vimianzo,7057,51,
2020-12-25,Vimianzo,7057,55,
2020-12-26,Vimianzo,7057,64,
2020-12-27,Vimianzo,7057,71,
2020-12-28,Vimianzo,7057,72,
2020-12-29,Vimianzo,7057,77,
2020-12-30,Vimianzo,7057,89,
2020-12-31,Vimianzo,7057,89,
2021-01-01,Vimianzo,7057,92,
2021-01-02,Vimianzo,7057,95,
2021-01-03,Vimianzo,7057,90,
2021-01-04,Vimianzo,7057,96,
2021-01-05,Vimianzo,7057,98,
2021-01-06,Vimianzo,7057,98,
2021-01-07,Vimianzo,7057,112,
2021-01-08,Vimianzo,7057,113,
2021-01-09,Vimianzo,7057,103,
2021-01-10,Vimianzo,7057,99,
2021-01-11,Vimianzo,7057,110,
2021-01-12,Vimianzo,7057,109,
2021-01-13,Vimianzo,7057,100,
2021-01-14,Vimianzo,7057,107,
2021-01-15,Vimianzo,7057,108,
2021-01-16,Vimianzo,7057,114,
2021-01-17,Vimianzo,7057,115,
2021-01-18,Vimianzo,7057,104,
2021-01-19,Vimianzo,7057,102,
2021-01-20,Vimianzo,7057,89,
2021-01-21,Vimianzo,7057,82,
2021-01-22,Vimianzo,7057,86,
2021-01-23,Vimianzo,7057,86,
2021-01-24,Vimianzo,7057,89,
2021-01-25,Vimianzo,7057,78,
2021-01-26,Vimianzo,7057,74,
2021-01-27,Vimianzo,7057,75,
2021-01-28,Vimianzo,7057,69,
2021-01-29,Vimianzo,7057,70,
2021-01-30,Vimianzo,7057,61,
2021-01-31,Vimianzo,7057,61,
2021-02-01,Vimianzo,7057,60,
2021-02-02,Vimianzo,7057,60,
2021-02-03,Vimianzo,7057,58,
2021-02-04,Vimianzo,7057,50,
2021-02-05,Vimianzo,7057,41,
2021-02-06,Vimianzo,7057,41,
2021-02-07,Vimianzo,7057,39,
2021-02-08,Vimianzo,7057,36,
2021-02-09,Vimianzo,7057,37,
2021-02-10,Vimianzo,7057,32,
2021-02-11,Vimianzo,7057,29,
2021-02-12,Vimianzo,7057,27,
2021-02-13,Vimianzo,7057,26,
2021-02-14,Vimianzo,7057,25,
2021-02-15,Vimianzo,7057,24,
2021-02-16,Vimianzo,7057,23,
2021-02-17,Vimianzo,7057,23,
2021-02-18,Vimianzo,7057,22,
2021-02-19,Vimianzo,7057,21,
2021-02-20,Vimianzo,7057,19,
2021-02-21,Vimianzo,7057,16,
2021-02-22,Vimianzo,7057,16,
2021-02-23,Vimianzo,7057,15,
2021-02-24,Vimianzo,7057,16,
2021-02-25,Vimianzo,7057,13,
2021-02-26,Vimianzo,7057,,
2021-02-27,Vimianzo,7057,,
2021-02-28,Vimianzo,7057,,
2021-03-01,Vimianzo,7057,,
2021-03-02,Vimianzo,7057,,
2021-03-03,Vimianzo,7057,,
2021-03-04,Vimianzo,7057,,
2021-03-05,Vimianzo,7057,,
2021-03-06,Vimianzo,7057,,
2021-03-07,Vimianzo,7057,,0
2021-03-08,Vimianzo,7057,,0
2021-03-09,Vimianzo,7057,,0
2021-03-10,Vimianzo,7057,,0
2021-03-11,Vimianzo,7057,,0
2021-03-12,Vimianzo,7057,,0
2021-03-13,Vimianzo,7057,,0
2021-03-14,Vimianzo,7057,0,0
2021-03-15,Vimianzo,7057,0,0
2021-03-16,Vimianzo,7057,0,0
2021-03-17,Vimianzo,7057,0,0
2021-03-18,Vimianzo,7057,,
2021-03-19,Vimianzo,7057,,
2021-03-20,Vimianzo,7057,,
2021-03-21,Vimianzo,7057,,
2021-03-22,Vimianzo,7057,,
2021-03-23,Vimianzo,7057,,
2021-03-24,Vimianzo,7057,,
2021-03-25,Vimianzo,7057,,
2021-03-26,Vimianzo,7057,,
2021-03-27,Vimianzo,7057,,
2021-03-28,Vimianzo,7057,,
2021-03-29,Vimianzo,7057,,
2021-03-30,Vimianzo,7057,,
2021-03-31,Vimianzo,7057,,
2021-04-01,Vimianzo,7057,,
2021-04-02,Vimianzo,7057,,
2021-04-03,Vimianzo,7057,,
2021-04-04,Vimianzo,7057,,
2021-04-05,Vimianzo,7057,,0
2021-04-06,Vimianzo,7057,,0
2021-04-07,Vimianzo,7057,,
2021-04-08,Vimianzo,7057,,
2021-04-09,Vimianzo,7057,,
2021-04-10,Vimianzo,7057,,
2021-04-11,Vimianzo,7057,,
2021-04-12,Vimianzo,7057,,
2021-04-13,Vimianzo,7057,,
2021-04-14,Vimianzo,7057,,
2021-04-15,Vimianzo,7057,,
2021-04-16,Vimianzo,7057,,
2021-04-17,Vimianzo,7057,,
2021-04-18,Vimianzo,7057,10,
2021-04-19,Vimianzo,7057,10,
2021-04-20,Vimianzo,7057,10,
2021-04-21,Vimianzo,7057,,
2021-04-22,Vimianzo,7057,,
2021-04-23,Vimianzo,7057,12,
2021-04-24,Vimianzo,7057,11,
2021-04-25,Vimianzo,7057,12,
2021-04-26,Vimianzo,7057,12,
2021-04-27,Vimianzo,7057,12,
2021-04-28,Vimianzo,7057,10,
2021-04-29,Vimianzo,7057,,
2021-04-30,Vimianzo,7057,,
2021-05-01,Vimianzo,7057,,
2021-05-02,Vimianzo,7057,,
2021-05-03,Vimianzo,7057,,
2021-05-04,Vimianzo,7057,,
2021-05-05,Vimianzo,7057,,0
2021-05-06,Vimianzo,7057,,0
2021-05-07,Vimianzo,7057,,0
2021-05-08,Vimianzo,7057,,0
2021-05-09,Vimianzo,7057,,0
2021-05-10,Vimianzo,7057,,0
2021-05-11,Vimianzo,7057,,0
2021-05-12,Vimianzo,7057,0,0
2021-05-13,Vimianzo,7057,0,0
2021-05-14,Vimianzo,7057,0,0
2021-05-15,Vimianzo,7057,0,0
2021-05-16,Vimianzo,7057,0,0
2021-05-17,Vimianzo,7057,0,0
2021-05-18,Vimianzo,7057,0,0
2021-05-19,Vimianzo,7057,0,0
2021-05-20,Vimianzo,7057,0,0
2021-05-21,Vimianzo,7057,,
2021-05-22,Vimianzo,7057,,
2021-05-23,Vimianzo,7057,,
2021-05-24,Vimianzo,7057,,
