fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Viveiro,15466,26,
2020-11-22,Viveiro,15466,22,
2020-11-23,Viveiro,15466,17,
2020-11-24,Viveiro,15466,18,
2020-11-25,Viveiro,15466,16,
2020-11-26,Viveiro,15466,15,
2020-11-27,Viveiro,15466,14,
2020-11-28,Viveiro,15466,11,
2020-11-29,Viveiro,15466,10,
2020-11-30,Viveiro,15466,,
2020-12-01,Viveiro,15466,,
2020-12-02,Viveiro,15466,,
2020-12-03,Viveiro,15466,,
2020-12-04,Viveiro,15466,,
2020-12-05,Viveiro,15466,,
2020-12-06,Viveiro,15466,,
2020-12-07,Viveiro,15466,,
2020-12-08,Viveiro,15466,,
2020-12-09,Viveiro,15466,,
2020-12-10,Viveiro,15466,,
2020-12-11,Viveiro,15466,,
2020-12-12,Viveiro,15466,,
2020-12-13,Viveiro,15466,,
2020-12-14,Viveiro,15466,,
2020-12-15,Viveiro,15466,11,
2020-12-16,Viveiro,15466,20,
2020-12-17,Viveiro,15466,24,
2020-12-18,Viveiro,15466,25,
2020-12-19,Viveiro,15466,37,
2020-12-20,Viveiro,15466,41,
2020-12-21,Viveiro,15466,44,
2020-12-22,Viveiro,15466,40,
2020-12-23,Viveiro,15466,44,
2020-12-24,Viveiro,15466,51,
2020-12-25,Viveiro,15466,53,
2020-12-26,Viveiro,15466,57,
2020-12-27,Viveiro,15466,58,
2020-12-28,Viveiro,15466,58,
2020-12-29,Viveiro,15466,60,
2020-12-30,Viveiro,15466,58,
2020-12-31,Viveiro,15466,56,
2021-01-01,Viveiro,15466,60,
2021-01-02,Viveiro,15466,53,
2021-01-03,Viveiro,15466,55,
2021-01-04,Viveiro,15466,64,
2021-01-05,Viveiro,15466,78,
2021-01-06,Viveiro,15466,87,
2021-01-07,Viveiro,15466,89,
2021-01-08,Viveiro,15466,99,
2021-01-09,Viveiro,15466,111,
2021-01-10,Viveiro,15466,148,
2021-01-11,Viveiro,15466,164,
2021-01-12,Viveiro,15466,179,
2021-01-13,Viveiro,15466,193,
2021-01-14,Viveiro,15466,226,
2021-01-15,Viveiro,15466,238,
2021-01-16,Viveiro,15466,249,
2021-01-17,Viveiro,15466,265,
2021-01-18,Viveiro,15466,271,
2021-01-19,Viveiro,15466,267,
2021-01-20,Viveiro,15466,266,
2021-01-21,Viveiro,15466,267,
2021-01-22,Viveiro,15466,263,
2021-01-23,Viveiro,15466,257,
2021-01-24,Viveiro,15466,237,
2021-01-25,Viveiro,15466,228,
2021-01-26,Viveiro,15466,213,
2021-01-27,Viveiro,15466,214,
2021-01-28,Viveiro,15466,180,
2021-01-29,Viveiro,15466,166,
2021-01-30,Viveiro,15466,157,
2021-01-31,Viveiro,15466,146,
2021-02-01,Viveiro,15466,134,
2021-02-02,Viveiro,15466,123,
2021-02-03,Viveiro,15466,113,
2021-02-04,Viveiro,15466,109,
2021-02-05,Viveiro,15466,103,
2021-02-06,Viveiro,15466,94,
2021-02-07,Viveiro,15466,80,
2021-02-08,Viveiro,15466,75,
2021-02-09,Viveiro,15466,73,
2021-02-10,Viveiro,15466,52,
2021-02-11,Viveiro,15466,52,
2021-02-12,Viveiro,15466,50,
2021-02-13,Viveiro,15466,46,
2021-02-14,Viveiro,15466,36,
2021-02-15,Viveiro,15466,30,
2021-02-16,Viveiro,15466,28,
2021-02-17,Viveiro,15466,27,
2021-02-18,Viveiro,15466,22,
2021-02-19,Viveiro,15466,22,
2021-02-20,Viveiro,15466,22,
2021-02-21,Viveiro,15466,18,
2021-02-22,Viveiro,15466,13,
2021-02-23,Viveiro,15466,12,
2021-02-24,Viveiro,15466,12,
2021-02-25,Viveiro,15466,11,
2021-02-26,Viveiro,15466,10,
2021-02-27,Viveiro,15466,,
2021-02-28,Viveiro,15466,,
2021-03-01,Viveiro,15466,,
2021-03-02,Viveiro,15466,,
2021-03-03,Viveiro,15466,,
2021-03-04,Viveiro,15466,10,
2021-03-05,Viveiro,15466,,
2021-03-06,Viveiro,15466,,
2021-03-07,Viveiro,15466,,
2021-03-08,Viveiro,15466,,
2021-03-09,Viveiro,15466,,
2021-03-10,Viveiro,15466,,
2021-03-11,Viveiro,15466,,
2021-03-12,Viveiro,15466,,
2021-03-13,Viveiro,15466,,
2021-03-14,Viveiro,15466,,
2021-03-15,Viveiro,15466,,
2021-03-16,Viveiro,15466,,
2021-03-17,Viveiro,15466,,
2021-03-18,Viveiro,15466,,
2021-03-19,Viveiro,15466,,
2021-03-20,Viveiro,15466,,
2021-03-21,Viveiro,15466,,
2021-03-22,Viveiro,15466,,
2021-03-23,Viveiro,15466,,
2021-03-24,Viveiro,15466,,
2021-03-25,Viveiro,15466,,
2021-03-26,Viveiro,15466,,0
2021-03-27,Viveiro,15466,,
2021-03-28,Viveiro,15466,,
2021-03-29,Viveiro,15466,,
2021-03-30,Viveiro,15466,,
2021-03-31,Viveiro,15466,,
2021-04-01,Viveiro,15466,,
2021-04-02,Viveiro,15466,,
2021-04-03,Viveiro,15466,,
2021-04-04,Viveiro,15466,,
2021-04-05,Viveiro,15466,,
2021-04-06,Viveiro,15466,,
2021-04-07,Viveiro,15466,,
2021-04-08,Viveiro,15466,,
2021-04-09,Viveiro,15466,,
2021-04-10,Viveiro,15466,,
2021-04-11,Viveiro,15466,,
2021-04-12,Viveiro,15466,,
2021-04-13,Viveiro,15466,,
2021-04-14,Viveiro,15466,,
2021-04-15,Viveiro,15466,,
2021-04-16,Viveiro,15466,,
2021-04-17,Viveiro,15466,,
2021-04-18,Viveiro,15466,,
2021-04-19,Viveiro,15466,,
2021-04-20,Viveiro,15466,,
2021-04-21,Viveiro,15466,,
2021-04-22,Viveiro,15466,,
2021-04-23,Viveiro,15466,,
2021-04-24,Viveiro,15466,,
2021-04-25,Viveiro,15466,,
2021-04-26,Viveiro,15466,,
2021-04-27,Viveiro,15466,,
2021-04-28,Viveiro,15466,,
2021-04-29,Viveiro,15466,,
2021-04-30,Viveiro,15466,,
2021-05-01,Viveiro,15466,,
2021-05-02,Viveiro,15466,,
2021-05-03,Viveiro,15466,,
2021-05-04,Viveiro,15466,,
2021-05-05,Viveiro,15466,,
2021-05-06,Viveiro,15466,,
2021-05-07,Viveiro,15466,,
2021-05-08,Viveiro,15466,,
2021-05-09,Viveiro,15466,,
2021-05-10,Viveiro,15466,,
2021-05-11,Viveiro,15466,,
2021-05-12,Viveiro,15466,,0
2021-05-13,Viveiro,15466,,0
2021-05-14,Viveiro,15466,,0
2021-05-15,Viveiro,15466,,0
2021-05-16,Viveiro,15466,,0
2021-05-17,Viveiro,15466,,0
2021-05-18,Viveiro,15466,,0
2021-05-19,Viveiro,15466,,
2021-05-20,Viveiro,15466,,
2021-05-21,Viveiro,15466,15,15
2021-05-22,Viveiro,15466,18,18
2021-05-23,Viveiro,15466,19,19
2021-05-24,Viveiro,15466,32,32
2021-05-25,Viveiro,15466,34,34
2021-05-26,Viveiro,15466,35,32
2021-05-27,Viveiro,15466,36,32
2021-05-28,Viveiro,15466,41,26
2021-05-29,Viveiro,15466,44,26
2021-05-30,Viveiro,15466,46,27
2021-05-31,Viveiro,15466,48,16
2021-06-01,Viveiro,15466,56,22
2021-06-02,Viveiro,15466,54,22
2021-06-03,Viveiro,15466,54,22
2021-06-04,Viveiro,15466,43,17
2021-06-05,Viveiro,15466,41,15
2021-06-06,Viveiro,15466,41,14
2021-06-07,Viveiro,15466,28,12
2021-06-08,Viveiro,15466,28,
2021-06-09,Viveiro,15466,27,
2021-06-10,Viveiro,15466,26,
2021-06-11,Viveiro,15466,21,
2021-06-12,Viveiro,15466,18,
2021-06-13,Viveiro,15466,16,
2021-06-14,Viveiro,15466,14,
2021-06-15,Viveiro,15466,,0
2021-06-16,Viveiro,15466,,0
2021-06-17,Viveiro,15466,,0
2021-06-18,Viveiro,15466,,0
2021-06-19,Viveiro,15466,,0
2021-06-20,Viveiro,15466,,0
2021-06-21,Viveiro,15466,,0
2021-06-22,Viveiro,15466,0,0
2021-06-23,Viveiro,15466,0,0
2021-06-24,Viveiro,15466,0,0
2021-06-25,Viveiro,15466,0,0
2021-06-26,Viveiro,15466,0,0
2021-06-27,Viveiro,15466,0,0
2021-06-28,Viveiro,15466,,
2021-06-29,Viveiro,15466,,
2021-06-30,Viveiro,15466,,
2021-07-01,Viveiro,15466,,
2021-07-02,Viveiro,15466,,
2021-07-03,Viveiro,15466,,
2021-07-04,Viveiro,15466,,
2021-07-05,Viveiro,15466,,
2021-07-06,Viveiro,15466,,
2021-07-07,Viveiro,15466,,
2021-07-08,Viveiro,15466,,
2021-07-09,Viveiro,15466,11,
2021-07-10,Viveiro,15466,11,
2021-07-11,Viveiro,15466,12,
2021-07-12,Viveiro,15466,12,
2021-07-13,Viveiro,15466,13,
2021-07-14,Viveiro,15466,18,14
2021-07-15,Viveiro,15466,30,22
2021-07-16,Viveiro,15466,38,29
2021-07-17,Viveiro,15466,46,38
2021-07-18,Viveiro,15466,74,65
2021-07-19,Viveiro,15466,86,78
2021-07-20,Viveiro,15466,96,87
2021-07-21,Viveiro,15466,115,101
2021-07-22,Viveiro,15466,138,116
2021-07-23,Viveiro,15466,155,126
2021-07-24,Viveiro,15466,175,137
2021-07-25,Viveiro,15466,196,131
2021-07-26,Viveiro,15466,221,143
2021-07-27,Viveiro,15466,230,142
2021-07-28,Viveiro,15466,239,136
2021-07-29,Viveiro,15466,243,125
2021-07-30,Viveiro,15466,248,120
2021-07-31,Viveiro,15466,251,111
2021-08-01,Viveiro,15466,225,94
2021-08-02,Viveiro,15466,221,78
2021-08-03,Viveiro,15466,219,77
2021-08-04,Viveiro,15466,208,72
2021-08-05,Viveiro,15466,195,71
2021-08-06,Viveiro,15466,187,67
2021-08-07,Viveiro,15466,171,60
2021-08-08,Viveiro,15466,155,61
2021-08-09,Viveiro,15466,142,64
