fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Xinzo de Limia",9715,66,
2020-11-22,"Xinzo de Limia",9715,66,
2020-11-23,"Xinzo de Limia",9715,65,
2020-11-24,"Xinzo de Limia",9715,67,
2020-11-25,"Xinzo de Limia",9715,62,
2020-11-26,"Xinzo de Limia",9715,57,
2020-11-27,"Xinzo de Limia",9715,56,
2020-11-28,"Xinzo de Limia",9715,49,
2020-11-29,"Xinzo de Limia",9715,46,
2020-11-30,"Xinzo de Limia",9715,44,
2020-12-01,"Xinzo de Limia",9715,36,
2020-12-02,"Xinzo de Limia",9715,30,
2020-12-03,"Xinzo de Limia",9715,25,
2020-12-04,"Xinzo de Limia",9715,21,
2020-12-05,"Xinzo de Limia",9715,21,
2020-12-06,"Xinzo de Limia",9715,18,
2020-12-07,"Xinzo de Limia",9715,17,
2020-12-08,"Xinzo de Limia",9715,12,
2020-12-09,"Xinzo de Limia",9715,10,
2020-12-10,"Xinzo de Limia",9715,,
2020-12-11,"Xinzo de Limia",9715,11,
2020-12-12,"Xinzo de Limia",9715,,
2020-12-13,"Xinzo de Limia",9715,,
2020-12-14,"Xinzo de Limia",9715,,
2020-12-15,"Xinzo de Limia",9715,,
2020-12-16,"Xinzo de Limia",9715,,
2020-12-17,"Xinzo de Limia",9715,14,
2020-12-18,"Xinzo de Limia",9715,14,
2020-12-19,"Xinzo de Limia",9715,14,
2020-12-20,"Xinzo de Limia",9715,16,
2020-12-21,"Xinzo de Limia",9715,20,
2020-12-22,"Xinzo de Limia",9715,22,
2020-12-23,"Xinzo de Limia",9715,23,
2020-12-24,"Xinzo de Limia",9715,24,
2020-12-25,"Xinzo de Limia",9715,28,
2020-12-26,"Xinzo de Limia",9715,31,
2020-12-27,"Xinzo de Limia",9715,31,
2020-12-28,"Xinzo de Limia",9715,33,
2020-12-29,"Xinzo de Limia",9715,36,
2020-12-30,"Xinzo de Limia",9715,34,
2020-12-31,"Xinzo de Limia",9715,36,
2021-01-01,"Xinzo de Limia",9715,38,
2021-01-02,"Xinzo de Limia",9715,42,
2021-01-03,"Xinzo de Limia",9715,42,
2021-01-04,"Xinzo de Limia",9715,47,
2021-01-05,"Xinzo de Limia",9715,56,
2021-01-06,"Xinzo de Limia",9715,62,
2021-01-07,"Xinzo de Limia",9715,70,
2021-01-08,"Xinzo de Limia",9715,76,
2021-01-09,"Xinzo de Limia",9715,80,
2021-01-10,"Xinzo de Limia",9715,87,
2021-01-11,"Xinzo de Limia",9715,101,
2021-01-12,"Xinzo de Limia",9715,112,
2021-01-13,"Xinzo de Limia",9715,122,
2021-01-14,"Xinzo de Limia",9715,130,
2021-01-15,"Xinzo de Limia",9715,142,
2021-01-16,"Xinzo de Limia",9715,149,
2021-01-17,"Xinzo de Limia",9715,162,
2021-01-18,"Xinzo de Limia",9715,183,
2021-01-19,"Xinzo de Limia",9715,206,
2021-01-20,"Xinzo de Limia",9715,212,
2021-01-21,"Xinzo de Limia",9715,214,
2021-01-22,"Xinzo de Limia",9715,221,
2021-01-23,"Xinzo de Limia",9715,234,
2021-01-24,"Xinzo de Limia",9715,242,
2021-01-25,"Xinzo de Limia",9715,235,
2021-01-26,"Xinzo de Limia",9715,229,
2021-01-27,"Xinzo de Limia",9715,226,
2021-01-28,"Xinzo de Limia",9715,217,
