fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Xove,3273,11,
2020-11-22,Xove,3273,11,
2020-11-23,Xove,3273,11,
2020-11-24,Xove,3273,11,
2020-11-25,Xove,3273,10,
2020-11-26,Xove,3273,10,
2020-11-27,Xove,3273,10,
2020-11-28,Xove,3273,,
2020-11-29,Xove,3273,,
2020-11-30,Xove,3273,,
2020-12-01,Xove,3273,,
2020-12-02,Xove,3273,,
2020-12-03,Xove,3273,,
2020-12-04,Xove,3273,,
2020-12-05,Xove,3273,,
2020-12-06,Xove,3273,,
2020-12-07,Xove,3273,,
2020-12-08,Xove,3273,,
2020-12-09,Xove,3273,,
2020-12-10,Xove,3273,,
2020-12-11,Xove,3273,,
2020-12-12,Xove,3273,,
2020-12-13,Xove,3273,,
2020-12-14,Xove,3273,,
2020-12-15,Xove,3273,,
2020-12-16,Xove,3273,,
2020-12-17,Xove,3273,,
2020-12-18,Xove,3273,,
2020-12-19,Xove,3273,11,
2020-12-20,Xove,3273,11,
2020-12-21,Xove,3273,13,
2020-12-22,Xove,3273,15,
2020-12-23,Xove,3273,17,
2020-12-24,Xove,3273,25,
2020-12-25,Xove,3273,26,
2020-12-26,Xove,3273,33,
2020-12-27,Xove,3273,33,
2020-12-28,Xove,3273,40,
2020-12-29,Xove,3273,45,
2020-12-30,Xove,3273,65,
2020-12-31,Xove,3273,67,
2021-01-01,Xove,3273,74,
2021-01-02,Xove,3273,70,
2021-01-03,Xove,3273,73,
2021-01-04,Xove,3273,76,
2021-01-05,Xove,3273,79,
2021-01-06,Xove,3273,98,
2021-01-07,Xove,3273,99,
2021-01-08,Xove,3273,101,
2021-01-09,Xove,3273,103,
2021-01-10,Xove,3273,107,
2021-01-11,Xove,3273,101,
2021-01-12,Xove,3273,101,
2021-01-13,Xove,3273,82,
2021-01-14,Xove,3273,113,
2021-01-15,Xove,3273,110,
2021-01-16,Xove,3273,112,
2021-01-17,Xove,3273,111,
2021-01-18,Xove,3273,111,
2021-01-19,Xove,3273,107,
2021-01-20,Xove,3273,92,
2021-01-21,Xove,3273,88,
2021-01-22,Xove,3273,89,
2021-01-23,Xove,3273,79,
2021-01-24,Xove,3273,78,
2021-01-25,Xove,3273,77,
2021-01-26,Xove,3273,77,
2021-01-27,Xove,3273,75,
2021-01-28,Xove,3273,41,
2021-01-29,Xove,3273,41,
2021-01-30,Xove,3273,39,
2021-01-31,Xove,3273,36,
2021-02-01,Xove,3273,32,
2021-02-02,Xove,3273,32,
2021-02-03,Xove,3273,28,
2021-02-04,Xove,3273,22,
2021-02-05,Xove,3273,18,
2021-02-06,Xove,3273,18,
2021-02-07,Xove,3273,16,
2021-02-08,Xove,3273,16,
2021-02-09,Xove,3273,11,
2021-02-10,Xove,3273,11,
2021-02-11,Xove,3273,,
2021-02-12,Xove,3273,,
2021-02-13,Xove,3273,,
2021-02-14,Xove,3273,,
2021-02-15,Xove,3273,,
2021-02-16,Xove,3273,,
2021-02-17,Xove,3273,,
2021-02-18,Xove,3273,,
2021-02-19,Xove,3273,,
2021-02-20,Xove,3273,,
2021-02-21,Xove,3273,,
2021-02-22,Xove,3273,,
2021-02-23,Xove,3273,0,
2021-02-24,Xove,3273,0,
2021-02-25,Xove,3273,0,
2021-02-26,Xove,3273,0,
2021-02-27,Xove,3273,0,
2021-02-28,Xove,3273,0,
2021-03-01,Xove,3273,0,
2021-03-02,Xove,3273,0,0
2021-03-03,Xove,3273,0,0
2021-03-04,Xove,3273,0,0
2021-03-05,Xove,3273,0,0
2021-03-06,Xove,3273,0,0
2021-03-07,Xove,3273,0,0
2021-03-08,Xove,3273,0,0
2021-03-09,Xove,3273,0,0
2021-03-10,Xove,3273,0,0
2021-03-11,Xove,3273,0,0
2021-03-12,Xove,3273,0,0
2021-03-13,Xove,3273,0,0
2021-03-14,Xove,3273,0,0
2021-03-15,Xove,3273,0,0
2021-03-16,Xove,3273,,
2021-03-17,Xove,3273,,
2021-03-18,Xove,3273,,
2021-03-19,Xove,3273,,
2021-03-20,Xove,3273,,
2021-03-21,Xove,3273,,
2021-03-22,Xove,3273,,
2021-03-23,Xove,3273,,
2021-03-24,Xove,3273,,
2021-03-25,Xove,3273,,
2021-03-26,Xove,3273,,0
2021-03-27,Xove,3273,,0
2021-03-28,Xove,3273,,0
2021-03-29,Xove,3273,,0
2021-03-30,Xove,3273,,0
2021-03-31,Xove,3273,,0
2021-04-01,Xove,3273,,0
2021-04-02,Xove,3273,0,0
2021-04-03,Xove,3273,0,0
2021-04-04,Xove,3273,0,0
2021-04-05,Xove,3273,0,0
2021-04-06,Xove,3273,0,0
2021-04-07,Xove,3273,0,0
2021-04-08,Xove,3273,0,0
2021-04-09,Xove,3273,0,0
2021-04-10,Xove,3273,0,0
2021-04-11,Xove,3273,0,0
2021-04-12,Xove,3273,0,0
2021-04-13,Xove,3273,0,0
2021-04-14,Xove,3273,0,0
2021-04-15,Xove,3273,,
2021-04-16,Xove,3273,,
2021-04-17,Xove,3273,,
