fecha,codigo_municipio,municipio,habitantes,casos_14d,casos_14d_min,casos_14d_max,IA14,IA14_min,IA14_max,casos_7d,casos_7d_min,casos_7d_max,IA7,IA7_min,IA7_max
2020-11-21,15093,Zas,4472,14,,,313.059033989267,,,,,,,,
2020-11-22,15093,Zas,4472,14,,,313.059033989267,,,,,,,,
2020-11-23,15093,Zas,4472,11,,,245.974955277281,,,,,,,,
2020-11-24,15093,Zas,4472,10,,,223.613595706619,,,,,,,,
2020-11-25,15093,Zas,4472,10,,,223.613595706619,,,,,,,,
2020-11-26,15093,Zas,4472,10,,,223.613595706619,,,,,,,,
2020-11-27,15093,Zas,4472,12,,,268.336314847943,,,,,,,,
2020-11-28,15093,Zas,4472,14,,,313.059033989267,,,,,,,,
2020-11-29,15093,Zas,4472,15,,,335.420393559928,,,,,,,,
2020-11-30,15093,Zas,4472,15,,,335.420393559928,,,,,,,,
2020-12-01,15093,Zas,4472,16,,,357.78175313059,,,,,,,,
2020-12-02,15093,Zas,4472,17,,,380.143112701252,,,,,,,,
2020-12-03,15093,Zas,4472,16,,,357.78175313059,,,,,,,,
2020-12-04,15093,Zas,4472,21,,,469.5885509839,,,,,,,,
2020-12-05,15093,Zas,4472,20,,,447.227191413238,,,,,,,,
2020-12-06,15093,Zas,4472,18,,,402.504472271914,,,,,,,,
2020-12-07,15093,Zas,4472,19,,,424.865831842576,,,,,,,,
2020-12-08,15093,Zas,4472,19,,,424.865831842576,,,,,,,,
2020-12-09,15093,Zas,4472,22,,,491.949910554562,,,,,,,,
2020-12-10,15093,Zas,4472,22,,,491.949910554562,,,,,,,,
2020-12-11,15093,Zas,4472,21,,,469.5885509839,,,,,,,,
2020-12-12,15093,Zas,4472,21,,,469.5885509839,,,,,,,,
2020-12-13,15093,Zas,4472,20,,,447.227191413238,,,,,,,,
2020-12-14,15093,Zas,4472,21,,,469.5885509839,,,,,,,,
2020-12-15,15093,Zas,4472,20,,,447.227191413238,,,,,,,,
2020-12-16,15093,Zas,4472,21,,,469.5885509839,,,,,,,,
2020-12-17,15093,Zas,4472,23,,,514.311270125224,,,,,,,,
2020-12-18,15093,Zas,4472,18,,,402.504472271914,,,,,,,,
